Question,Real Answer,Pred Answer
Who voiced Lady Penelope in the original Thunderbirds series?,Sylvia Anderson,Sylvia Anderson
"Who painted ‘The Card Players’, one version of his selling for £154 million in 2011?",Paul Cézanne,Paul Cézanne
"The three Provinces wholly in the Republic are Leinster, Connaught and which other?",Munster,Munster
What type of dog is Beethoven in the film franchise of that name ?,St. Bernard,St. Bernard
On which BBC TV show did the plasticine character Morph first appear?,Take Hart,Take Hart
"Which shop did Anita Roddick open in Brighton in 1976, leading to a highly successful chain of stores now trading in over 40 countries worldwide?",Body Shop,The Body Shop
With which group did Tony Christie have a top ten hit with in 1999 with the song Walk Like A Panther?,All Seeing I,All Seeing I
Who played Fagin in the original West End production of Oliver and in the 1968 film of the same name?,Ron Moody,Ron Moody
Who painted ' Supper at Emmaus ' and ' The Anatomy Lesson ' ?,Rembrandt,Rembrandt
Alma Reville who died in 1982 was the wife and collaborator of which famous British character who was knighted in 1980 ?,Hitchcock,Alfred Hitchcock
In which 1960s and 70s TV sitcom did Brian Wilde play a character called 'Bloody Delilah' ?,The Dustbinmen,The Dustbinmen
"Who was admitted to Parkland Memorial Hospital, Dallas, as ‘Patient 24740, white male’?",JFK,Lee Harvey Oswald
Alice Perrers was the mistress of which English king?,Edward III of England,Edward III
What name is given to the painting medium that uses eggs?,Tempera grassa,Tempera
How many pints are there in a gallon?,8,8
"On a QWERTY keyboard, which two letters have raised marks to assist with touch typing?",F and J,F and J
The Blisworth Canal Tunnel is in which English county?,Northamptonshire,Northamptonshire
What does the Latin phrase ‘Ars gratia artis’ translate to in English?,Art for art's sake,art for art's sake
"Hanged at Wandsworth prison in 1949 for killing six people, which British criminal was known as 'The Acid Bath Murderer'?",John Haig,John George Haigh
Which British inventor was responsible for the introduction of the rubber band in 1845?,Stephen Perry,Stephen Perry
"""""""The Camels are Coming"""" published in 1932 was the first book that featured which popular children's hero created by W.E.Johns?""",Biggles,Biggles
"""In the book """"Tom Brown's Schooldays"""" what was the name of the school bully that Tom and his friend Harry eventually defeat in a fight after enduring several months of bullying?""",Flashman,Flashman
"The three largest towns in ‘The English Riviera’ are Torquay, Paignton, and … what?",Brixham,Brixham
"What two word name is commonly given to the heavy, slow moving lizard that grows up to two feet in length and along with the Mexican Beaded Lizard is the only venomous lizard that lives in North America?",Gila monster,Gila monster
Who is the mother of the actor Toby Stephens ?,Dame Maggie Smith,Dame Maggie Smith
How many gills are there in half a gallon?,sixteen,32
Which unlikely country qualified for the 2015 Cricket World Cup Finals by beating Kenya?,Afghanistan,Afghanistan
A Cariocan is a native of which city?,São Sebastião do Rio de Janeiro,Rio de Janeiro
"Which is the country of origin of Martha and the Muffins, Crash Test Dummies and Rush?",Canada,Canada
What is the name of the river on which Bakewell stands?,Wye,River Wye
"In 1984, who topped the US charts, and got to no. 9 in the UK, with ‘Missing You’?",John Waite,John Waite
Which cowboy was played by Ty Hardin?,Bronco Layne,Bronco Layne
"Which species of wild goose, Anser anser, is the ancestor of all European domestic geese?",Greylag goose,Anser anser
Pope Gregory XI was the last Pope to live in which French city?,"Avignon, France",Avignon
"Which traditional dessert is made from strawberries, broken meringue and cream",Eton mess,Eton mess
What was the first name of Bond Villan Mr Scaramanga from 'The Man With The Golden Gun'?,Francisco,Francisco
"Footvolley, a variation of football, originated in which country?",Brazil,Brazil
How many flakes of snow have to fall in the 24 hours of the 25th December anywhere in the UK to be classified as a White christmas?,1,The provided passages do not specify the number of snowflakes required to fall in the 24 hours of December 25th anywhere in the UK to be classified as a White Christmas.
The area now rebranded as “Cardiff Bay” was formerly known by what name?,Tiger Bay,Cardiff docklands
Which country owns the Queen Elizabeth islands?,Canada,Canada
Written by William Boyd what was the last James Bond novel to be published?,Solo,Sweet Caress
Which English author wrote the 1934 novel Goodbye Mr Chips?,James Hilton,James Hilton
Who played the title role in the long-running detective series Bergerac?,John Nettles,John Nettles
In which year were One Pound coins introduced?,1983,1983
What official position is currently held by Martin Rees?,Astronomer Royal,Astronomer Royal
What kind of footwear did Jimmy Nail have in 1994?,Crocodile Shoes,Jimmy Nail had shoes in 1994.
What do we call the elongated hill in the shape of a half-buried egg formed by glacial ice?,Drumlins,drumlin
What was the age that no-one wanted to reach in Logan’s Run?,30,30
Name the scarey debut Single from Ella Henderson released in June 2014,Ghost,Ghost
What is the first name of cricket umpire Dickie Bird,Harold,Harold
How many bits are there in a byte?,8,eight
Where does a bounced email return to?,Sender,the reverse path (codice_1) specified in the email's envelope
"In mythology, who pulled the thorn from the Lion’s paw?",Androclus,Androcles
Which late actor narrated the British children’s television programme ‘Willo the Wisp’?,Kenneth Williams,Kenneth Williams
What was the name of the high school in Porky's?,Angel Beach,Angel Beach High School
Who was Anne Sullivan's most famous pupil?,Helen Keller,Helen Keller
Who painted The Anatomy Lesson of Doctor Tulp?,Rembrandt,Rembrandt
Who is the President of The All England Lawn Tennis and Croquet Club in Wimbledon?,HRH the Duke of Kent,Duke of Kent
Who wrote the 1974 novel ‘Carrie’?,Stephen King,Stephen King
Tennis player Mary Pierce was born in which country in January 1975?,Canada,Canada
Elapidae Naja is the scientific name for which snake?,Cobras,Indian cobra
What is the title of the 1959 film in which Hayley Mills plays a young girl who befriends a murderous Polish sailor?,Tiger Bay,Tiger Bay
"The Black Shadow and Black Prince are two motorcycle models made in the 1950's, by whom?",Vincent,Vincent Motorcycles
Who were Tom and Barbara's neighbours in The Good Life?,Margo and Jerry Leadbetter,Margo and Jerry Leadbetter
Which sitcom actor presents Scrapheap Challenge?,Robert Llewellyn,Cathy Rogers
"Who joined the Eggheads team in 2008, having won Are You An Egghead?",Barry Simmons,Barry Simmons
What was the name of the 1927 film that was directed by Fritz Lang and featured a robot called Maria that inspired George Lucas to create the character C-3PO?,Metropolis,Metropolis
"Deborah, Diana, Jessica and Pamela were some of the members of which family?",Mitford,Mitford
