layer,top_m,score_mode,rows,tokens,mean_cos_o_proj_to_delta_hidden_next,mean_scalar_fit_rel_l2_hidden_next,mean_scalar_fit_r2_hidden_next,mean_cos_readout_to_delta_value,mean_scalar_fit_rel_l2_value,mean_scalar_fit_r2_value
56,16,recency,24,384,0.0009009742869920956,0.9988912441767752,0.002212498647471269,-0.02528241643591647,0.9961182407062986,0.007696321639029876
56,16,uniform,24,384,0.0006053395191922087,0.9988497088973721,0.002295473124831915,-0.0178917396736759,0.9968510663703732,0.0062468955698220625
56,16,value_norm,24,384,-0.010347223631015368,0.9993679914623499,0.0012625562958419323,-0.0013983067294801635,0.999335258713235,0.0013282849736835647
56,32,recency,24,384,0.0016035028067307167,0.9988215885435542,0.0023510980730255446,-0.02356896437590728,0.9962704691873945,0.0073953601329222966
56,32,uniform,24,384,0.0024659481383935145,0.9987517554933826,0.0024900794960558414,-0.013982028344029033,0.9969406202435493,0.006051979959011078
56,32,value_norm,24,384,-0.010347223631015368,0.9993679914623499,0.0012625562958419323,-0.0013983067294801635,0.999335258713235,0.0013282849736835647
57,16,recency,24,384,0.015055894215606713,0.9994239288692673,0.0011510679808755715,-0.02466542549609585,0.9958340256758358,0.00825212912067123
57,16,uniform,24,384,0.015768548435720692,0.9994342867285013,0.0011303576951225598,-0.02020113952106761,0.9970620127151841,0.005844701567421789
57,16,value_norm,24,384,-0.0032610333665843427,0.9997058926771084,0.0005879209687312444,-0.0030321119727728806,0.9987143542131652,0.002565354108810425
57,32,recency,24,384,0.01666810938974213,0.9993886381077269,0.0012214916447798412,-0.02448721637019053,0.9961655126965564,0.007607020113779151
57,32,uniform,24,384,0.01814844890078149,0.9993710778653622,0.0012565272239347298,-0.018029644123722075,0.9975273068184438,0.004925447961558466
57,32,value_norm,24,384,-0.0032610333665843427,0.9997058926771084,0.0005879209687312444,-0.0030321119727728806,0.9987143542131652,0.002565354108810425
58,16,recency,24,384,0.007432200782867919,0.999552936758846,0.0008933438609043757,-0.029606692935213567,0.9957587140733781,0.008395291055026262
58,16,uniform,24,384,0.008281577677953086,0.9995253368591269,0.0009484516146282355,-0.026386943452033174,0.9970381938568924,0.005888931453227997
58,16,value_norm,24,384,0.0019815905276724757,0.999911060401549,0.00017783263077338537,-0.005832255675317277,0.9986540019188238,0.00268681217794833
58,32,recency,24,384,0.008175456259522207,0.9995442125946283,0.0009108514835437139,-0.029715168328066185,0.9960685905231081,0.007794903996198073
58,32,uniform,24,384,0.009383804696388628,0.9995220674512287,0.000954998346666495,-0.024136825740361415,0.9974613286878752,0.005054716668699099
58,32,value_norm,24,384,0.0019815905276724757,0.999911060401549,0.00017783263077338537,-0.005832255675317277,0.9986540019188238,0.00268681217794833
