example,chunk_id,layer,top_m,score_mode,tokens,mean_cos_o_proj_to_delta_hidden_next,mean_scalar_fit_rel_l2_hidden_next,mean_scalar_fit_r2_hidden_next,mean_cos_readout_to_delta_value,mean_scalar_fit_rel_l2_value,mean_scalar_fit_r2_value
1,1,56,16,uniform,16,-0.005313178298820276,0.9995827414095402,0.0008340105414390564,nan,nan,nan
1,1,56,16,recency,16,-0.002953443159640301,0.9997186474502087,0.0005624555051326752,nan,nan,nan
1,1,56,16,value_norm,16,-0.010605780364130624,0.9997141323983669,0.0005715563893318176,nan,nan,nan
1,1,56,32,uniform,16,-0.010930064949207008,0.99937604367733,0.0012462325394153595,nan,nan,nan
1,1,56,32,recency,16,-0.005492669311934151,0.9996286779642105,0.0007422566413879395,nan,nan,nan
1,1,56,32,value_norm,16,-0.010605780364130624,0.9997141323983669,0.0005715563893318176,nan,nan,nan
1,1,57,16,uniform,16,0.016319011643645354,0.9993792213499546,0.0012406855821609497,nan,nan,nan
1,1,57,16,recency,16,0.018497852375730872,0.9992178380489349,0.0015628673136234283,nan,nan,nan
1,1,57,16,value_norm,16,-0.007897457257058704,0.9998707659542561,0.00025841593742370605,nan,nan,nan
1,1,57,32,uniform,16,0.014281572541221976,0.9992558434605598,0.0014868266880512238,nan,nan,nan
1,1,57,32,recency,16,0.01793705930322176,0.9991970621049404,0.0016042478382587433,nan,nan,nan
1,1,57,32,value_norm,16,-0.007897457257058704,0.9998707659542561,0.00025841593742370605,nan,nan,nan
1,1,58,16,uniform,16,0.01170878714765422,0.9994809255003929,0.0010371319949626923,nan,nan,nan
1,1,58,16,recency,16,0.013542919958126731,0.9994520135223866,0.0010950639843940735,nan,nan,nan
1,1,58,16,value_norm,16,-0.0018424729205435142,0.9999260529875755,0.00014786049723625183,nan,nan,nan
1,1,58,32,uniform,16,0.016130133262777235,0.9992094226181507,0.0015788823366165161,nan,nan,nan
1,1,58,32,recency,16,0.015547311064437963,0.999322671443224,0.0013532079756259918,nan,nan,nan
1,1,58,32,value_norm,16,-0.0018424729205435142,0.9999260529875755,0.00014786049723625183,nan,nan,nan
1,2,56,16,uniform,16,-0.016392874116718303,0.9986496120691299,0.002692136913537979,-0.026583729864796624,0.9973038993775845,0.005372699350118637
1,2,56,16,recency,16,-0.013806768489303067,0.9988238960504532,0.0023462623357772827,-0.04791149953962304,0.9944579042494297,0.010910149663686752
1,2,56,16,value_norm,16,-0.004443569450813811,0.9995786882936954,0.0008421987295150757,-0.0010427793495182414,0.9993278831243515,0.0013433322310447693
1,2,56,32,uniform,16,-0.017426031437935308,0.9987324997782707,0.002527911216020584,-0.01374100206157891,0.9977858141064644,0.004417695105075836
1,2,56,32,recency,16,-0.015071391950186808,0.9987580217421055,0.002477359026670456,-0.041861729594529606,0.9951655827462673,0.00954430177807808
1,2,56,32,value_norm,16,-0.004443569450813811,0.9995786882936954,0.0008421987295150757,-0.0010427793495182414,0.9993278831243515,0.0013433322310447693
1,2,57,16,uniform,16,0.015615885393344797,0.9995424784719944,0.0009145848453044891,-0.02248431195039302,0.9969046749174595,0.006166268140077591
1,2,57,16,recency,16,0.01614466044702567,0.9994824714958668,0.0010344423353672028,-0.03930328908609226,0.9930470772087574,0.013602245599031448
1,2,57,16,value_norm,16,-0.010365171867306344,0.9995023049414158,0.0009948760271072388,-0.00976419156177144,0.9990224540233612,0.0019516050815582275
1,2,57,32,uniform,16,0.018072732360451482,0.9995535761117935,0.0008924491703510284,-0.008465706720016897,0.9978419169783592,0.0043075717985630035
1,2,57,32,recency,16,0.018069071898935363,0.9995200671255589,0.0009592846035957336,-0.03339596489968244,0.9943499974906445,0.011118505150079727
