/mnt/qjhs-sh-lab-01/wjh/FusionRAG/.venv/lib/python3.10/site-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
Inference Embeddings:   0%|          | 0/19 [00:00<?, ?it/s]Inference Embeddings:   5%|▌         | 1/19 [00:01<00:24,  1.38s/it]Inference Embeddings:  11%|█         | 2/19 [00:02<00:19,  1.12s/it]Inference Embeddings:  16%|█▌        | 3/19 [00:03<00:16,  1.04s/it]Inference Embeddings:  21%|██        | 4/19 [00:04<00:15,  1.00s/it]Inference Embeddings:  26%|██▋       | 5/19 [00:05<00:13,  1.01it/s]Inference Embeddings:  32%|███▏      | 6/19 [00:06<00:12,  1.02it/s]Inference Embeddings:  37%|███▋      | 7/19 [00:07<00:11,  1.03it/s]Inference Embeddings:  42%|████▏     | 8/19 [00:08<00:10,  1.03it/s]Inference Embeddings:  47%|████▋     | 9/19 [00:09<00:09,  1.03it/s]Inference Embeddings:  53%|█████▎    | 10/19 [00:09<00:08,  1.04it/s]Inference Embeddings:  58%|█████▊    | 11/19 [00:10<00:07,  1.05it/s]Inference Embeddings:  63%|██████▎   | 12/19 [00:11<00:06,  1.06it/s]Inference Embeddings:  68%|██████▊   | 13/19 [00:12<00:05,  1.07it/s]Inference Embeddings:  74%|███████▎  | 14/19 [00:13<00:04,  1.07it/s]Inference Embeddings:  79%|███████▉  | 15/19 [00:14<00:03,  1.07it/s]Inference Embeddings:  84%|████████▍ | 16/19 [00:15<00:02,  1.07it/s]Inference Embeddings:  89%|████████▉ | 17/19 [00:16<00:01,  1.07it/s]Inference Embeddings:  95%|█████████▍| 18/19 [00:17<00:00,  1.08it/s]Inference Embeddings: 100%|██████████| 19/19 [00:17<00:00,  1.24it/s]Inference Embeddings: 100%|██████████| 19/19 [00:17<00:00,  1.06it/s]
embedding time: 19.713871240615845
Qwen2ForCausalLM has generative capabilities, as `prepare_inputs_for_generation` is explicitly defined. However, it doesn't directly inherit from `GenerationMixin`. From 👉v4.50👈 onwards, `PreTrainedModel` will NOT inherit from `GenerationMixin`, and this model will lose the ability to call `generate` and other related functions.
  - If you're using `trust_remote_code=True`, you can get rid of this warning by loading the model with an auto class. See https://huggingface.co/docs/transformers/en/model_doc/auto#auto-classes
  - If you are the owner of the model architecture code, please modify your model class such that it inherits from `GenerationMixin` (after `PreTrainedModel`, otherwise you'll get an exception).
  - If you are not the owner of the model architecture class, please contact the model code owner to update it.
Loading checkpoint shards:   0%|          | 0/17 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 17/17 [00:00<00:00, 254.70it/s]
Qwen2ForCausalLM has generative capabilities, as `prepare_inputs_for_generation` is explicitly defined. However, it doesn't directly inherit from `GenerationMixin`. From 👉v4.50👈 onwards, `PreTrainedModel` will NOT inherit from `GenerationMixin`, and this model will lose the ability to call `generate` and other related functions.
  - If you're using `trust_remote_code=True`, you can get rid of this warning by loading the model with an auto class. See https://huggingface.co/docs/transformers/en/model_doc/auto#auto-classes
  - If you are the owner of the model architecture code, please modify your model class such that it inherits from `GenerationMixin` (after `PreTrainedModel`, otherwise you'll get an exception).
  - If you are not the owner of the model architecture class, please contact the model code owner to update it.
Qwen2ForCausalLM has generative capabilities, as `prepare_inputs_for_generation` is explicitly defined. However, it doesn't directly inherit from `GenerationMixin`. From 👉v4.50👈 onwards, `PreTrainedModel` will NOT inherit from `GenerationMixin`, and this model will lose the ability to call `generate` and other related functions.
  - If you're using `trust_remote_code=True`, you can get rid of this warning by loading the model with an auto class. See https://huggingface.co/docs/transformers/en/model_doc/auto#auto-classes
  - If you are the owner of the model architecture code, please modify your model class such that it inherits from `GenerationMixin` (after `PreTrainedModel`, otherwise you'll get an exception).
  - If you are not the owner of the model architecture class, please contact the model code owner to update it.
chunk=1/24 selected=[{'source_example': -1, 'score': 0.41095773687798226, 'weight': 0.5346362281159868, 'prefix_tokens': 2090}, {'source_example': -1, 'score': 0.40124403544648946, 'weight': 0.46536377188401323, 'prefix_tokens': 2318}]
chunk=2/24 selected=[{'source_example': -1, 'score': 0.7779121758910207, 'weight': 0.5446767217440438, 'prefix_tokens': 633}, {'source_example': -1, 'score': 0.7653692413449044, 'weight': 0.45532327825595614, 'prefix_tokens': 2062}]
chunk=3/24 selected=[{'source_example': -1, 'score': 0.8424453352207868, 'weight': 0.6362701920093167, 'prefix_tokens': 548}, {'source_example': -1, 'score': 0.8033004954264289, 'weight': 0.3637298079906833, 'prefix_tokens': 1528}]
chunk=4/24 selected=[{'source_example': -1, 'score': 0.8390769593026578, 'weight': 0.5612243900035313, 'prefix_tokens': 1245}, {'source_example': -1, 'score': 0.8218476728021327, 'weight': 0.4387756099964688, 'prefix_tokens': 2079}]
chunk=5/24 selected=[{'source_example': -1, 'score': 0.8585871462116619, 'weight': 0.5189694506486824, 'prefix_tokens': 2349}, {'source_example': -1, 'score': 0.8532731494654907, 'weight': 0.4810305493513176, 'prefix_tokens': 1798}]
chunk=6/24 selected=[{'source_example': -1, 'score': 0.889676977642231, 'weight': 0.5490743799652853, 'prefix_tokens': 2016}, {'source_example': -1, 'score': 0.8758917718455348, 'weight': 0.4509256200347147, 'prefix_tokens': 1914}]
chunk=7/24 selected=[{'source_example': -1, 'score': 0.9231033924492185, 'weight': 0.5154866202395282, 'prefix_tokens': 1992}, {'source_example': -1, 'score': 0.9187657513338933, 'weight': 0.4845133797604718, 'prefix_tokens': 2819}]
chunk=8/24 selected=[{'source_example': -1, 'score': 0.8567266935747988, 'weight': 0.6131630634814825, 'prefix_tokens': 1313}, {'source_example': -1, 'score': 0.8244827575194404, 'weight': 0.38683693651851747, 'prefix_tokens': 624}]
chunk=9/24 selected=[{'source_example': -1, 'score': 0.8014249680557459, 'weight': 0.6477265558739084, 'prefix_tokens': 951}, {'source_example': -1, 'score': 0.7587907035373552, 'weight': 0.35227344412609163, 'prefix_tokens': 999}]
chunk=10/24 selected=[{'source_example': -1, 'score': 0.7828700676326777, 'weight': 0.5491271739957718, 'prefix_tokens': 977}, {'source_example': -1, 'score': 0.7690699355652646, 'weight': 0.4508728260042281, 'prefix_tokens': 470}]
chunk=11/24 selected=[{'source_example': -1, 'score': 0.8403645696774907, 'weight': 0.5729485577956213, 'prefix_tokens': 2806}, {'source_example': -1, 'score': 0.8197921677438597, 'weight': 0.4270514422043787, 'prefix_tokens': 2218}]
chunk=12/24 selected=[{'source_example': -1, 'score': 0.8782441213615264, 'weight': 0.6198727640509575, 'prefix_tokens': 2360}, {'source_example': -1, 'score': 0.8440135466906191, 'weight': 0.38012723594904263, 'prefix_tokens': 1855}]
chunk=13/24 selected=[{'source_example': -1, 'score': 0.8411865812747269, 'weight': 0.502325826594395, 'prefix_tokens': 2457}, {'source_example': -1, 'score': 0.8405353451311466, 'weight': 0.497674173405605, 'prefix_tokens': 2178}]
chunk=14/24 selected=[{'source_example': -1, 'score': 0.7493518727241768, 'weight': 0.5703300412317522, 'prefix_tokens': 1090}, {'source_example': -1, 'score': 0.729528024152744, 'weight': 0.4296699587682478, 'prefix_tokens': 1275}]
chunk=15/24 selected=[{'source_example': -1, 'score': 0.7608910481703874, 'weight': 0.7226632221412613, 'prefix_tokens': 2743}, {'source_example': -1, 'score': 0.6938512967042396, 'weight': 0.2773367778587388, 'prefix_tokens': 1766}]
chunk=16/24 selected=[{'source_example': -1, 'score': 0.7336215600930027, 'weight': 0.6902182625229069, 'prefix_tokens': 2072}, {'source_example': -1, 'score': 0.6775417675676196, 'weight': 0.3097817374770931, 'prefix_tokens': 1400}]
chunk=17/24 selected=[{'source_example': -1, 'score': 0.7628637381614107, 'weight': 0.6177398594518011, 'prefix_tokens': 2426}, {'source_example': -1, 'score': 0.7292661142129839, 'weight': 0.3822601405481989, 'prefix_tokens': 1820}]
chunk=18/24 selected=[{'source_example': -1, 'score': 0.7159927978390483, 'weight': 0.5042596554269488, 'prefix_tokens': 1985}, {'source_example': -1, 'score': 0.714800065463306, 'weight': 0.4957403445730511, 'prefix_tokens': 2287}]
