/mnt/qjhs-sh-lab-01/wjh/FusionRAG/.venv/lib/python3.10/site-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
Inference Embeddings:   0%|          | 0/19 [00:00<?, ?it/s]Inference Embeddings:   5%|▌         | 1/19 [00:01<00:21,  1.22s/it]Inference Embeddings:  11%|█         | 2/19 [00:02<00:17,  1.04s/it]Inference Embeddings:  16%|█▌        | 3/19 [00:03<00:15,  1.01it/s]Inference Embeddings:  21%|██        | 4/19 [00:04<00:14,  1.03it/s]Inference Embeddings:  26%|██▋       | 5/19 [00:04<00:13,  1.04it/s]Inference Embeddings:  32%|███▏      | 6/19 [00:05<00:12,  1.05it/s]Inference Embeddings:  37%|███▋      | 7/19 [00:06<00:11,  1.03it/s]Inference Embeddings:  42%|████▏     | 8/19 [00:07<00:10,  1.05it/s]Inference Embeddings:  47%|████▋     | 9/19 [00:08<00:09,  1.06it/s]Inference Embeddings:  53%|█████▎    | 10/19 [00:09<00:08,  1.06it/s]Inference Embeddings:  58%|█████▊    | 11/19 [00:10<00:07,  1.06it/s]Inference Embeddings:  63%|██████▎   | 12/19 [00:11<00:06,  1.07it/s]Inference Embeddings:  68%|██████▊   | 13/19 [00:12<00:05,  1.08it/s]Inference Embeddings:  74%|███████▎  | 14/19 [00:13<00:04,  1.08it/s]Inference Embeddings:  79%|███████▉  | 15/19 [00:14<00:03,  1.09it/s]Inference Embeddings:  84%|████████▍ | 16/19 [00:15<00:02,  1.09it/s]Inference Embeddings:  89%|████████▉ | 17/19 [00:16<00:01,  1.09it/s]Inference Embeddings:  95%|█████████▍| 18/19 [00:17<00:00,  1.09it/s]Inference Embeddings: 100%|██████████| 19/19 [00:17<00:00,  1.26it/s]Inference Embeddings: 100%|██████████| 19/19 [00:17<00:00,  1.08it/s]
embedding time: 19.321393251419067
Qwen2ForCausalLM has generative capabilities, as `prepare_inputs_for_generation` is explicitly defined. However, it doesn't directly inherit from `GenerationMixin`. From 👉v4.50👈 onwards, `PreTrainedModel` will NOT inherit from `GenerationMixin`, and this model will lose the ability to call `generate` and other related functions.
  - If you're using `trust_remote_code=True`, you can get rid of this warning by loading the model with an auto class. See https://huggingface.co/docs/transformers/en/model_doc/auto#auto-classes
  - If you are the owner of the model architecture code, please modify your model class such that it inherits from `GenerationMixin` (after `PreTrainedModel`, otherwise you'll get an exception).
  - If you are not the owner of the model architecture class, please contact the model code owner to update it.
Loading checkpoint shards:   0%|          | 0/17 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 17/17 [00:00<00:00, 246.46it/s]
Qwen2ForCausalLM has generative capabilities, as `prepare_inputs_for_generation` is explicitly defined. However, it doesn't directly inherit from `GenerationMixin`. From 👉v4.50👈 onwards, `PreTrainedModel` will NOT inherit from `GenerationMixin`, and this model will lose the ability to call `generate` and other related functions.
  - If you're using `trust_remote_code=True`, you can get rid of this warning by loading the model with an auto class. See https://huggingface.co/docs/transformers/en/model_doc/auto#auto-classes
  - If you are the owner of the model architecture code, please modify your model class such that it inherits from `GenerationMixin` (after `PreTrainedModel`, otherwise you'll get an exception).
  - If you are not the owner of the model architecture class, please contact the model code owner to update it.
Qwen2ForCausalLM has generative capabilities, as `prepare_inputs_for_generation` is explicitly defined. However, it doesn't directly inherit from `GenerationMixin`. From 👉v4.50👈 onwards, `PreTrainedModel` will NOT inherit from `GenerationMixin`, and this model will lose the ability to call `generate` and other related functions.
  - If you're using `trust_remote_code=True`, you can get rid of this warning by loading the model with an auto class. See https://huggingface.co/docs/transformers/en/model_doc/auto#auto-classes
  - If you are the owner of the model architecture code, please modify your model class such that it inherits from `GenerationMixin` (after `PreTrainedModel`, otherwise you'll get an exception).
  - If you are not the owner of the model architecture class, please contact the model code owner to update it.
chunk=1/24 selected=[{'source_example': 3, 'score': 0.4318336741649625, 'weight': 0.5444642233517198, 'prefix_tokens': 1600}, {'source_example': 1, 'score': 0.41935071574642124, 'weight': 0.4555357766482802, 'prefix_tokens': 1893}]
chunk=2/24 selected=[{'source_example': 1, 'score': 0.7558046687031248, 'weight': 0.6504534277024633, 'prefix_tokens': 1893}, {'source_example': 3, 'score': 0.7123323661296158, 'weight': 0.3495465722975367, 'prefix_tokens': 1600}]
chunk=3/24 selected=[{'source_example': 1, 'score': 0.7734669317131393, 'weight': 0.6309265485478868, 'prefix_tokens': 1893}, {'source_example': 3, 'score': 0.7359333677241489, 'weight': 0.36907345145211334, 'prefix_tokens': 1600}]
chunk=4/24 selected=[{'source_example': 1, 'score': 0.7905540294645592, 'weight': 0.63441871644045, 'prefix_tokens': 1893}, {'source_example': 3, 'score': 0.751968592506895, 'weight': 0.36558128355955005, 'prefix_tokens': 1600}]
chunk=5/24 selected=[{'source_example': 1, 'score': 0.8075386727433183, 'weight': 0.6339696094107308, 'prefix_tokens': 1893}, {'source_example': 3, 'score': 0.7690887469455508, 'weight': 0.36603039058926934, 'prefix_tokens': 1600}]
chunk=6/24 selected=[{'source_example': 1, 'score': 0.8555834435977818, 'weight': 0.6747023129248916, 'prefix_tokens': 1893}, {'source_example': 3, 'score': 0.8045162839310951, 'weight': 0.3252976870751084, 'prefix_tokens': 1600}]
chunk=7/24 selected=[{'source_example': 1, 'score': 0.8626658444349344, 'weight': 0.5643997237946575, 'prefix_tokens': 1893}, {'source_example': 2, 'score': 0.8445332050526637, 'weight': 0.4356002762053426, 'prefix_tokens': 2837}]
chunk=8/24 selected=[{'source_example': 1, 'score': 0.8492045531324894, 'weight': 0.5357176414455226, 'prefix_tokens': 1893}, {'source_example': 2, 'score': 0.839186549653955, 'weight': 0.46428235855447736, 'prefix_tokens': 2837}]
chunk=9/24 selected=[{'source_example': 1, 'score': 0.8251753769606738, 'weight': 0.5363092191108769, 'prefix_tokens': 1893}, {'source_example': 2, 'score': 0.8149908679069592, 'weight': 0.46369078088912313, 'prefix_tokens': 2837}]
chunk=10/24 selected=[{'source_example': 1, 'score': 0.8012534258271369, 'weight': 0.543181778103421, 'prefix_tokens': 1893}, {'source_example': 2, 'score': 0.7891323320623475, 'weight': 0.45681822189657895, 'prefix_tokens': 2837}]
chunk=11/24 selected=[{'source_example': 1, 'score': 0.794383356582574, 'weight': 0.5446532150262307, 'prefix_tokens': 1893}, {'source_example': 2, 'score': 0.7818470568622792, 'weight': 0.45534678497376935, 'prefix_tokens': 2837}]
chunk=12/24 selected=[{'source_example': 1, 'score': 0.7880615328312245, 'weight': 0.5428910339213351, 'prefix_tokens': 1893}, {'source_example': 2, 'score': 0.776022455057646, 'weight': 0.45710896607866486, 'prefix_tokens': 2837}]
chunk=13/24 selected=[{'source_example': 1, 'score': 0.7514290784034261, 'weight': 0.543118285965926, 'prefix_tokens': 1893}, {'source_example': 2, 'score': 0.7393258958343917, 'weight': 0.45688171403407407, 'prefix_tokens': 2837}]
chunk=14/24 selected=[{'source_example': 1, 'score': 0.7307321513966792, 'weight': 0.5437323363809018, 'prefix_tokens': 1893}, {'source_example': 2, 'score': 0.7184557279276051, 'weight': 0.45626766361909826, 'prefix_tokens': 2837}]
chunk=15/24 selected=[{'source_example': 1, 'score': 0.723876720354032, 'weight': 0.5437806055056864, 'prefix_tokens': 1893}, {'source_example': 2, 'score': 0.7115866772236268, 'weight': 0.45621939449431353, 'prefix_tokens': 2837}]
chunk=16/24 selected=[{'source_example': 1, 'score': 0.6866058420996806, 'weight': 0.5291772847707028, 'prefix_tokens': 1893}, {'source_example': 2, 'score': 0.6784269101333683, 'weight': 0.47082271522929725, 'prefix_tokens': 2837}]
chunk=17/24 selected=[{'source_example': 1, 'score': 0.6791388838365928, 'weight': 0.5293404241074233, 'prefix_tokens': 1893}, {'source_example': 2, 'score': 0.6709141158984483, 'weight': 0.4706595758925767, 'prefix_tokens': 2837}]
chunk=18/24 selected=[{'source_example': 1, 'score': 0.6410615716203184, 'weight': 0.536548595406497, 'prefix_tokens': 1893}, {'source_example': 2, 'score': 0.6308096795156852, 'weight': 0.463451404593503, 'prefix_tokens': 2837}]
