dataset,example_idx,method,doc_tokens,pearson_z,pearson_minmax,spearman_rank,rate,k,topk_overlap,topk_jaccard,ndcg_at_k
musique-v2,0,offline3b_mean,16598,0.2934571314352741,0.293457131435274,0.3098296140485125,0.05,830,0.27349397590361446,0.1584089323098395,0.399408392163534
musique-v2,0,offline3b_mean,16598,0.2934571314352741,0.293457131435274,0.3098296140485125,0.1,1660,0.3265060240963855,0.1951043916486681,0.450631846042526
musique-v2,0,offline3b_mean,16598,0.2934571314352741,0.293457131435274,0.3098296140485125,0.15,2490,0.36224899598393573,0.22118685630210888,0.4789038663461228
musique-v2,0,offline3b_mean,16598,0.2934571314352741,0.293457131435274,0.3098296140485125,0.3,4979,0.4713797951395863,0.30836946524766784,0.5570494857156278
musique-v2,0,offline3b_top2_mean,16598,0.2894918214149838,0.2894918214149837,0.2787161193025372,0.05,830,0.25421686746987954,0.1456176673567978,0.3827523233083663
musique-v2,0,offline3b_top2_mean,16598,0.2894918214149838,0.2894918214149837,0.2787161193025372,0.1,1660,0.31626506024096385,0.18783542039355994,0.4337187335979058
musique-v2,0,offline3b_top2_mean,16598,0.2894918214149838,0.2894918214149837,0.2787161193025372,0.15,2490,0.3417670682730924,0.20610317268103656,0.45960866666702066
musique-v2,0,offline3b_top2_mean,16598,0.2894918214149838,0.2894918214149837,0.2787161193025372,0.3,4979,0.45571399879493873,0.2950968916634153,0.5418341334204954
musique-v2,0,offline3b_freq_top15,16598,0.2628389483550944,0.2628389483550943,0.2550321359446235,0.05,830,0.18795180722891566,0.10372340425531915,0.2690263205913099
musique-v2,0,offline3b_freq_top15,16598,0.2628389483550944,0.2628389483550943,0.2550321359446235,0.1,1660,0.33554216867469877,0.20159247195077815,0.4393539056757319
musique-v2,0,offline3b_freq_top15,16598,0.2628389483550944,0.2628389483550943,0.2550321359446235,0.15,2490,0.3634538152610442,0.22208588957055214,0.4390426644205896
musique-v2,0,offline3b_freq_top15,16598,0.2628389483550944,0.2628389483550943,0.2550321359446235,0.3,4979,0.4410524201646917,0.2829167740273125,0.500699631017734
