dataset,method,rate,examples,pearson_z_mean,pearson_z_std,pearson_minmax_mean,pearson_minmax_std,spearman_rank_mean,spearman_rank_std,topk_overlap_mean,topk_overlap_std,topk_jaccard_mean,topk_jaccard_std,ndcg_at_k_mean,ndcg_at_k_std
musique-v2,offline3b_freq_top15,0.05,1,0.2628389483550944,0.0,0.2628389483550943,0.0,0.2550321359446235,0.0,0.18795180722891566,0.0,0.10372340425531915,0.0,0.2690263205913099,0.0
musique-v2,offline3b_freq_top15,0.1,1,0.2628389483550944,0.0,0.2628389483550943,0.0,0.2550321359446235,0.0,0.33554216867469877,0.0,0.20159247195077815,0.0,0.4393539056757319,0.0
musique-v2,offline3b_freq_top15,0.15,1,0.2628389483550944,0.0,0.2628389483550943,0.0,0.2550321359446235,0.0,0.3634538152610442,0.0,0.22208588957055214,0.0,0.4390426644205896,0.0
musique-v2,offline3b_freq_top15,0.3,1,0.2628389483550944,0.0,0.2628389483550943,0.0,0.2550321359446235,0.0,0.4410524201646917,0.0,0.2829167740273125,0.0,0.500699631017734,0.0
musique-v2,offline3b_mean,0.05,1,0.2934571314352741,0.0,0.293457131435274,0.0,0.3098296140485125,0.0,0.27349397590361446,0.0,0.1584089323098395,0.0,0.399408392163534,0.0
musique-v2,offline3b_mean,0.1,1,0.2934571314352741,0.0,0.293457131435274,0.0,0.3098296140485125,0.0,0.3265060240963855,0.0,0.1951043916486681,0.0,0.450631846042526,0.0
musique-v2,offline3b_mean,0.15,1,0.2934571314352741,0.0,0.293457131435274,0.0,0.3098296140485125,0.0,0.36224899598393573,0.0,0.22118685630210888,0.0,0.4789038663461228,0.0
musique-v2,offline3b_mean,0.3,1,0.2934571314352741,0.0,0.293457131435274,0.0,0.3098296140485125,0.0,0.4713797951395863,0.0,0.30836946524766784,0.0,0.5570494857156278,0.0
musique-v2,offline3b_top2_mean,0.05,1,0.2894918214149838,0.0,0.2894918214149837,0.0,0.2787161193025372,0.0,0.25421686746987954,0.0,0.1456176673567978,0.0,0.3827523233083663,0.0
musique-v2,offline3b_top2_mean,0.1,1,0.2894918214149838,0.0,0.2894918214149837,0.0,0.2787161193025372,0.0,0.31626506024096385,0.0,0.18783542039355994,0.0,0.4337187335979058,0.0
musique-v2,offline3b_top2_mean,0.15,1,0.2894918214149838,0.0,0.2894918214149837,0.0,0.2787161193025372,0.0,0.3417670682730924,0.0,0.20610317268103656,0.0,0.45960866666702066,0.0
musique-v2,offline3b_top2_mean,0.3,1,0.2894918214149838,0.0,0.2894918214149837,0.0,0.2787161193025372,0.0,0.45571399879493873,0.0,0.2950968916634153,0.0,0.5418341334204954,0.0
