row_id,is_warmup,example_id,sub_q_idx,main_question,sub_question,doc_tokens,query_tokens,full_tokens,fusion_selected_doc_tokens,fusion_reprocess_prefill_tokens,full_exact_cache_ttft_s,full_ttft_compute_s,full_ttft_wall_s,fusion_ttft_compute_s,fusion_ttft_wall_s,fusion_storage_time_s,fusion_selection_time_s,fusion_selection_score_forward_time_s,fusion_reprocess_prefill_time_s,speedup_full_over_fusion_compute,ttft_reduction_pct_compute,speedup_full_exact_over_fusion_compute,ttft_reduction_pct_full_exact_vs_fusion_compute,speedup_full_over_fusion_wall,ttft_reduction_pct_wall
0,True,0,0,What is the network which National Cycle Route 57 is part of an example of?,What network is National Cycle Route 57 part of?,1313,27,2132,0,27,0.42306376388296485,0.27803850173950195,0.27940504578873515,0.508198126219213,0.5764540489763021,0.023866151925176382,0.0,0.0,0.4843319742940366,0.5471065070782435,-82.77976720481351,0.8324780081941405,-20.123293367143468,0.48469612848572674,-106.3148313406526
1,True,1,0,What district is the headquarter of Julia's House located?,Where is the headquarters of Julia's House located?,1295,25,2112,0,25,0.2728742123581469,0.1070566177368164,0.27392796659842134,0.09587637288495898,0.15701561095193028,0.022975768893957138,0.0,0.0,0.07290060399100184,1.1166110535415485,10.443301019786066,2.84610487596945,64.86426032844707,1.744590648902314,42.67996331235674
2,True,2,0,What body of water includes the terrain feature where Coffee Swamp is located?,Where is Coffee Swamp located?,1441,21,2254,0,21,0.29128499468788505,0.1141960620880127,0.2922824937850237,0.09749007783830166,0.16296485997736454,0.02381322393193841,0.0,0.0,0.07367685390636325,1.1713608668711888,14.62921220246235,2.9878424671176713,66.53103331231898,1.7935307883283615,44.24405722457445
3,True,3,0,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the child of Peter Andreas Heiberg?,1154,26,1972,0,26,0.2564290720038116,0.09433937072753906,0.2578371218405664,0.09420521929860115,0.14786388678476214,0.02137205097824335,0.0,0.0,0.0728331683203578,1.0014240339329044,0.14220089439154204,2.7220261670535626,63.262660289469494,1.7437464106153697,42.65221170278429
4,True,3,1,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the spouse of Johan Ludvig Heiberg?,1353,27,2172,0,27,0.2771079516969621,0.10881900787353516,0.27892242511734366,0.1037403978407383,0.1692357799038291,0.024764423724263906,0.0,0.0,0.07897597411647439,1.048954988977327,4.667024752421012,2.671167235375141,62.56318261332824,1.6481291679327252,39.32514395978344
5,True,4,0,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?","Who were the siblings of Alice de Lusignan, Countess of Surrey?",1178,32,2002,0,32,0.25709088426083326,0.09458279609680176,0.25840252405032516,0.09619152173399925,0.14415935287252069,0.021684512961655855,0.0,0.0,0.0745070087723434,0.9832758063476099,-1.7008649602101356,2.6726979636705708,62.584623717577045,1.792478385213265,44.211321695741276
6,True,4,1,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?",When was King Henry III of England crowned?,2075,24,2891,0,24,0.3863099319860339,0.1522374153137207,0.3881800100207329,0.10506574623286724,0.1872301520779729,0.029425212182104588,0.0,0.0,0.07564053405076265,1.4489728648222076,30.985595087544826,3.676839939154083,72.80273233133813,2.0732772243814312,51.76718346007234
7,True,6,0,Which university employed the person that Mach bands are named after?,Which university employed Ernst Mach?,1490,21,2303,0,21,0.29091425286605954,0.10501480102539062,0.29261530563235283,0.09723915858194232,0.1514837141148746,0.024115257896482944,0.0,0.0,0.07312390068545938,1.0799641066093333,7.404330025410699,2.9917397179132257,66.57463234477122,1.931661811582293,48.23110370542221
8,False,7,0,Who is the employer of the physicist who Mach number is named after?,Who is the physicist that the Mach number is named after?,1587,27,2406,0,27,0.3194989920593798,0.11740541458129883,0.32052535796537995,0.0969376191496849,0.15183863788843155,0.023615539073944092,0.0,0.0,0.07332208007574081,1.2111439873513796,17.433433972877587,3.2959236554595983,69.6594914040703,2.1109604407864655,52.6281980145759
9,False,7,1,Who is the employer of the physicist who Mach number is named after?,Who was Ernst Mach's employer or academic institution during his career?,1466,28,2286,0,28,0.29157070023939013,0.11449050903320312,0.29292104579508305,0.10303701274096966,0.1650097188539803,0.0259779947809875,0.0,0.0,0.07705901795998216,1.1111590484579268,10.003882757575887,2.829766629321694,64.66139682198092,1.7751745038381255,43.66750999195356
10,False,9,0,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,Which English king trusted William de Longchamp?,1998,25,2815,0,25,0.3613865817897022,0.12914228439331055,0.36262929113581777,0.09963026130571961,0.16573152597993612,0.0258748191408813,0.0,0.0,0.07375544216483831,1.2962154540278887,22.85233161720316,3.6272772654963976,72.43111218675618,2.1880525687051153,54.29725892775063
11,False,9,1,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,2722,33,3547,0,33,0.4849826227873564,0.19052505493164062,0.48647901229560375,0.10834871651604772,0.2089297529309988,0.0330194472335279,0.0,0.0,0.07532926928251982,1.7584431182756246,43.13151277929159,4.476127068062913,77.65925799705326,2.3284333871598863,57.052668737938305
12,False,10,0,The Unwinding author volunteered for which organisation?,Who is the author of The Unwinding?,1505,25,2322,0,25,0.3180324356071651,0.11655592918395996,0.31887673027813435,0.09720666939392686,0.1508474457077682,0.023852195125073195,0.0,0.0,0.07335447426885366,1.1990528007046601,16.60083697629333,3.27171414873139,69.43498256448379,2.113902086853255,52.694119267908235
13,False,10,1,The Unwinding author volunteered for which organisation?,Which organization did George Packer volunteer for?,1738,24,2554,0,24,0.336085245013237,0.12370800971984863,0.33703427389264107,0.09953912999480963,0.15797273302450776,0.02619968494400382,0.0,0.0,0.07333944505080581,1.2428078256892467,19.537037076073148,3.376413326405021,70.38277298044156,2.133496505630208,53.12858505457862
14,False,11,0,Who is the lead singer of the band performing Bang Bang Rock & Roll?,Which band performed the song 'Bang Bang Rock & Roll'?,1230,27,2049,0,27,0.27191531378775835,0.1064310073852539,0.2725376980379224,0.09519524313509464,0.14366440009325743,0.02272930508479476,0.0,0.0,0.07246593805029988,1.118028631264844,10.556852299150544,2.856396021825109,64.9908488753235,1.8970440684053178,47.28641170467831
15,False,11,1,Who is the lead singer of the band performing Bang Bang Rock & Roll?,Who is the lead singer of the band Art Brut?,1205,26,2023,0,26,0.2566415797919035,0.09170937538146973,0.25781338196247816,0.09677462698891759,0.1521696113049984,0.024174090940505266,0.0,0.0,0.07260053604841232,0.9476593011510349,-5.5231557148641475,2.6519511133976628,62.29191424577935,1.6942501183481016,40.97683753004529
16,False,12,0,What company did the company that initiated a successful price war among PC manufacturers in 1994 merge with in 2002?,Which company initiated a successful price war among PC manufacturers in 1994?,2011,32,2835,0,32,0.3850758601911366,0.15112996101379395,0.38649405958130956,0.10027932096272707,0.1648519178852439,0.02640301827341318,0.0,0.0,0.07387630268931389,1.507089991863503,33.64696166792872,3.8400325859233315,73.95855431889386,2.344492345247414,57.346843037166316
