index,Question,Real Answer,Pred Answer,em,f1,glm_correct,glm_reason,glm_raw
180,Who is the father of the Labo M performer?,Louis Chedid,Louis Chedid,True,1.0,True,预测答案“Louis Chedid”与标准答案完全一致，准确包含了问题所需的关键信息，语义上完全等价，因此正确回答了问题。,"判断: 正确
原因: 预测答案“Louis Chedid”与标准答案完全一致，准确包含了问题所需的关键信息，语义上完全等价，因此正确回答了问题。"
181,Why did Roncalli leave the place of death of the maker of The Gozzi Altarpiece?,for the conclave in Rome,Roncalli left the place of death of the maker of The Gozzi Altarpiece because he was summoned to the Vatican to participate in the conclave following the death of Pope Pius XII.,False,0.15,True,预测答案明确指出了Roncalli离开的原因是被召唤到梵蒂冈参加教皇选举会议（conclave），这与标准答案“for the conclave in Rome”在语义上完全等价，包含了所有关键信息，且意思保持一致。,"判断: 正确
原因: 预测答案明确指出了Roncalli离开的原因是被召唤到梵蒂冈参加教皇选举会议（conclave），这与标准答案“for the conclave in Rome”在语义上完全等价，包含了所有关键信息，且意思保持一致。"
182,Who gives out the award named after the person who argued that colonies were redundant?,University of Cambridge,The award named after the person who argued that colonies were redundant is given out by the Royal Swedish Academy of Sciences.,False,0.08695652173913043,False,预测答案给出的颁发机构是“Royal Swedish Academy of Sciences”，而标准答案是“University of Cambridge”。两者在语义上完全不同，预测答案未包含标准答案的关键信息，因此判断为错误。,"判断: 错误
原因: 预测答案给出的颁发机构是“Royal Swedish Academy of Sciences”，而标准答案是“University of Cambridge”。两者在语义上完全不同，预测答案未包含标准答案的关键信息，因此判断为错误。"
183,"In 1990, who became the president of the country that Germany invaded?",Lech Wałęsa,Mátyás Szűrös,False,0.0,False,预测答案给出的Mátyás Szűrös是匈牙利的政治人物，而标准答案Lech Wałęsa是波兰的总统。问题问的是德国入侵的国家（即波兰）在1990年成为总统的人，预测答案与标准答案完全不符，因此判断为错误。,"判断: 错误
原因: 预测答案给出的Mátyás Szűrös是匈牙利的政治人物，而标准答案Lech Wałęsa是波兰的总统。问题问的是德国入侵的国家（即波兰）在1990年成为总统的人，预测答案与标准答案完全不符，因此判断为错误。"
184,What is the name for the mouth of the watercourse of the body of water by Rotterdam Centrum?,Het Scheur,Nieuwe Maas River,False,0.0,False,预测答案给出的“Nieuwe Maas River”与标准答案“Het Scheur”在地理实体名称上完全不同，且预测答案未包含标准答案的关键信息，两者在语义上不等价，因此判断为错误。,"判断: 错误
原因: 预测答案给出的“Nieuwe Maas River”与标准答案“Het Scheur”在地理实体名称上完全不同，且预测答案未包含标准答案的关键信息，两者在语义上不等价，因此判断为错误。"
185,"Who sings Home Alone Tonight with the singer of ""I Don't Want This Night to End""?",Karen Fairchild,Karen Fairchild,True,1.0,True,预测答案“Karen Fairchild”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了问题。,"判断: 正确
原因: 预测答案“Karen Fairchild”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了问题。"
186,What company is the school where Lawrence Landweber was educated a part of?,City University of New York,City University of New York,True,1.0,True,预测答案“City University of New York”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了问题。,"判断: 正确
原因: 预测答案“City University of New York”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了问题。"
187,What is the capital of the county that shares a border with the county where WAPL is licensed to broadcast?,Green Bay,Appleton,False,0.0,False,预测答案“Appleton”与标准答案“Green Bay”不一致。WAPL广播电台的注册地所在的县接壤的县的首府是Green Bay，而Appleton并非该问题所要求的首府，因此预测答案未能包含标准答案的关键信息，回答错误。,"判断: 错误
原因: 预测答案“Appleton”与标准答案“Green Bay”不一致。WAPL广播电台的注册地所在的县接壤的县的首府是Green Bay，而Appleton并非该问题所要求的首府，因此预测答案未能包含标准答案的关键信息，回答错误。"
188,Who was the first black student admitted to where Robert Khayat was educated?,James Howard Meredith,"James Meredith was the first black student admitted to the University of Mississippi, where Robert Khayat was educated.",False,0.24,True,预测答案包含了标准答案的核心人物“James Meredith”，并补充了中间名“Howard”。同时，预测答案准确指出了他被录取的学校正是Robert Khayat受教育的地方，与标准答案在语义上完全等价，正确回答了问题。,"判断: 正确
原因: 预测答案包含了标准答案的核心人物“James Meredith”，并补充了中间名“Howard”。同时，预测答案准确指出了他被录取的学校正是Robert Khayat受教育的地方，与标准答案在语义上完全等价，正确回答了问题。"
189,Who did the original voice of the character played by mila kunis in the cleveland show?,Lacey Chabert,Lacey Chabert,True,1.0,True,预测答案与标准答案完全一致，均为“Lacey Chabert”。预测答案准确包含了标准答案的关键信息，语义完全等价，正确地回答了关于《克利夫兰秀》中米拉·库尼斯饰演角色的原配音演员是谁的问题。,"判断: 正确
原因: 预测答案与标准答案完全一致，均为“Lacey Chabert”。预测答案准确包含了标准答案的关键信息，语义完全等价，正确地回答了关于《克利夫兰秀》中米拉·库尼斯饰演角色的原配音演员是谁的问题。"
