dataset,method,correct,total,acc,delta_vs_full_pp,source,note
2WikiMQA,Full attention r=1,113,200,0.565,0.0,alpha_with_full_qk_draft_accuracy_summary.csv,full/alpha from original corrected-full micro figure source
2WikiMQA,Online QK r=0.15,95,200,0.475,-8.999999999999996,current_rate015_vs_micro_figure_baseline_comparison.csv,current online rerun replacing historical online rows
2WikiMQA,Online Draft r=0.15,94,200,0.47,-9.499999999999996,current_rate015_vs_micro_figure_baseline_comparison.csv,current online rerun replacing historical online rows
2WikiMQA,Uniform a=0.1 r=0.15,96,200,0.48,-8.499999999999996,alpha_with_full_qk_draft_accuracy_summary.csv,full/alpha from original corrected-full micro figure source
2WikiMQA,Uniform a=0.25 r=0.15,99,200,0.495,-6.999999999999995,alpha_with_full_qk_draft_accuracy_summary.csv,full/alpha from original corrected-full micro figure source
2WikiMQA,Random a=0.05 r=0.15,94,200,0.47,-9.499999999999996,alpha_with_full_qk_draft_accuracy_summary.csv,full/alpha from original corrected-full micro figure source
2WikiMQA,Random a=0.1 r=0.15,95,200,0.475,-8.999999999999996,alpha_with_full_qk_draft_accuracy_summary.csv,full/alpha from original corrected-full micro figure source
2WikiMQA,Random a=0.25 r=0.15,100,200,0.5,-6.499999999999995,alpha_with_full_qk_draft_accuracy_summary.csv,full/alpha from original corrected-full micro figure source
HotpotQA,Full attention r=1,207,260,0.7961538461538461,0.0,alpha_with_full_qk_draft_accuracy_summary.csv,full/alpha from original corrected-full micro figure source
HotpotQA,Online QK r=0.15,220,260,0.8461538461538461,5.000000000000004,current_rate015_vs_micro_figure_baseline_comparison.csv,current online rerun replacing historical online rows
HotpotQA,Online Draft r=0.15,223,260,0.8576923076923076,6.153846153846154,current_rate015_vs_micro_figure_baseline_comparison.csv,current online rerun replacing historical online rows
HotpotQA,Uniform a=0.1 r=0.15,226,260,0.8692307692307693,7.3076923076923155,alpha_with_full_qk_draft_accuracy_summary.csv,full/alpha from original corrected-full micro figure source
HotpotQA,Uniform a=0.25 r=0.15,223,260,0.8576923076923076,6.153846153846154,alpha_with_full_qk_draft_accuracy_summary.csv,full/alpha from original corrected-full micro figure source
HotpotQA,Random a=0.05 r=0.15,231,260,0.8884615384615384,9.230769230769232,alpha_with_full_qk_draft_accuracy_summary.csv,full/alpha from original corrected-full micro figure source
HotpotQA,Random a=0.1 r=0.15,228,260,0.8769230769230769,8.076923076923082,alpha_with_full_qk_draft_accuracy_summary.csv,full/alpha from original corrected-full micro figure source
HotpotQA,Random a=0.25 r=0.15,224,260,0.8615384615384616,6.538461538461549,alpha_with_full_qk_draft_accuracy_summary.csv,full/alpha from original corrected-full micro figure source
TriviaQA,Full attention r=1,211,270,0.7814814814814814,0.0,alpha_with_full_qk_draft_accuracy_summary.csv,full/alpha from original corrected-full micro figure source
TriviaQA,Online QK r=0.15,238,270,0.8814814814814815,10.000000000000009,current_rate015_vs_micro_figure_baseline_comparison.csv,current online rerun replacing historical online rows
TriviaQA,Online Draft r=0.15,246,270,0.9111111111111111,12.962962962962965,current_rate015_vs_micro_figure_baseline_comparison.csv,current online rerun replacing historical online rows
TriviaQA,Uniform a=0.1 r=0.15,242,270,0.8962962962962963,11.481481481481481,alpha_with_full_qk_draft_accuracy_summary.csv,full/alpha from original corrected-full micro figure source
TriviaQA,Uniform a=0.25 r=0.15,237,270,0.8777777777777778,9.629629629629633,alpha_with_full_qk_draft_accuracy_summary.csv,full/alpha from original corrected-full micro figure source
TriviaQA,Random a=0.05 r=0.15,241,270,0.8925925925925926,11.111111111111116,alpha_with_full_qk_draft_accuracy_summary.csv,full/alpha from original corrected-full micro figure source
TriviaQA,Random a=0.1 r=0.15,242,270,0.8962962962962963,11.481481481481481,alpha_with_full_qk_draft_accuracy_summary.csv,full/alpha from original corrected-full micro figure source
TriviaQA,Random a=0.25 r=0.15,238,270,0.8814814814814815,10.000000000000009,alpha_with_full_qk_draft_accuracy_summary.csv,full/alpha from original corrected-full micro figure source
MuSiQue,Full attention r=1,105,135,0.7777777777777778,0.0,alpha_with_full_qk_draft_accuracy_summary.csv,full/alpha from original corrected-full micro figure source
MuSiQue,Online QK r=0.15,100,135,0.7407407407407407,-3.703703703703709,current_rate015_vs_micro_figure_baseline_comparison.csv,current online rerun replacing historical online rows
MuSiQue,Online Draft r=0.15,108,135,0.8,2.2222222222222254,current_rate015_vs_micro_figure_baseline_comparison.csv,current online rerun replacing historical online rows
MuSiQue,Uniform a=0.1 r=0.15,107,135,0.7925925925925926,1.4814814814814836,alpha_with_full_qk_draft_accuracy_summary.csv,full/alpha from original corrected-full micro figure source
MuSiQue,Uniform a=0.25 r=0.15,107,135,0.7925925925925926,1.4814814814814836,alpha_with_full_qk_draft_accuracy_summary.csv,full/alpha from original corrected-full micro figure source
MuSiQue,Random a=0.05 r=0.15,105,135,0.7777777777777778,0.0,alpha_with_full_qk_draft_accuracy_summary.csv,full/alpha from original corrected-full micro figure source
MuSiQue,Random a=0.1 r=0.15,105,135,0.7777777777777778,0.0,alpha_with_full_qk_draft_accuracy_summary.csv,full/alpha from original corrected-full micro figure source
MuSiQue,Random a=0.25 r=0.15,106,135,0.7851851851851852,0.7407407407407418,alpha_with_full_qk_draft_accuracy_summary.csv,full/alpha from original corrected-full micro figure source
