dataset,method,rate,main_correct,main_total,main_acc,sub_correct,sub_total,sub_acc,avg_f1,avg_em,unique_rows,segments_done,segments_expected,status,source
musique,online_draft,0.0,90,135,0.6666666666666666,197,248,0.7943548387096774,0.5793479594793608,0.22983870967741934,248,8,8,complete,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_rate_sweep_online_qk_draft/rate_sweep_current_summary.csv
musique,online_draft,0.1,105,135,0.7777777777777778,213,248,0.8588709677419355,0.5962099116702165,0.23790322580645162,248,8,8,complete,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_rate_sweep_online_qk_draft/rate_sweep_current_summary.csv
musique,online_draft,0.3,109,135,0.8074074074074075,222,248,0.8951612903225806,0.5901493373180189,0.22983870967741934,248,8,8,complete,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_rate_sweep_online_qk_draft/rate_sweep_current_summary.csv
musique,online_draft,0.5,110,135,0.8148148148148148,222,248,0.8951612903225806,0.601188733564078,0.23387096774193547,248,8,8,complete,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_rate_sweep_online_qk_draft/rate_sweep_current_summary.csv
musique,online_draft,0.8,112,135,0.8296296296296296,225,248,0.907258064516129,0.6011971905023951,0.22580645161290322,248,8,8,complete,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_rate_sweep_online_qk_draft/rate_sweep_current_summary.csv
musique,online_draft,0.9,113,135,0.837037037037037,226,248,0.9112903225806451,0.5983803194033331,0.22983870967741934,248,8,8,complete,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_rate_sweep_online_qk_draft/rate_sweep_current_summary.csv
musique,online_qk,0.0,91,135,0.674074074074074,198,248,0.7983870967741935,0.5793479594793608,0.22983870967741934,248,8,8,complete,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_rate_sweep_online_qk_draft/rate_sweep_current_summary.csv
musique,online_qk,0.1,103,135,0.762962962962963,210,248,0.8467741935483871,0.5724172329470758,0.23387096774193547,248,8,8,complete,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_rate_sweep_online_qk_draft/rate_sweep_current_summary.csv
musique,online_qk,0.3,103,135,0.762962962962963,207,248,0.8346774193548387,0.5695176936146689,0.23790322580645162,248,8,8,complete,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_rate_sweep_online_qk_draft/rate_sweep_current_summary.csv
musique,online_qk,0.5,108,135,0.8,213,248,0.8588709677419355,0.5706184034044355,0.22983870967741934,248,8,8,complete,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_rate_sweep_online_qk_draft/rate_sweep_current_summary.csv
musique,online_qk,0.8,112,135,0.8296296296296296,222,248,0.8951612903225806,0.5977586128843997,0.25,248,8,8,complete,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_rate_sweep_online_qk_draft/rate_sweep_current_summary.csv
musique,online_qk,0.9,112,135,0.8296296296296296,223,248,0.8991935483870968,0.5946441516613452,0.25,248,8,8,complete,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_rate_sweep_online_qk_draft/rate_sweep_current_summary.csv
musique,random_alpha0p1,0.3,58,68,0.8529411764705882,115,125,0.92,0.5952927025024887,0.256,125,4,8,partial,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_attention_alpha_config_rate_sweep_canonical_20260714/random_alpha0p1
musique,random_alpha0p1,0.5,8,8,1.0,15,15,1.0,0.7264905980004018,0.26666666666666666,15,1,8,partial,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_attention_alpha_config_rate_sweep_canonical_20260714/random_alpha0p1
musique,random_alpha0p1,0.8,7,8,0.875,14,15,0.9333333333333333,0.7647956407461929,0.26666666666666666,15,1,8,partial,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_attention_alpha_config_rate_sweep_canonical_20260714/random_alpha0p1
musique,random_alpha0p1,1.0,7,8,0.875,14,15,0.9333333333333333,0.7546324867937456,0.2,15,1,8,partial,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_attention_alpha_config_rate_sweep_canonical_20260714/random_alpha0p1
musique,uniform_alpha0p1,0.3,111,135,0.8222222222222222,223,248,0.8991935483870968,0.589383182828366,0.24193548387096775,248,8,8,complete,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_attention_alpha_config_rate_sweep_canonical_20260714/uniform_alpha0p1
musique,uniform_alpha0p1,0.5,109,135,0.8074074074074075,221,248,0.8911290322580645,0.5975295425685306,0.23790322580645162,248,8,8,complete,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_attention_alpha_config_rate_sweep_canonical_20260714/uniform_alpha0p1
musique,uniform_alpha0p1,0.8,112,135,0.8296296296296296,224,248,0.9032258064516129,0.592879749374023,0.22580645161290322,248,8,8,complete,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_attention_alpha_config_rate_sweep_canonical_20260714/uniform_alpha0p1
musique,uniform_alpha0p1,1.0,109,135,0.8074074074074075,222,248,0.8951612903225806,0.6004950695241166,0.23387096774193547,248,8,8,complete,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_attention_alpha_config_rate_sweep_canonical_20260714/uniform_alpha0p1
