dataset,method,old_micro_correct,old_micro_total,old_micro_acc,new_rate015_correct,new_rate015_total,new_rate015_acc,delta_correct,delta_acc_pp
2wikimqa,online_qk,107,200,0.535,95,200,0.475,-12,-6.000000000000005
2wikimqa,online_draft,101,200,0.505,94,200,0.47,-7,-3.500000000000003
hotpotqa,online_qk,206,260,0.7923076923076923,220,260,0.8461538461538461,14,5.384615384615388
hotpotqa,online_draft,207,260,0.7961538461538461,223,260,0.8576923076923076,16,6.153846153846154
triviaqa,online_qk,212,270,0.7851851851851852,238,270,0.8814814814814815,26,9.629629629629633
triviaqa,online_draft,214,270,0.7925925925925926,246,270,0.9111111111111111,32,11.851851851851848
musique,online_qk,84,135,0.6222222222222222,100,135,0.7407407407407407,16,11.851851851851848
musique,online_draft,99,135,0.7333333333333333,108,135,0.8,9,6.666666666666677
micro_all,online_qk,609,865,0.7040462427745665,653,865,0.7549132947976879,44,5.086705202312136
micro_all,online_draft,621,865,0.7179190751445087,671,865,0.7757225433526012,50,5.780346820809246
