dataset,flip,main,sub,gt,old_pred,new_pred,old_reason,new_reason,old_file,new_file
2wikimqa,old_wrong_new_correct,Are Gut (Crișul Alb) and Gepiș both located in the same country?,Are Gut (Crișul Alb) and Gepiș both located in the same country?,yes,<think>  </think>  Answer: yes,yes,预测答案为空，没有提供任何实质性的内容或信息，因此无法回答关于Gut (Crișul Alb)和Gepiș是否位于同一个国家的问题，未能包含标准答案中的关键信息。,预测答案“yes”与标准答案“yes”完全一致，准确地回答了Gut (Crișul Alb)和Gepiș是否位于同一个国家的问题，包含了标准答案的关键信息，语义完全等价。,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_50_75/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_50_75/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,old_wrong_new_correct,Are Twin Cairns Island and Nova Zembla Island located in the same country?,Are Twin Cairns Island and Nova Zembla Island located in the same country?,yes,<think>  </think>  Answer: yes,yes,预测答案为空，没有提供任何信息。因此，它未能包含标准答案中的关键信息，也没有对问题做出任何语义上的回答，属于无效回答。,预测答案“yes”与标准答案“yes”完全一致，直接且准确地回答了关于Twin Cairns Island和Nova Zembla Island是否位于同一个国家的问题，包含了标准答案的关键信息，语义上完全等价。,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_50_75/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_50_75/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,old_wrong_new_correct,Are both Howard Lake (British Columbia) and North Buck Lake (Alberta) located in the same country?,Are both Howard Lake (British Columbia) and North Buck Lake (Alberta) located in the same country?,yes,<think>  </think>  Answer: yes,yes,预测答案为空，没有提供任何信息，因此未能包含标准答案的关键信息，也没有与标准答案在语义上保持一致，无法正确回答所给的问题。,预测答案“yes”与标准答案“yes”完全一致，准确地回答了关于这两个湖泊是否位于同一个国家的问题，包含了标准答案的关键信息，语义完全等价。,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_175_200/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_175_200/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,old_correct_new_wrong,Are both Open Mobile and Primestar located in the same country?,Are both Open Mobile and Primestar located in the same country?,yes,</think>  yes,no,预测答案“yes”与标准答案“yes”完全一致，准确地给出了问题的判断结果，包含了标准答案的关键信息，语义上完全等价，因此预测答案是正确的。,预测答案“no”与标准答案“yes”在语义上完全相反。预测答案表示Open Mobile和Primestar不在同一个国家，而标准答案明确指出两者位于同一个国家，因此预测答案未能正确回答问题。,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_25_50/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_25_50/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,old_wrong_new_correct,"Are the movies The Hatton Garden Job and Carry On Cleo, from the same country?","Are the movies The Hatton Garden Job and Carry On Cleo, from the same country?",yes,</think>  Answer: yes,"The Hatton Garden Job is a 2017 British film, and Carry On Cleo is a 1964 British film. Therefore, they are from the sam",预测答案为空，没有提供任何实质性的回答内容，未能包含标准答案中的关键信息“yes”，因此无法判定其正确回答了问题。,预测答案明确指出了两部电影均为英国电影，并得出它们来自同一个国家的结论。这与标准答案“yes”在语义上完全等价，准确回答了原问题。,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_125_150/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_125_150/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,old_correct_new_wrong,What is the cause of death of Heonjong Of Goryeo's father?,What is the cause of death of Heonjong Of Goryeo's father?,illness,"Answer: Heonjong of Goryeo's father was King Seonjong of Goryeo, and the cause of his death was illness.","1092, he calmly accepted his nearing death on lieu of Buddhist virtues.",预测答案明确指出了高丽献宗的父亲是高丽宣宗，并且准确回答了其死因为“illness”（疾病）。这与标准答案完全一致，包含了关键信息，且在语义上完全等价，因此判断为正确。,预测答案提到的是高丽献宗去世的时间（1092年）以及他面对死亡时的态度，而问题询问的是其父亲的死因。标准答案明确指出死因是“illness”（疾病），预测答案完全没有包含这一关键信息，且语义上也不等价。,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_100_125/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_100_125/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,old_correct_new_wrong,What is the place of birth of Frank Wartenberg's wife?,What is the place of birth of Frank Wartenberg's wife?,Prenzlau,Prenzlau </think>  Prenzlau,22 December 1871 in Ottensen,预测答案与标准答案完全一致，均为“Prenzlau”。预测答案准确且完整地包含了标准答案的关键信息，正确回答了关于Frank Wartenberg妻子出生地的问题，没有任何语义偏差。,预测答案提供的是一个日期和地点（1871年12月22日在奥滕森），而问题询问的是Frank Wartenberg妻子的出生地，标准答案为Prenzlau。预测答案不仅没有包含标准答案的关键信息，而且答非所问，语义上完全不一致。,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_175_200/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_175_200/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,old_correct_new_wrong,What is the place of birth of the director of film Clowning Around?,What is the place of birth of the director of film Clowning Around?,"Castlemaine, Victoria, Australia","Answer: Castlemaine, Victoria, Australia",10 July 1950,"预测答案“Castlemaine, Victoria, Australia”与标准答案完全一致，包含了所有关键信息，语义上完全等价，准确回答了电影导演的出生地。","预测答案给出的是一个日期（1950年7月10日），而问题询问的是导演的出生地。标准答案是“Castlemaine, Victoria, Australia”，预测答案完全没有包含任何关于地点的信息，因此是错误的。",MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_25_50/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_25_50/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,old_correct_new_wrong,Where was the director of film Hellcats Of The Navy born?,Where was the director of film Hellcats Of The Navy born?,Gura Humorului,"Answer: Gura Humorului, Austro-Hungarian Empire (now Romania)",10 July 1950,预测答案包含了标准答案中的核心关键信息“Gura Humorului”，并且额外补充了该地点的历史归属和现今国家名称（Austro-Hungarian Empire (now Romania)）。这些补充信息不仅没有改变原意，反而使回答更加,预测答案给出的是一个日期（1950年7月10日），而问题询问的是导演的出生地点。标准答案给出的是出生地“Gura Humorului”。预测答案完全没有包含标准答案的关键信息，属于答非所问，因此判断为错误。,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_125_150/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_125_150/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,old_correct_new_wrong,Where was the director of film Kanneshwara Rama born?,Where was the director of film Kanneshwara Rama born?,Mysore,Answer: Mysore,6 July 1930,预测答案明确给出了“Mysore”这一地点，与标准答案完全一致。虽然预测答案多包含了“Answer:”这样的前缀词，但这属于措辞上的细微差异，不影响核心语义的表达，完全符合题目要求的判断标准。,预测答案“6 July 1930”是一个日期，而问题询问的是导演的出生地点。标准答案“Mysore”是一个地名。预测答案完全没有包含标准答案的关键信息，且两者在语义上完全不同，因此预测答案是错误的。,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_0_25/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_0_25/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
