dataset,method,correct,total,acc,baseline_correct,baseline_total,baseline_acc,delta_pp,avg_f1,avg_em
HotpotQA,uniform alpha=0.1,226,260,0.8692307692307693,207,260,0.7961538461538461,7.3076923076923155,0.6133,
TriviaQA,uniform alpha=0.1,242,270,0.8962962962962963,214,270,0.7925925925925926,10.370370370370363,0.6398,
HotpotQA,uniform alpha=0.25,223,260,0.8576923076923076,207,260,0.7961538461538461,6.153846153846154,0.5893,
TriviaQA,uniform alpha=0.25,237,270,0.8777777777777778,214,270,0.7925925925925926,8.518518518518514,0.6043,
HotpotQA,random alpha=0.05,231,260,0.8884615384615384,207,260,0.7961538461538461,9.230769230769232,0.6184,
TriviaQA,random alpha=0.05,241,270,0.8925925925925926,214,270,0.7925925925925926,9.999999999999998,0.6398,
HotpotQA,random alpha=0.1,228,260,0.8769230769230769,207,260,0.7961538461538461,8.076923076923082,0.6129,
TriviaQA,random alpha=0.1,242,270,0.8962962962962963,214,270,0.7925925925925926,10.370370370370363,0.6367,
HotpotQA,random alpha=0.25,224,260,0.8615384615384616,207,260,0.7961538461538461,6.538461538461549,0.599,
TriviaQA,random alpha=0.25,238,270,0.8814814814814815,214,270,0.7925925925925926,8.888888888888891,0.6063,
MuSiQue,uniform alpha=0.1,107,135,0.7925925925925926,99,135,0.7333333333333333,5.9259259259259345,0.6021606301988138,0.25
MuSiQue,uniform alpha=0.25,107,135,0.7925925925925926,99,135,0.7333333333333333,5.9259259259259345,0.5782605789813382,0.23387096774193547
MuSiQue,random alpha=0.05,105,135,0.7777777777777778,99,135,0.7333333333333333,4.444444444444451,0.5940690903206387,0.24193548387096775
MuSiQue,random alpha=0.1,105,135,0.7777777777777778,99,135,0.7333333333333333,4.444444444444451,0.5898234041139603,0.24193548387096775
MuSiQue,random alpha=0.25,106,135,0.7851851851851852,99,135,0.7333333333333333,5.185185185185192,0.5684650386719329,0.21774193548387097
Micro-3sets,uniform alpha=0.1,564,730,0.7726027397260274,522,730,0.7150684931506849,5.753424657534256,,
Micro-3sets,uniform alpha=0.25,559,730,0.7657534246575343,522,730,0.7150684931506849,5.068493150684938,,
Micro-3sets,random alpha=0.05,566,730,0.7753424657534247,522,730,0.7150684931506849,6.027397260273981,,
Micro-3sets,random alpha=0.1,565,730,0.773972602739726,522,730,0.7150684931506849,5.890410958904113,,
Micro-3sets,random alpha=0.25,562,730,0.7698630136986301,522,730,0.7150684931506849,5.47945205479452,,
