dataset,method,rate,rows,raw_rows,expected_rows,complete,em,f1
2wikimqa-v2,full_rate1,1.0,200,268,200,True,0.48,0.589860795174611
2wikimqa-v2,offline32b_top2,0.05,0,0,200,False,0.0,0.0
2wikimqa-v2,offline3b_freq_boundary2,0.05,200,200,200,True,0.38,0.4893993619604099
2wikimqa-v2,offline3b_freq_boundary2,0.15,200,200,200,True,0.435,0.5686633314866226
2wikimqa-v2,offline3b_mean,0.05,200,200,200,True,0.355,0.4785757901074264
2wikimqa-v2,offline3b_mean,0.15,200,205,200,True,0.45,0.5683745337304337
2wikimqa-v2,offline3b_top2,0.05,200,200,200,True,0.355,0.4838509623384809
2wikimqa-v2,offline3b_top2,0.15,200,200,200,True,0.435,0.5591894715335118
2wikimqa-v2,online_draft,0.05,200,200,200,True,0.415,0.5390052065795348
2wikimqa-v2,online_draft,0.15,200,200,200,True,0.43,0.5768699160889564
2wikimqa-v2,online_qk,0.05,200,200,200,True,0.395,0.5152493994310356
2wikimqa-v2,online_qk,0.15,200,229,200,True,0.42,0.5312623607005759
2wikimqa-v2,preprocess_rate0,0.0,200,350,200,True,0.35,0.47815400361505167
2wikimqa-v2,raw_rate0,0.0,200,350,200,True,0.325,0.4296361189846363
2wikimqa-v2,uniform_alpha0p1_draft,0.15,200,200,200,True,0.43,0.5632340420406782
hotpotqa-v2,full_rate1,1.0,260,260,260,True,0.7038461538461539,0.8077728227225129
hotpotqa-v2,offline32b_top2,0.05,260,260,260,True,0.6884615384615385,0.783049466013862
hotpotqa-v2,offline32b_top2,0.15,260,260,260,True,0.6807692307692308,0.7842189428879711
hotpotqa-v2,offline3b_freq_boundary2,0.05,260,260,260,True,0.6846153846153846,0.77549293318018
hotpotqa-v2,offline3b_freq_boundary2,0.15,260,260,260,True,0.6846153846153846,0.7832825288746338
hotpotqa-v2,offline3b_mean,0.05,260,260,260,True,0.6884615384615385,0.7842802216922922
hotpotqa-v2,offline3b_mean,0.15,260,265,260,True,0.6923076923076923,0.7894721970495961
hotpotqa-v2,offline3b_top2,0.05,260,260,260,True,0.6807692307692308,0.7744296555917262
hotpotqa-v2,online_draft,0.05,260,260,260,True,0.6961538461538461,0.8042116183411728
hotpotqa-v2,online_draft,0.15,260,277,260,True,0.7076923076923077,0.8111911248504927
hotpotqa-v2,online_qk,0.05,260,260,260,True,0.6961538461538461,0.7858496747746465
hotpotqa-v2,online_qk,0.15,260,346,260,True,0.6653846153846154,0.7708671120884641
hotpotqa-v2,preprocess_rate0,0.0,260,450,260,True,0.6807692307692308,0.7733190283228982
hotpotqa-v2,raw_rate0,0.0,260,450,260,True,0.6269230769230769,0.7427119057611433
hotpotqa-v2,uniform_alpha0p1_draft,0.15,260,289,260,True,0.7038461538461539,0.8093841604473745
musique-v2,full_rate1,1.0,200,230,200,True,0.255,0.4002775677376809
musique-v2,offline3b_freq_boundary2,0.05,200,293,200,True,0.195,0.33283000277866504
musique-v2,offline3b_freq_boundary2,0.15,200,200,200,True,0.23,0.36751693523612794
musique-v2,offline3b_mean,0.05,200,293,200,True,0.215,0.34960933288191576
musique-v2,offline3b_mean,0.15,200,200,200,True,0.245,0.38787653909433095
musique-v2,offline3b_top2,0.05,200,293,200,True,0.205,0.34306930229314153
musique-v2,offline3b_top2,0.15,200,200,200,True,0.245,0.38468096413536396
musique-v2,online_draft,0.05,200,280,200,True,0.2,0.3380310904035148
musique-v2,online_draft,0.15,200,200,200,True,0.24,0.37878427248645763
musique-v2,online_qk,0.05,200,286,200,True,0.205,0.3389672281611517
musique-v2,online_qk,0.15,200,214,200,True,0.215,0.3556672976357179
musique-v2,preprocess_rate0,0.0,200,428,200,True,0.205,0.34012519706789596
musique-v2,raw_rate0,0.0,200,401,200,True,0.15,0.2776936046728502
musique-v2,uniform_alpha0p1_draft,0.05,200,257,200,True,0.22,0.359442387057114
musique-v2,uniform_alpha0p1_draft,0.15,200,285,200,True,0.25,0.39276670073242526
triviaqa-v2,full_rate1,1.0,270,270,270,True,0.662962962962963,0.7693137726471061
triviaqa-v2,offline32b_top2,0.05,270,270,270,True,0.6444444444444445,0.7453711720378388
triviaqa-v2,offline32b_top2,0.15,270,270,270,True,0.6481481481481481,0.7557791300928555
triviaqa-v2,offline3b_freq_boundary2,0.05,270,270,270,True,0.6444444444444445,0.7557560667364589
triviaqa-v2,offline3b_freq_boundary2,0.15,270,270,270,True,0.6407407407407407,0.7515247381914048
triviaqa-v2,offline3b_mean,0.05,270,270,270,True,0.6444444444444445,0.7520523630327551
triviaqa-v2,offline3b_mean,0.15,270,270,270,True,0.6481481481481481,0.7569181349298307
triviaqa-v2,offline3b_top2,0.05,270,270,270,True,0.6407407407407407,0.7483486593290515
triviaqa-v2,online_draft,0.05,270,270,270,True,0.6555555555555556,0.765700566680959
triviaqa-v2,online_draft,0.15,270,270,270,True,0.6666666666666666,0.7711656244989576
triviaqa-v2,online_qk,0.05,270,270,270,True,0.6407407407407407,0.7442745852549775
triviaqa-v2,online_qk,0.15,270,358,270,True,0.6481481481481481,0.7513650546983879
triviaqa-v2,preprocess_rate0,0.0,270,470,270,True,0.6444444444444445,0.7458795235265824
triviaqa-v2,raw_rate0,0.0,270,470,270,True,0.5740740740740741,0.6765064180764663
triviaqa-v2,uniform_alpha0p1_draft,0.15,270,270,270,True,0.6592592592592592,0.7645787870349272
