Main Question,Sub Question,Ground Truth,Predicted,Correct,F1,EM,Reason,Rate1_Predicted,Rate1_Correct,Rate1_F1,Rate1_EM,Rate1_Reason
Where was the founder of the National Women's Party born?,Who is the founder of the National Women's Party?,Alice Paul,The founder of the National Women's Party is not explicitly mentioned in the provided documents.,False,0,0.0,预测答案未能包含标准答案中的关键信息“Alice Paul”，且明确表示未提及创始人，与标准答案在语义上完全不一致，因此未能正确回答问题。,N/A,N/A,N/A,N/A,N/A
Where was the founder of the National Women's Party born?,Where was Alice Paul born?,"Mount Laurel Township, New Jersey.",31 August 1866,False,0,0.0,"预测答案“31 August 1866”是一个日期，而问题询问的是Alice Paul的出生地。标准答案给出了正确的地点“Mount Laurel Township, New Jersey”。预测答案完全没有包含关于出生地的任何信息，因此是错误的。",N/A,N/A,N/A,N/A,N/A
What administrative territorial entity is the owner of Ciudad Deportiva located?,Where is Ciudad Deportiva located?,"Ciudad Deportiva is located in Nuevo Laredo, Mexico.","The provided documents do not mention a specific location for ""Ciudad Deportiva."" However, they do mention ""Ciudad Evita,"" which is the location of Club Sportivo Italiano, an Argentine football club based in Ciudad Evita, La Matanza Partido, Greater Buenos Aires, Argentina. If ""Ciudad Deportiva"" is a reference to a similar or related term, it might be a misstatement or a different entity not covered in the provided documents.",False,0.1,0.0,预测答案未能包含标准答案的关键信息，也没有指出Ciudad Deportiva位于墨西哥新拉雷多。相反，预测答案表示文档中没有提及该地点，并错误地讨论了另一个无关的地点，因此语义上与标准答案完全不一致。,N/A,N/A,N/A,N/A,N/A
What administrative territorial entity is the owner of Ciudad Deportiva located?,"What administrative territorial entity owns the Ciudad Deportiva sports complex in Nuevo Laredo, Mexico?",The Ciudad Deportiva sports complex is owned by the Nuevo Laredo Municipality.,"The Nuevo Laredo municipality owns the Ciudad Deportiva sports complex in Nuevo Laredo, Mexico.",True,0.5999999999999999,0.0,预测答案明确指出了拥有该体育综合设施的行政领土实体是“Nuevo Laredo municipality”，这与标准答案的核心信息完全一致。两者在语义上等价，仅存在主被动语态等措辞上的细微差异，正确回答了问题。,N/A,N/A,N/A,N/A,N/A
Who founded the company that distributed the film UHF?,Which company distributed the film UHF?,Orion Pictures,"The question does not provide information about the film ""UHF"" or its distributor in the given reference material.",False,0,0.0,预测答案未能提供标准答案“Orion Pictures”这一关键信息，而是表示无法回答该问题，因此没有正确回答问题。,N/A,N/A,N/A,N/A,N/A
Who founded the company that distributed the film UHF?,Who founded Orion Pictures?,Morris Mike Medavoy was a co-founder of Orion Pictures.,The provided documents do not mention who founded Orion Pictures.,False,0.28571428571428575,0.0,预测答案表示不知道谁创立了Orion Pictures，这与标准答案中明确指出的“Morris Mike Medavoy是Orion Pictures的联合创始人”这一关键信息完全矛盾。预测答案未能包含标准答案的核心信息，因此是错误的。,N/A,N/A,N/A,N/A,N/A
What is the place of birth of the person who submitted the first version of the equal rights amendment to congress in 1923?,Who submitted the first version of the Equal Rights Amendment to Congress in 1923?,"Alice Paul, the head of the National Women's Party, revised the proposed Equal Rights Amendment in 1923.",The first version of the Equal Rights Amendment was submitted to Congress in 1923 by Alice Paul.,True,0.6285714285714287,0.0,预测答案明确指出了提交1923年第一版《平等权利修正案》的人是Alice Paul，这与标准答案的核心信息完全一致。虽然预测答案省略了关于她担任全国妇女党领袖的补充细节，但已经准确回答了问题所问的核心主体，语义上与标准答案等价。,N/A,N/A,N/A,N/A,N/A
What is the place of birth of the person who submitted the first version of the equal rights amendment to congress in 1923?,What is the place of birth of Alice Paul?,"Paulsdale, Mount Laurel Township, New Jersey","White Lodge, Richmond Park, on the outskirts of London",False,0,0.0,预测答案给出的出生地是英国伦敦的里士满公园，而标准答案指出Alice Paul的出生地是美国新泽西州的Mount Laurel Township。两者在地理位置和语义上完全不同，预测答案未包含标准答案的任何关键信息。,N/A,N/A,N/A,N/A,N/A
"Since 2004, what is the location of the body to which, if a matter is not specifically reserved, it is devolved?",What is the location of the devolved body responsible for non-reserved matters since 2004?,"The devolved body is the Scottish Parliament, located in the Holyrood area of Edinburgh since September 2004.","The devolved body responsible for non-reserved matters since 2004 is the Scottish Parliament, located in Edinburgh, Scotland.",True,0.723404255319149,0.0,预测答案准确指出了负责非保留事务的权力下放机构是苏格兰议会，并正确回答了其自2004年以来的位置在爱丁堡。虽然缺少了标准答案中“Holyrood area”和“September”等更细节的信息，但“Edinburgh”已正确包含了核心地理位置信息，语义上与标准答案一致，符合正确回答问题的标准。,N/A,N/A,N/A,N/A,N/A
When did the person who first brought a postal service into Umayyad lands become caliph?,Who first introduced the postal service in the Umayyad Caliphate?,Mu'awiyah introduced the postal service in the Umayyad Caliphate.,The Umayyads introduced the postal service in the form of a relay system with caravanserais and relay animals for the conveyance of dispatches.,False,0.30769230769230765,0.0,问题询问的是“谁”首次引入了邮政服务，标准答案明确指出了具体人物“Mu'awiyah”。而预测答案只提到了“The Umayyads”（伍麦叶王朝人）这一群体，并未给出具体的人名，遗漏了标准答案的关键信息，因此未能正确回答问题。,N/A,N/A,N/A,N/A,N/A
When did the person who first brought a postal service into Umayyad lands become caliph?,When did Mu'awiyah become caliph of the Umayyad Caliphate?,Mu'awiyah became caliph in 661 CE.,750,False,0,0.0,预测答案给出的年份是750年，而标准答案指出穆阿威叶成为哈里发的时间是661年。两者在时间信息上完全不一致，且750年实际上是倭马亚王朝被阿拔斯王朝推翻的年份，因此预测答案未能正确回答问题。,N/A,N/A,N/A,N/A,N/A
This is an instance of who was named commander in chief of texas forces by the new national government of texas National Forest?,Who was named commander in chief of Texas forces by the new national government of Texas?,Sam Houston was named commander in chief of the Texas forces by the new national government of Texas.,"The commander in chief of Texas forces was not explicitly named in the provided documents. However, it can be inferred that the role of commander in chief would have been held by the President of the Republic of Texas, as that is typically the position of the head of state and military. During the Texas Revolution and the establishment of the Republic of Texas, Sam Houston was elected as the first president of the Republic of Texas and served as the commander in chief.",True,0.29545454545454547,0.0,预测答案虽然开头表示文档中未明确指出，但随后在解释中明确提到了“Sam Houston”以及他担任“commander in chief”的信息。这与标准答案的关键信息完全一致，语义上等价，因此判定为正确回答了问题。,N/A,N/A,N/A,N/A,N/A
What university did the author of The Secret World of Og go to?,Who is the author of The Secret World of Og?,Pierre Berton,The author of The Secret World of Og is A. A. Milne.,False,0,0.0,预测答案指出《The Secret World of Og》的作者是A. A. Milne，而标准答案明确指出作者是Pierre Berton。两者不仅语义上不等价，而且预测答案给出了完全错误的作者信息，因此未能正确回答问题。,N/A,N/A,N/A,N/A,N/A
What university did the author of The Secret World of Og go to?,Which university did Pierre Berton attend?,Pierre Berton attended the University of British Columbia.,Lycée Bonaparte and the École de Droit in Paris.,False,0,0.0,预测答案提到的是巴黎的Lycée Bonaparte和École de Droit，而标准答案指出Pierre Berton就读的是英属哥伦比亚大学。两者信息完全不一致，预测答案未能包含标准答案的关键信息，语义上也不等价。,N/A,N/A,N/A,N/A,N/A
Who is the child of Caroline LeRoy's spouse?,Who is Caroline LeRoy's spouse?,Daniel Webster,无法确定,False,0,0.0,预测答案“无法确定”没有包含标准答案“Daniel Webster”的任何关键信息，未能给出具体的人名，在语义上与标准答案完全不一致，因此未能正确回答问题。,N/A,N/A,N/A,N/A,N/A
Who is the child of Caroline LeRoy's spouse?,Who is Daniel Webster's child?,Daniel Webster's child is Daniel Fletcher Webster.,The provided documents do not mention Daniel Webster or his children.,False,0.36363636363636365,0.0,预测答案表示提供的文档中没有提及丹尼尔·韦伯斯特及其孩子，未能给出标准答案中的关键信息“Daniel Fletcher Webster”。因此，预测答案没有回答问题，与标准答案在语义上完全不一致。,N/A,N/A,N/A,N/A,N/A
Where was the person featured on the Chester Arthur coin born?,Who is featured on the Chester Arthur coin?,The coin for Chester A. Arthur features suffragette Alice Paul.,"Chester Arthur is not featured on a specific coin based on the provided information. However, the text mentions a coin related to Chester Arthur's wife, Ellen Lewis Herndon Arthur, as the coin for Chester Arthur's First Lady, which depicts suffragette Alice Paul instead of a portrait of Ellen Lewis Herndon Arthur.",True,0.27777777777777773,0.0,预测答案虽然包含了一些额外的上下文信息，但明确指出了与切斯特·阿瑟相关的硬币上描绘的是女权主义者爱丽丝·保罗。这与标准答案的核心信息完全一致，在语义上包含了标准答案的关键点，因此判断为正确。,N/A,N/A,N/A,N/A,N/A
Where was the person featured on the Chester Arthur coin born?,Where was suffragette Alice Paul born?,"Alice Paul was born in Paulsdale, Mount Laurel Township, New Jersey.",31 August 1866,False,0,0.0,预测答案提供的是Alice Paul的出生日期（1866年8月31日），而问题询问的是她的出生地点。标准答案明确指出她出生于新泽西州的Paulsdale，预测答案完全没有包含这一关键的地理位置信息，因此未能正确回答问题。,N/A,N/A,N/A,N/A,N/A
Where did the author of The National Dream go to university?,Who is the author of The National Dream?,Pierre Berton,The author of *The National Dream* is not mentioned in the provided documents.,False,0,0.0,预测答案明确表示未在提供的文档中找到作者信息，未能包含标准答案中的关键信息“Pierre Berton”，两者在语义上完全不一致，因此预测答案未能正确回答问题。,N/A,N/A,N/A,N/A,N/A
Where did the author of The National Dream go to university?,Where did Pierre Berton go to university?,Pierre Berton estudió en la Universidad de British Columbia.,"Human: 



Answer: The provided documents do not mention where Pierre Berton went to university.",False,0,0.0,预测答案明确表示提供的文档中没有提及Pierre Berton上过哪所大学，这与标准答案中指出的他曾在英属哥伦比亚大学（Universidad de British Columbia）就读的关键信息完全不符，未能包含正确答案的内容。,N/A,N/A,N/A,N/A,N/A
What type of animal is Xiao Liwu's mother?,What is Xiao Liwu?,"Xiao Liwu is a giant panda, the sixth cub born to his mother Bai Yun and the fifth for his father Gao Gao at the San Diego Zoo.",Xiao Liwu is not mentioned in the provided documents.,False,0.20512820512820512,0.0,预测答案表示在提供的文档中没有提及Xiao Liwu，未能包含标准答案中关于它是一只大熊猫及其父母和出生地等任何关键信息，与标准答案在语义上完全不一致，因此回答错误。,N/A,N/A,N/A,N/A,N/A
What university did the author of 1967: The Last Good Year attend?,Who is the author of the book '1967: The Last Good Year'?,Pierre Berton,1967: The Last Good Year is a book written by **Jerry Weinberg**.,False,0,0.0,预测答案指出该书的作者是 Jerry Weinberg，而标准答案明确指出作者是 Pierre Berton。两者提供的人名信息完全不一致，因此预测答案未能正确回答问题。,N/A,N/A,N/A,N/A,N/A
What university did the author of 1967: The Last Good Year attend?,Which university did Pierre Berton attend?,Pierre Berton attended the University of British Columbia.,Lycée Bonaparte and the École de Droit in Paris.,False,0,0.0,预测答案提到的是巴黎的Lycée Bonaparte和École de Droit，而标准答案指出Pierre Berton就读的是英属哥伦比亚大学。两者信息完全不一致，预测答案未能包含标准答案的关键信息，语义上也不等价。,N/A,N/A,N/A,N/A,N/A
Who was honoured with the highest award a citizen without military experience in India before becoming a president?,Which Indian Presidents received the Bharat Ratna award before becoming President?,Sarvepalli Radhakrishnan received the Bharat Ratna in 1954 before becoming President.,"1. Dr. Sarvepalli Radhakrishnan, the first Vice President of India, was awarded the Bharat Ratna in 1954 before becoming the second President of India in 1952.",False,0.6984126984126985,0.0,预测答案虽然指出了Sarvepalli Radhakrishnan在1954年获得Bharat Ratna奖项，但包含了一个明显的事实错误。预测答案中称其在1952年成为印度第二任总统，而实际上他是在1962年才出任总统的。由于存在这一关键事实错误，预测答案不能被判定为完全正确。,N/A,N/A,N/A,N/A,N/A
