source,kind,layer,rank,original_gap,delta_recovery_error,final_kv_error,delta_cosine,explained_variance
raw,k,0,1,0.0009023001758582807,0.9868051814501295,0.0008903944887603144,0.1619121177156822,0.026215533863176932
raw,k,0,2,0.0009023001758582807,0.9739695967859163,0.000878812938460551,0.22667868125758917,0.051383224536679706
raw,k,0,4,0.0009023001758582807,0.9581852957029814,0.0008645707608176188,0.2861484563973568,0.08188093909859002
raw,k,0,8,0.0009023001758582807,0.9310989177114976,0.000840130717192539,0.36476678225474135,0.1330548054364779
raw,k,0,16,0.0009023001758582807,0.8860394589852683,0.0007994735596597833,0.46360983285635043,0.21493407712109316
raw,k,0,32,0.0009023001758582807,0.8174721677779857,0.0007376052807453264,0.5759681023358505,0.33173925490836076
raw,k,0,64,0.0009023001758582807,0.7241076692507512,0.0006533624773052825,0.6896869458908474,0.4756680833322447
raw,k,0,128,0.0009023001758582807,0.6019724815655191,0.0005431598759784135,0.7985168322821071,0.6376291314378508
raw,k,1,1,0.024929220304123357,0.9430800875872974,0.023510251267895688,0.33256570538216257,0.11059994839633534
raw,k,1,2,0.024929220304123357,0.8921291119359508,0.022240083171173243,0.45178053038657146,0.2041056476363718
raw,k,1,4,0.024929220304123357,0.8152612778915,0.020323828001978336,0.579093298848051,0.3353490487707182
raw,k,1,8,0.024929220304123357,0.7470489608239189,0.018623348122345892,0.6647690201354924,0.4419178501319027
raw,k,1,16,0.024929220304123357,0.6731040162486249,0.0167799583086522,0.7395478235448814,0.5469309833099709
raw,k,1,32,0.024929220304123357,0.5888012404037789,0.014678355837366904,0.8082778602058647,0.6533130992989713
raw,k,1,64,0.024929220304123357,0.487876713259304,0.012162386066092809,0.8729125458253529,0.7619763126592989
raw,k,1,128,0.024929220304123357,0.3817714054416392,0.009517263472069422,0.924256779248665,0.8542505939871156
raw,k,2,1,0.07681777246123828,0.7617068144032924,0.058512620751006765,0.6479218540006104,0.4198027288915883
raw,k,2,2,0.07681777246123828,0.7017982983859076,0.05391058199909285,0.7123757073220877,0.5074791483826446
raw,k,2,4,0.07681777246123828,0.6330301821493766,0.04862796849344702,0.7741271139082568,0.5992727884879272
raw,k,2,8,0.07681777246123828,0.5610000926958378,0.04309477747144245,0.8278157379485253,0.6852788959952614
raw,k,2,16,0.07681777246123828,0.49739136389331096,0.03820849661574133,0.867526271143619,0.752601831124352
raw,k,2,32,0.07681777246123828,0.4253443054620591,0.032674002074667884,0.9050316137080509,0.8190822218109985
raw,k,2,64,0.07681777246123828,0.33996292617068596,0.0261151947078365,0.9404388384310086,0.8844252088294647
raw,k,2,128,0.07681777246123828,0.25010028528197714,0.0192121468072817,0.9682199374635257,0.9374498473018736
raw,k,3,1,0.1712999519970251,0.5804119880193354,0.09942454568621005,0.8143229851621794,0.663121924163443
raw,k,3,2,0.1712999519970251,0.5397178584453802,0.09245364324363081,0.8418459676657795,0.7087046332751326
raw,k,3,4,0.1712999519970251,0.48431955734441484,0.0829639169243187,0.8748911740174946,0.7654345663737101
raw,k,3,8,0.1712999519970251,0.42155616662292084,0.07221255110655625,0.9068022928853832,0.8222903983821882
raw,k,3,16,0.1712999519970251,0.36975090345037137,0.06333831201190528,0.9291309215593,0.8632842693976341
raw,k,3,32,0.1712999519970251,0.3176709145815948,0.05441701241867825,0.9482010282787575,0.8990851900288931
raw,k,3,64,0.1712999519970251,0.25348344586260485,0.04342170210830472,0.9673397245402567,0.9357461426736199
raw,k,3,128,0.1712999519970251,0.18616114235772285,0.03188939474958928,0.9825192258048021,0.9653440290760676
raw,k,4,1,0.15216860363471546,0.6954672889645035,0.10582828623534968,0.7185577568855295,0.5163252499803637
raw,k,4,2,0.15216860363471546,0.6487571501179404,0.09872046963148448,0.760995506012255,0.579114160170848
raw,k,4,4,0.15216860363471546,0.5853242559323204,0.08906797469875002,0.8107993064977767,0.6573955154172755
raw,k,4,8,0.15216860363471546,0.527363551713103,0.08024817527202695,0.8496397379622385,0.7218876843245413
raw,k,4,16,0.15216860363471546,0.46318001675481446,0.07048145638108423,0.8862642224974502,0.7854642720790098
raw,k,4,32,0.15216860363471546,0.3970640621404428,0.060420683889439074,0.9177908969675667,0.8423401305565306
raw,k,4,64,0.15216860363471546,0.32043233531933174,0.048759741024953625,0.9472714069799634,0.8973231184817994
raw,k,4,128,0.15216860363471546,0.23688752978137995,0.03604684462530966,0.9715370802157146,0.9438842982340758
raw,k,5,1,0.12113053822781693,0.8275254509162125,0.10023860326669773,0.5614282038568414,0.31520162808591906
raw,k,5,2,0.12113053822781693,0.771960337801613,0.09350797120843675,0.6356706984447368,0.40407723686121955
raw,k,5,4,0.12113053822781693,0.7045293105987102,0.08534001459009456,0.709674890712153,0.5036384505073062
raw,k,5,8,0.12113053822781693,0.6395806713954626,0.0774727509662409,0.7687239847808375,0.5909365647773293
raw,k,5,16,0.12113053822781693,0.5701689029163634,0.06906486609102298,0.8215274932387537,0.6749074221471506
raw,k,5,32,0.12113053822781693,0.4896643688431231,0.05931330854895177,0.8719110080079652,0.7602288058854659
raw,k,5,64,0.12113053822781693,0.3916357936454706,0.04743905447355409,0.9201203210100745,0.8466214051356824
raw,k,5,128,0.12113053822781693,0.2883892228248892,0.034932741779880656,0.9575132668315653,0.9168316561584564
raw,k,6,1,0.1484379388366097,0.8378031220990122,0.12436176859525382,0.5459724613944806,0.2980859286011477
raw,k,6,2,0.1484379388366097,0.7759308110437406,0.11517757027115173,0.6308180216774112,0.39793137647300275
raw,k,6,4,0.1484379388366097,0.7027864534366417,0.10432017259042607,0.7114008721290318,0.506091200865947
