source,kind,layer,group,tokens,delta_l2,base_l2,relative_l2,energy_share
raw,k,0,selected,196,2.553619861602783,2754.30322265625,0.000927138258703053,1.0
raw,k,0,unselected,1117,0.0,6582.8955078125,0.0,0.0
raw,k,0,all,1313,2.553619861602783,7135.57177734375,0.00035787178785540164,1.0
raw,k,1,selected,196,37.63075256347656,954.2837524414062,0.03943350538611412,1.0
raw,k,1,unselected,1117,0.0,2268.15380859375,0.0,0.0
raw,k,1,all,1313,37.63075256347656,2460.7177734375,0.015292591415345669,1.0
raw,k,2,selected,196,118.70453643798828,959.173583984375,0.12375709414482117,1.0000001192092896
raw,k,2,unselected,1117,0.0,2327.796142578125,0.0,0.0
raw,k,2,all,1313,118.70453643798828,2517.653076171875,0.04714888706803322,1.0
raw,k,3,selected,196,170.08651733398438,748.3875122070312,0.22727064788341522,0.9999999403953552
raw,k,3,unselected,1117,0.0,1766.86865234375,0.0,0.0
raw,k,3,all,1313,170.08651733398438,1918.8428955078125,0.08864014595746994,1.0
raw,k,4,selected,196,162.86434936523438,775.0325927734375,0.2101387083530426,1.0000001192092896
raw,k,4,unselected,1117,0.0,1829.5113525390625,0.0,0.0
raw,k,4,all,1313,162.86434936523438,1986.9146728515625,0.08196846395730972,1.0
raw,k,5,selected,196,146.07347106933594,848.710693359375,0.17211221158504486,0.9999998807907104
raw,k,5,unselected,1117,0.0,2005.6898193359375,0.0,0.0
raw,k,5,all,1313,146.07347106933594,2177.871826171875,0.06707165390253067,1.0
raw,k,6,selected,196,210.8914794921875,1086.9522705078125,0.19402092695236206,0.9999999403953552
raw,k,6,unselected,1117,0.0,2607.126220703125,0.0,0.0
raw,k,6,all,1313,210.8914794921875,2824.647705078125,0.07466116547584534,1.0
raw,k,7,selected,196,155.31021118164062,1124.7733154296875,0.13808134198188782,1.0000001192092896
raw,k,7,unselected,1117,0.0,2736.160888671875,0.0,0.0
raw,k,7,all,1313,155.31021118164062,2958.293701171875,0.052499931305646896,1.0
raw,k,8,selected,196,148.72647094726562,1532.154541015625,0.09707015007734299,0.9999999403953552
raw,k,8,unselected,1117,0.0,3720.6845703125,0.0,0.0
raw,k,8,all,1313,148.72647094726562,4023.707275390625,0.03696254640817642,1.0
raw,k,9,selected,196,146.9306182861328,991.053466796875,0.14825700223445892,1.0
raw,k,9,unselected,1117,0.0,2391.14892578125,0.0,0.0
raw,k,9,all,1313,146.9306182861328,2588.39208984375,0.05676520988345146,1.0
raw,k,10,selected,196,163.45069885253906,1633.2100830078125,0.10007940977811813,0.9999999403953552
raw,k,10,unselected,1117,0.0,3900.122314453125,0.0,0.0
raw,k,10,all,1313,163.45069885253906,4228.20458984375,0.038657236844301224,1.0
raw,k,11,selected,196,175.87960815429688,965.9312744140625,0.18208293616771698,1.0
raw,k,11,unselected,1117,0.0,2339.559814453125,0.0,0.0
raw,k,11,all,1313,175.87960815429688,2531.111328125,0.06948710978031158,1.0
raw,k,12,selected,196,197.7526092529297,781.0365600585938,0.2531925141811371,1.0
raw,k,12,unselected,1117,0.0,1862.650634765625,0.0,0.0
raw,k,12,all,1313,197.7526092529297,2019.7860107421875,0.09790769964456558,1.0
raw,k,13,selected,196,190.07083129882812,737.0440673828125,0.25788259506225586,1.0
raw,k,13,unselected,1117,0.0,1789.361328125,0.0,0.0
raw,k,13,all,1313,190.07083129882812,1935.2265625,0.09821631759405136,1.0
raw,k,14,selected,196,182.11866760253906,792.9642944335938,0.22966818511486053,1.0
raw,k,14,unselected,1117,0.0,1892.585693359375,0.0,0.0
raw,k,14,all,1313,182.11866760253906,2052.004638671875,0.08875158429145813,1.0
raw,k,15,selected,196,206.0044403076172,881.7821044921875,0.23362283408641815,1.0000001192092896
raw,k,15,unselected,1117,0.0,2115.88671875,0.0,0.0
raw,k,15,all,1313,206.0044403076172,2292.281494140625,0.08986873924732208,1.0
raw,k,16,selected,196,210.18572998046875,972.9069213867188,0.21603888273239136,1.0000001192092896
raw,k,16,unselected,1117,0.0,2337.87939453125,0.0,0.0
raw,k,16,all,1313,210.18572998046875,2532.234130859375,0.08300406485795975,1.0
raw,k,17,selected,196,214.04641723632812,788.2033081054688,0.27156245708465576,1.0
raw,k,17,unselected,1117,0.0,1858.6480712890625,0.0,0.0
raw,k,17,all,1313,214.04641723632812,2018.8841552734375,0.10602214187383652,1.0
raw,k,18,selected,196,284.66949462890625,762.0291137695312,0.37356773018836975,1.0
raw,k,18,unselected,1117,0.0,1785.5775146484375,0.0,0.0
raw,k,18,all,1313,284.66949462890625,1941.3927001953125,0.14663158357143402,1.0
raw,k,19,selected,196,261.3023681640625,773.2578125,0.3379240036010742,1.0
raw,k,19,unselected,1117,0.0,1831.71533203125,0.0,0.0
raw,k,19,all,1313,261.3023681640625,1988.2491455078125,0.13142335414886475,1.0
raw,k,20,selected,196,270.9013977050781,744.8334350585938,0.36370736360549927,1.0000001192092896
raw,k,20,unselected,1117,0.0,1748.205810546875,0.0,0.0
raw,k,20,all,1313,270.9013977050781,1900.2724609375,0.1425592452287674,1.0
raw,k,21,selected,196,305.39801025390625,813.3427124023438,0.37548503279685974,1.0000001192092896
raw,k,21,unselected,1117,0.0,1913.1265869140625,0.0,0.0
raw,k,21,all,1313,305.39801025390625,2078.8486328125,0.1469072848558426,1.0
raw,k,22,selected,196,274.12274169921875,744.0476684570312,0.36842092871665955,1.0
raw,k,22,unselected,1117,0.0,1760.9859619140625,0.0,0.0
raw,k,22,all,1313,274.12274169921875,1911.7332763671875,0.14338964223861694,1.0
raw,k,23,selected,196,294.8974914550781,761.1857299804688,0.38741856813430786,1.000000238418579
raw,k,23,unselected,1117,0.0,1786.865478515625,0.0,0.0
raw,k,23,all,1313,294.8974914550781,1942.2467041015625,0.151833176612854,1.0
raw,k,24,selected,196,339.90704345703125,778.3844604492188,0.43668273091316223,1.0000001192092896
raw,k,24,unselected,1117,0.0,1849.9989013671875,0.0,0.0
raw,k,24,all,1313,339.90704345703125,2007.091796875,0.16935300827026367,1.0
raw,k,25,selected,196,341.1277160644531,1790.5281982421875,0.19051791727542877,1.0000001192092896
raw,k,25,unselected,1117,0.0,4384.85546875,0.0,0.0
raw,k,25,all,1313,341.1277160644531,4736.17138671875,0.07202605158090591,1.0
raw,k,26,selected,196,314.70166015625,796.3687133789062,0.39517080783843994,1.0
raw,k,26,unselected,1117,0.0,1882.06103515625,0.0,0.0
