layer,pc1,pc2,pc4,effective_rank
0,0.0,0.0,0.0,1.0
1,0.27130040526390076,0.3759384751319885,0.539794921875,24.677034378051758
2,0.55985027551651,0.7828701734542847,0.8593037724494934,5.553164958953857
3,0.39583396911621094,0.5139138102531433,0.6769169569015503,13.358129501342773
4,0.32537466287612915,0.4450623393058777,0.5799877643585205,19.705333709716797
5,0.2566498816013336,0.43326008319854736,0.5944032669067383,19.83047866821289
6,0.3135111629962921,0.4070621132850647,0.5375519394874573,22.497690200805664
7,0.11442958563566208,0.22140279412269592,0.34488144516944885,51.32012176513672
8,0.15936867892742157,0.24714019894599915,0.35840532183647156,45.965126037597656
9,0.16821257770061493,0.2674182057380676,0.3982596695423126,38.54011154174805
10,0.15841642022132874,0.24306276440620422,0.37999629974365234,43.00895309448242
11,0.11214667558670044,0.20259910821914673,0.3467216193675995,51.583717346191406
12,0.14360974729061127,0.2466343343257904,0.39545807242393494,43.08592987060547
13,0.11659508943557739,0.20342323184013367,0.3198273181915283,56.96736526489258
14,0.13471142947673798,0.2263336181640625,0.360037624835968,50.258148193359375
15,0.14350351691246033,0.2475535124540329,0.3985579311847687,43.357730865478516
16,0.15166397392749786,0.24175509810447693,0.3944457471370697,42.572044372558594
17,0.20380719006061554,0.31795740127563477,0.4666694104671478,34.5372428894043
18,0.21296563744544983,0.325870543718338,0.4638715386390686,34.2624397277832
19,0.1842617690563202,0.2859572768211365,0.4163220524787903,40.90655517578125
20,0.20144708454608917,0.36537665128707886,0.49331679940223694,32.01237106323242
21,0.15382413566112518,0.2690562605857849,0.3698486387729645,48.61482620239258
22,0.1832178384065628,0.291042685508728,0.39669811725616455,45.11539077758789
23,0.13596616685390472,0.26020681858062744,0.36539649963378906,49.127559661865234
24,0.11355181038379669,0.213004007935524,0.30880239605903625,63.198001861572266
25,0.1478782445192337,0.22962936758995056,0.32931581139564514,59.567440032958984
26,0.1361558735370636,0.21257826685905457,0.3110971450805664,61.537574768066406
27,0.1344623565673828,0.21140378713607788,0.3095250129699707,60.593318939208984
28,0.10739690810441971,0.17737974226474762,0.27229395508766174,69.3417739868164
29,0.13009807467460632,0.19941362738609314,0.28678226470947266,65.77433776855469
30,0.1095043197274208,0.18644970655441284,0.2753787636756897,68.7540054321289
31,0.10355672985315323,0.17644503712654114,0.2699011564254761,68.20344543457031
32,0.1268962174654007,0.21594926714897156,0.318332701921463,59.54668045043945
33,0.12997570633888245,0.22758057713508606,0.32297420501708984,55.72913360595703
34,0.08959615230560303,0.17161138355731964,0.2639862596988678,68.3802719116211
35,0.08719736337661743,0.152878075838089,0.2442474365234375,73.16815948486328
36,0.0981459841132164,0.17505472898483276,0.28656864166259766,62.29853820800781
37,0.09353157132863998,0.1615617275238037,0.25950178503990173,68.27587890625
38,0.113740935921669,0.19211508333683014,0.2998194992542267,62.023738861083984
39,0.1125897616147995,0.19181036949157715,0.311676025390625,58.85706329345703
40,0.09946147352457047,0.16867655515670776,0.28294894099235535,63.48372268676758
41,0.09684836119413376,0.1800673007965088,0.3016972839832306,60.57133483886719
42,0.09669119119644165,0.1856192648410797,0.2812789976596832,66.66635131835938
43,0.08884932845830917,0.17344731092453003,0.27960872650146484,68.4963150024414
44,0.07222305238246918,0.1351979821920395,0.2222069799900055,83.95854187011719
45,0.0672634020447731,0.1256745606660843,0.2055664360523224,86.2697525024414
46,0.3406405746936798,0.388849675655365,0.4622329771518707,34.676937103271484
47,0.06587796658277512,0.11544197797775269,0.19604294002056122,92.84765625
48,0.1817239224910736,0.23715586960315704,0.32262536883354187,64.47938537597656
49,0.19313488900661469,0.24769067764282227,0.33252057433128357,63.43340301513672
50,0.05814513936638832,0.11153383553028107,0.2023009955883026,93.53491973876953
51,0.1781964749097824,0.23727035522460938,0.31674373149871826,66.67194366455078
52,0.05944524705410004,0.11381702125072479,0.189741849899292,96.20465850830078
53,0.06218203902244568,0.11835445463657379,0.18080617487430573,101.322265625
54,0.07781916856765747,0.13454599678516388,0.204370379447937,94.84999084472656
55,0.09790442138910294,0.15486013889312744,0.22369025647640228,88.1135025024414
56,0.09056415408849716,0.1444772183895111,0.21140092611312866,94.74900817871094
57,0.06884022802114487,0.12993499636650085,0.2002270519733429,95.28617858886719
58,0.0603766106069088,0.11779603362083435,0.18759685754776,97.12657165527344
59,0.08679743111133575,0.13905146718025208,0.20515015721321106,88.2682113647461
60,0.08060085028409958,0.1349874585866928,0.20521865785121918,92.781005859375
61,0.07446946948766708,0.14067722856998444,0.219939723610878,82.79652404785156
62,0.06271855533123016,0.11672736704349518,0.18506187200546265,92.71471405029297
63,0.07564631849527359,0.1321725845336914,0.21080772578716278,83.83768463134766
