source,method,original_gap_mean,original_gap_std,original_gap_median,delta_recovery_error_mean,delta_recovery_error_std,delta_recovery_error_median,final_kv_error_mean,final_kv_error_std,final_kv_error_median,explained_delta_energy_mean,explained_delta_energy_std,explained_delta_energy_median,cosine_mean,cosine_std,cosine_median
preprocess,cached_prefix_r4,0.4772009398008585,0.2335491542787273,0.38381052687294304,0.5962660310944422,0.41586960327478645,0.5749017251170361,0.23814048512523872,0.14459438054675408,0.21343588216386522,0.47497824377351205,1.271238564819101,0.669425649692716,0.7915353537432637,0.18248920973187058,0.8185499815956041
preprocess,cached_prefix_r8,0.4772009398008585,0.2335491542787273,0.38381052687294304,0.5622408493357878,0.2922320444365171,0.5690938765707558,0.22508160482915,0.09246254085593383,0.21291062997356708,0.6001936508985365,0.5616854673025211,0.6761015064965936,0.8024932539155886,0.1649193796492564,0.8238787956099092
preprocess,mean,0.4772009398008585,0.2335491542787273,0.38381052687294304,0.5489344150224887,0.20010267930531175,0.58085844182823,0.22162908750719637,0.04622108582674641,0.21689172610812807,0.6594307473840569,0.19644795222348807,0.6626034648181602,0.8058801110558272,0.12124777538923119,0.8145801603072815
preprocess,oracle_r4,0.4772009398008585,0.2335491542787273,0.38381052687294304,0.44626912306996097,0.15873554067649293,0.49454934832393926,0.18100973763190198,0.03572054499585735,0.17635732494482392,0.7761508373579866,0.12855246231166054,0.7554048003411666,0.8785026792765271,0.07376156643523009,0.8691981589409139
preprocess,oracle_r8,0.4772009398008585,0.2335491542787273,0.38381052687294304,0.418033935855754,0.154450894556874,0.45726494872402634,0.16920845188955513,0.037432346113331384,0.15692583675290325,0.8018696512201171,0.12099467506056254,0.7909044410659332,0.893347570081139,0.0689578371548742,0.8895461595522349
preprocess,position_r4,0.4772009398008585,0.2335491542787273,0.38381052687294304,0.5119784502963955,0.1817966923275248,0.558672982459772,0.20762529678220862,0.04000400958556598,0.20529550805612426,0.7054890298376971,0.16528386517048566,0.6878817512009807,0.8368061890589602,0.09764158765140071,0.830757330274247
preprocess,position_r8,0.4772009398008585,0.2335491542787273,0.38381052687294304,0.5094675036746732,0.18214272753315033,0.5553232368920225,0.20633614612940412,0.04045823451082931,0.20346894265914128,0.7079304089701458,0.16439360980558268,0.6916156239895508,0.8383884155584949,0.09683159352883908,0.832204272594693
raw,cached_prefix_r4,0.41083423985093814,0.03319786099866888,0.411134696781735,0.572965071760952,0.34229701675392876,0.5025439390540253,0.234593104090515,0.14604941372393734,0.21256404661972544,0.5568871238169006,1.0001233906271467,0.7473985784469173,0.8383816080829676,0.12024435580194323,0.8716503155304043
raw,cached_prefix_r8,0.41083423985093814,0.03319786099866888,0.411134696781735,0.5351447762292638,0.19499677527319173,0.48921141341226326,0.21850401963830762,0.07983873080150705,0.21064743520399665,0.6763568009549263,0.3260890650863937,0.7606526542487566,0.8475618992143865,0.10055304941163994,0.875490509167484
raw,mean,0.41083423985093814,0.03319786099866888,0.411134696781735,0.5350917653790863,0.13350401354419542,0.5043520143896467,0.21789511673698045,0.0484702134550445,0.21643002386616733,0.6962099474237323,0.15943187559629024,0.7456211736767514,0.8412988789328598,0.08705297244012387,0.8681652614477428
raw,oracle_r4,0.41083423985093814,0.03319786099866888,0.411134696781735,0.4352508553620821,0.09498996469894339,0.4148053477286837,0.17791469120296832,0.03776343634128161,0.1705563809499076,0.8017140613809395,0.09222639306973665,0.827906842273856,0.8941596310253037,0.054165590461631836,0.9112817409956375
raw,oracle_r8,0.41083423985093814,0.03319786099866888,0.411134696781735,0.4074644407279963,0.10012251637226734,0.3967263837233338,0.16639248703648943,0.03933357733520976,0.1552487300881436,0.8241487016232005,0.09236705417743976,0.8426022734211408,0.9063213402136653,0.05354227595969487,0.9179429976780857
raw,position_r4,0.41083423985093814,0.03319786099866888,0.411134696781735,0.49965468256148804,0.10782817114830932,0.4929496615969127,0.2040243005278245,0.04204312091007427,0.2044335353536877,0.7389508219910533,0.11289141228839794,0.7570002414042716,0.8591395918254195,0.06856944349035204,0.8707723043338946
raw,position_r8,0.41083423985093814,0.03319786099866888,0.411134696781735,0.49667701979559226,0.10927488057167352,0.4882899278928826,0.20279097080032266,0.04256666678619295,0.20357983294750615,0.7416097584734945,0.11420509210547942,0.7615357072270431,0.860498864618311,0.06937803111198382,0.8736760795499331
