source,kind,token,relative_l2,energy,rank
raw,k,50,0.4025416076183319,0.00957463774830103,28
raw,k,51,0.441535621881485,0.010479585267603397,27
raw,k,52,0.38098421692848206,0.007960773073136806,40
raw,k,54,0.31418660283088684,0.005584067665040493,70
raw,k,55,0.21644578874111176,0.002647450426593423,123
raw,k,56,0.32687944173812866,0.005886239930987358,67
raw,k,58,0.2058621495962143,0.0023547017481178045,131
raw,k,68,0.27273106575012207,0.004208328668028116,94
raw,k,81,0.2937110364437103,0.004856858868151903,83
raw,k,96,0.051006559282541275,0.00014800539065618068,194
raw,k,97,0.06699957698583603,0.0002623511536512524,187
raw,k,104,0.03720510005950928,8.083823195192963e-05,195
raw,k,107,0.06010283902287483,0.00018383035785518587,192
raw,k,115,0.28361308574676514,0.004101878963410854,96
raw,k,116,0.2763625383377075,0.00429178262129426,91
raw,k,117,0.05689973384141922,0.00019621751562226564,190
raw,k,122,0.1065412312746048,0.000589433591812849,176
raw,k,125,0.08242384344339371,0.0003514855052344501,183
raw,k,141,0.1701713502407074,0.0015264354879036546,151
raw,k,142,0.4578685462474823,0.012387285940349102,21
raw,k,143,0.4918362498283386,0.013002868741750717,16
raw,k,144,0.40110570192337036,0.008818460628390312,31
raw,k,145,0.4740349054336548,0.012670001946389675,18
raw,k,147,0.31730905175209045,0.005742805078625679,68
raw,k,148,0.3838801980018616,0.008110248483717442,39
raw,k,149,0.258767694234848,0.0035937270149588585,110
raw,k,150,0.24394407868385315,0.0035483266692608595,111
raw,k,151,0.301395058631897,0.00531647726893425,72
raw,k,153,0.23203204572200775,0.0030197349842637777,118
raw,k,154,0.26310956478118896,0.0038653616793453693,101
raw,k,155,0.1890208125114441,0.002048996277153492,136
raw,k,156,0.1899798959493637,0.0021318504586815834,134
raw,k,158,0.1749637871980667,0.00169081287458539,146
raw,k,159,0.20786544680595398,0.002483709016814828,127
raw,k,161,0.17094050347805023,0.0017172271618619561,145
raw,k,172,0.07175350189208984,0.00026802747743204236,186
raw,k,173,0.07446679472923279,0.00030010362388566136,185
raw,k,187,0.08172513544559479,0.00037375467945821583,181
raw,k,188,0.09734512865543365,0.0005360328359529376,178
raw,k,202,0.05864843726158142,0.0001925890683196485,191
raw,k,207,0.15450577437877655,0.0013888273388147354,157
raw,k,213,0.08909980207681656,0.0004459179472178221,180
raw,k,214,0.15174554288387299,0.0012935480335727334,162
raw,k,217,0.2948746681213379,0.0045220875181257725,86
raw,k,218,0.5019041895866394,0.014887360855937004,2
