target,source,kind,mode,rank,remaining_delta,explained_delta_energy
1,preprocess,v,shared,0,0.8591616153717041,0.2618412971496582
1,preprocess,v,per_x,0,0.8591616153717041,0.2618412971496582
1,preprocess,v,shared,1,0.7938015460968018,0.3698790669441223
1,preprocess,v,per_x,1,0.7769319415092468,0.39637672901153564
1,preprocess,v,shared,2,0.7531741261482239,0.43272876739501953
1,preprocess,v,per_x,2,0.7452134490013123,0.4446569085121155
1,preprocess,v,shared,4,0.7232320308685303,0.47693538665771484
1,preprocess,v,per_x,4,0.7145334482192993,0.4894419312477112
1,preprocess,v,shared,8,0.6670058369636536,0.5551031827926636
1,preprocess,v,per_x,8,0.6577229499816895,0.5674005746841431
1,preprocess,v,shared,16,0.5860027074813843,0.656600832939148
1,preprocess,v,per_x,16,0.6220331788063049,0.6130747199058533
1,preprocess,v,shared,32,0.520900309085846,0.7286628484725952
1,preprocess,v,per_x,32,0.6021039485931396,0.6374708414077759
2,preprocess,v,shared,0,0.652182400226593,0.5746580958366394
2,preprocess,v,per_x,0,0.652182400226593,0.5746580958366394
2,preprocess,v,shared,1,0.5963184833526611,0.6444042325019836
2,preprocess,v,per_x,1,0.6061433553695679,0.6325901746749878
2,preprocess,v,shared,2,0.5865501761436462,0.655958890914917
2,preprocess,v,per_x,2,0.5784927606582642,0.6653461456298828
2,preprocess,v,shared,4,0.5622391104698181,0.6838871240615845
2,preprocess,v,per_x,4,0.5577142834663391,0.688954770565033
2,preprocess,v,shared,8,0.5157922506332397,0.73395836353302
2,preprocess,v,per_x,8,0.5214923024177551,0.7280458211898804
2,preprocess,v,shared,16,0.44046154618263245,0.8059936165809631
2,preprocess,v,per_x,16,0.5064148306846619,0.7435440421104431
2,preprocess,v,shared,32,0.4130776822566986,0.8293668031692505
2,preprocess,v,per_x,32,0.4916832447052002,0.7582476139068604
3,preprocess,v,shared,0,0.7256801724433899,0.4733882546424866
3,preprocess,v,per_x,0,0.7256801724433899,0.4733882546424866
3,preprocess,v,shared,1,0.7078414559364319,0.4989604949951172
3,preprocess,v,per_x,1,0.6507559418678284,0.5765167474746704
3,preprocess,v,shared,2,0.6745708584785461,0.5449541807174683
3,preprocess,v,per_x,2,0.6157920360565186,0.6208001375198364
3,preprocess,v,shared,4,0.6169198751449585,0.6194098591804504
3,preprocess,v,per_x,4,0.5755303502082825,0.6687648296356201
3,preprocess,v,shared,8,0.5059079527854919,0.7440571188926697
3,preprocess,v,per_x,8,0.5348163843154907,0.7139713764190674
3,preprocess,v,shared,16,0.44234421849250793,0.8043316006660461
3,preprocess,v,per_x,16,0.4963834881782532,0.753603458404541
3,preprocess,v,shared,32,0.3783348798751831,0.8568627238273621
3,preprocess,v,per_x,32,0.46141350269317627,0.7870975732803345
4,preprocess,v,shared,0,0.8742053508758545,0.23576503992080688
4,preprocess,v,per_x,0,0.8742053508758545,0.23576503992080688
4,preprocess,v,shared,1,0.8529120683670044,0.2725410461425781
4,preprocess,v,per_x,1,0.8488962650299072,0.2793751358985901
4,preprocess,v,shared,2,0.8309711813926697,0.30948686599731445
4,preprocess,v,per_x,2,0.7592199444770813,0.42358511686325073
4,preprocess,v,shared,4,0.779423177242279,0.39249950647354126
4,preprocess,v,per_x,4,0.7213319540023804,0.4796801805496216
4,preprocess,v,shared,8,0.6753981709480286,0.543837308883667
4,preprocess,v,per_x,8,0.686820387840271,0.5282777547836304
4,preprocess,v,shared,16,0.5490418076515198,0.6985530853271484
4,preprocess,v,per_x,16,0.6513820886611938,0.5757013559341431
4,preprocess,v,shared,32,0.49967318773269653,0.7503266930580139
4,preprocess,v,per_x,32,0.6173849701881409,0.6188358068466187
5,preprocess,v,shared,0,0.19774964451789856,0.9608950614929199
5,preprocess,v,per_x,0,0.19774964451789856,0.9608950614929199
5,preprocess,v,shared,1,0.192446768283844,0.9629642367362976
5,preprocess,v,per_x,1,0.18759682774543762,0.9648074507713318
5,preprocess,v,shared,2,0.18375138938426971,0.9662353992462158
5,preprocess,v,per_x,2,0.16348782181739807,0.9732717275619507
5,preprocess,v,shared,4,0.17414915561676025,0.9696720838546753
5,preprocess,v,per_x,4,0.15469972789287567,0.9760680198669434
5,preprocess,v,shared,8,0.1579742729663849,0.9750441312789917
5,preprocess,v,per_x,8,0.14233365654945374,0.9797411561012268
5,preprocess,v,shared,16,0.13314610719680786,0.9822720885276794
5,preprocess,v,per_x,16,0.13700543344020844,0.9812294840812683
5,preprocess,v,shared,32,0.12005554884672165,0.9855866432189941
5,preprocess,v,per_x,32,0.1306917816400528,0.9829196333885193
