source,kind,granularity,layer,unit,unit_tokens,rank,explained_variance,delta_recovery_error
raw,k,head,0,0,1313,1,0.12434734195483203,0.935763142063828
raw,k,head,0,0,1313,2,0.19946323041442288,0.8947272040044257
raw,k,head,0,0,1313,4,0.2923519247666157,0.8412182090476789
raw,k,head,0,0,1313,8,0.4476818008048434,0.7431811348488043
raw,k,head,0,0,1313,16,0.6452094658887565,0.5956429585844556
raw,k,head,0,0,1313,32,0.7747926104130838,0.47456020649325015
raw,k,head,0,0,1313,64,0.8929296803252791,0.3272160137809898
raw,k,head,0,0,1313,128,1.0,0.0
raw,k,head,0,1,1313,1,0.07147442949723873,0.9636003167822027
raw,k,head,0,1,1313,2,0.12877474172819756,0.9333944815948948
raw,k,head,0,1,1313,4,0.21826540660840232,0.8841575614061091
raw,k,head,0,1,1313,8,0.32792508624022937,0.8198017527181621
raw,k,head,0,1,1313,16,0.47144665179255535,0.7270167454793904
raw,k,head,0,1,1313,32,0.6458955130314613,0.5950667920229953
raw,k,head,0,1,1313,64,0.8450773956333019,0.3936020888749171
raw,k,head,0,1,1313,128,1.0,0.0
raw,k,head,0,2,1313,1,0.12191264699309963,0.9370631531582598
raw,k,head,0,2,1313,2,0.19425291669660433,0.8976341589441634
raw,k,head,0,2,1313,4,0.30961179517540294,0.8308960252790941
raw,k,head,0,2,1313,8,0.46148886022616764,0.7338331825243611
raw,k,head,0,2,1313,16,0.663121436261611,0.5804124083256568
raw,k,head,0,2,1313,32,0.8134968709304604,0.4318600804306177
raw,k,head,0,2,1313,64,0.9109554489089714,0.29840333625988263
raw,k,head,0,2,1313,128,1.0,0.0
raw,k,head,0,3,1313,1,0.07699249999786258,0.9607327932376085
raw,k,head,0,3,1313,2,0.15195708824904905,0.9208924539548312
raw,k,head,0,3,1313,4,0.276912843601369,0.8503453159738289
raw,k,head,0,3,1313,8,0.43455400112684917,0.7519614344320796
raw,k,head,0,3,1313,16,0.6609933201269116,0.5822428014781191
raw,k,head,0,3,1313,32,0.8284489237222274,0.4141872478454311
raw,k,head,0,3,1313,64,0.93130298136253,0.26210116107615783
raw,k,head,0,3,1313,128,1.0,0.0
raw,k,head,0,4,1313,1,0.0672051919484484,0.9658130295515543
raw,k,head,0,4,1313,2,0.1034578101049761,0.9468591182932252
raw,k,head,0,4,1313,4,0.16231531872404006,0.9152511574840865
raw,k,head,0,4,1313,8,0.269053430137631,0.8549541331921666
raw,k,head,0,4,1313,16,0.4395564264611308,0.7486277937258736
raw,k,head,0,4,1313,32,0.6688120036684413,0.5754893537951494
raw,k,head,0,4,1313,64,0.8643460068630153,0.3683123581105916
raw,k,head,0,4,1313,128,1.0,0.0
raw,k,head,0,5,1313,1,0.06350507979854214,0.9677266763923881
raw,k,head,0,5,1313,2,0.10933023615261789,0.9437530205765606
raw,k,head,0,5,1313,4,0.1934075445765015,0.8981049245068743
raw,k,head,0,5,1313,8,0.3367097434694367,0.8144263358527666
raw,k,head,0,5,1313,16,0.5394143190642653,0.6786646306797892
raw,k,head,0,5,1313,32,0.7222473230822212,0.527022463390109
raw,k,head,0,5,1313,64,0.8755649345243643,0.3527535477860367
raw,k,head,0,5,1313,128,1.0,0.0
raw,k,head,0,6,1313,1,0.09233611568503117,0.9527139572374117
raw,k,head,0,6,1313,2,0.1678527383509639,0.9122210596390746
raw,k,head,0,6,1313,4,0.2715112092274794,0.8535155480555234
raw,k,head,0,6,1313,8,0.4183375206330823,0.7626680007492891
raw,k,head,0,6,1313,16,0.6044764915386708,0.6289065975654328
raw,k,head,0,6,1313,32,0.7797017793929825,0.4693593725569114
raw,k,head,0,6,1313,64,0.9030140120616977,0.31142573422615905
raw,k,head,0,6,1313,128,1.0,0.0
raw,k,head,0,7,1313,1,0.10319215648225034,0.9469993893967142
raw,k,head,0,7,1313,2,0.17391772113307027,0.9088906858731306
raw,k,head,0,7,1313,4,0.27128526338941167,0.8536478996697575
raw,k,head,0,7,1313,8,0.4198077349097634,0.7617035283430401
raw,k,head,0,7,1313,16,0.602275226603495,0.6306542423519444
