example,target,source,kind,tokens,original_gap,internal_rank4_explained,internal_rank8_explained,internal_rank16_explained,internal_rank32_explained,internal_rank64_explained
0,4,raw,k,98,0.2987008423305796,0.624545771571106,0.7409898524200023,0.8507834666480449,0.9334647507261514,0.9843003593796062
0,5,raw,k,52,0.26651077615392427,0.6429094428216512,0.7641692664047748,0.8769202941276429,0.965339018852334,0.9999997613965778
0,6,raw,k,214,0.21385447446962466,0.5735520573124219,0.6704649957120736,0.7657721131914286,0.8520221166790078,0.9256823612419768
0,7,raw,k,121,0.2635811364596685,0.585449499844625,0.6848510632011375,0.7863413524918516,0.881375956974514,0.9592697849555769
0,8,raw,k,301,0.2039857358767619,0.46752250295289727,0.5729023782780899,0.6851004640227142,0.7943743428952685,0.892363195406878
0,9,raw,k,84,0.2217688141775319,0.6292898400307475,0.7376323894582938,0.8411593041966582,0.9256422826878224,0.986601030220535
0,10,raw,k,83,0.21491584737521918,0.6117952225222881,0.7288649434349503,0.8308602646820037,0.9205561983242269,0.9863847908342285
1,4,raw,k,86,0.2397180216793677,0.6707701525584778,0.7763823963236828,0.8668335006875144,0.940420144190951,0.9891845386728001
1,5,raw,k,135,0.2383675684180105,0.6633889788490032,0.7519981576909712,0.8344655975522717,0.9060441879673976,0.9630963522288246
1,6,raw,k,217,0.18285878510015224,0.621097327284516,0.7108173495899592,0.7959117307996376,0.8723649812623901,0.9370874048879858
1,7,raw,k,56,0.24360590561606887,0.6575989326869461,0.7780647432603851,0.8841739194907657,0.9628318624674603,0.9999999519822722
1,8,raw,k,216,0.19166838578089485,0.6453851977927888,0.7252290127838042,0.8024957123389821,0.8750456709843067,0.9373444140998505
1,9,raw,k,113,0.21107251778136762,0.6348321394978793,0.7323219889396191,0.8259631551062463,0.9076519308491654,0.9705859537795621
1,10,raw,k,77,0.2433074597320685,0.6651907768224647,0.7712808402985001,0.8642279960584471,0.9413924219667362,0.9930525312250218
2,4,raw,k,48,0.265105571361922,0.6489679585073272,0.7864217336651195,0.9010044740885872,0.9766706669690624,0.9999997707024345
