example,target,source,kind,rank,original_gap,delta_recovery_error,final_kv_error,explained_delta_energy
0,4,raw,v,1,0.4353985936835932,0.9682562039709005,0.4215773895343445,0.06247992347186182
0,4,raw,v,2,0.4353985936835932,0.9528067764860942,0.41485073053424315,0.09215924668217801
0,4,raw,v,4,0.4353985936835932,0.9330218987549103,0.4062364225938838,0.12947013644378202
0,4,raw,v,8,0.4353985936835932,0.9024660128175397,0.39293243282799634,0.18555509570921236
0,4,raw,v,16,0.4353985936835932,0.8531405873425795,0.3714562119433538,0.2721511382287586
0,4,raw,v,32,0.4353985936835932,0.7674759945163673,0.3341579686983434,0.41098059784111296
0,4,raw,v,64,0.4353985936835932,0.6002123398997259,0.2613316087038795,0.639745147032096
0,5,raw,v,1,0.41065470566220047,0.955459878042995,0.3923640949897881,0.08709642145006502
0,5,raw,v,2,0.41065470566220047,0.9342148483456704,0.3836397235726485,0.12724261713047602
0,5,raw,v,4,0.41065470566220047,0.9104422441709044,0.373877391802436,0.17109492002904736
0,5,raw,v,8,0.41065470566220047,0.8763996125007121,0.35989762491394645,0.23192371920860178
0,5,raw,v,16,0.41065470566220047,0.8228173844892187,0.3378938308411617,0.3229715517823213
0,5,raw,v,32,0.41065470566220047,0.7365565562660855,0.3024704158170134,0.4574844394214448
0,5,raw,v,64,0.41065470566220047,0.5726935967960686,0.23517932042691647,0.672022044188782
0,6,raw,v,1,0.39335458452331723,0.9748719661213024,0.3834703571970743,0.04962464967078606
0,6,raw,v,2,0.39335458452331723,0.9583976690698902,0.3769901169251023,0.08147390792140119
0,6,raw,v,4,0.39335458452331723,0.9390750434732447,0.3693894735616342,0.11813806272572358
0,6,raw,v,8,0.39335458452331723,0.9071572273064527,0.35683445424445415,0.17706576494566895
0,6,raw,v,16,0.39335458452331723,0.8552567480528941,0.33641916279110956,0.2685358949099884
0,6,raw,v,32,0.39335458452331723,0.7666276509618962,0.3015565011282033,0.412282044780645
0,6,raw,v,64,0.39335458452331723,0.5964383429782801,0.23461175659599717,0.6442613030253235
0,7,raw,v,1,0.44079334667905273,0.9750631981317838,0.42980137032808924,0.049251759649017735
0,7,raw,v,2,0.44079334667905273,0.9584866459680224,0.42249453642342494,0.08130334950097107
0,7,raw,v,4,0.44079334667905273,0.9366033281047081,0.4128485155060132,0.12277420578318443
0,7,raw,v,8,0.44079334667905273,0.9011724702255983,0.3972308290857705,0.1878881789074931
0,7,raw,v,16,0.44079334667905273,0.8427517250407501,0.3714793533002571,0.28976952994083993
0,7,raw,v,32,0.44079334667905273,0.7500648622416768,0.3306236008538714,0.4374027024303744
0,7,raw,v,64,0.44079334667905273,0.5812662844167356,0.256218310819751,0.6621295066003627
0,8,raw,v,1,0.46120963028392215,0.9849577143674977,0.4542719832887306,0.029858300907954827
0,8,raw,v,2,0.46120963028392215,0.9718161017729965,0.4482109450026862,0.055573464334736866
0,8,raw,v,4,0.46120963028392215,0.9564062825191404,0.44110378796187316,0.08528702275791822
0,8,raw,v,8,0.46120963028392215,0.9270779243256249,0.4275772667226074,0.14052652222809103
0,8,raw,v,16,0.46120963028392215,0.8768899064471289,0.4044300695521834,0.23106409197114552
0,8,raw,v,32,0.46120963028392215,0.7871598459750787,0.36304570153651516,0.3803793768844904
0,8,raw,v,64,0.46120963028392215,0.6130538310519408,0.2827463307636077,0.6241650002325384
0,9,raw,v,1,0.34130206503659205,0.9562954524572652,0.32638561270876676,0.08549900760955431
0,9,raw,v,2,0.34130206503659205,0.9314118884107802,0.31789280091423106,0.1324718941270644
0,9,raw,v,4,0.34130206503659205,0.9025129028608002,0.3080295174685603,0.18547046016977187
0,9,raw,v,8,0.34130206503659205,0.8696707983328766,0.2968204393730324,0.24367270252705708
0,9,raw,v,16,0.34130206503659205,0.8190666824744024,0.27954915013118414,0.32912976966037644
0,9,raw,v,32,0.34130206503659205,0.7327853115492673,0.25010114006024736,0.46302568717764325
0,9,raw,v,64,0.34130206503659205,0.5659555895134961,0.193161811419958,0.6796942706984311
0,10,raw,v,1,0.36144869591433554,0.9530161752784282,0.3444664537396557,0.0917601696576763
0,10,raw,v,2,0.36144869591433554,0.9307481716070546,0.33641771285202204,0.1337078410501248
0,10,raw,v,4,0.36144869591433554,0.9075791864076752,0.3280433133660478,0.17630002039958237
0,10,raw,v,8,0.36144869591433554,0.8772434469248197,0.3170784998903727,0.23044393482746106
0,10,raw,v,16,0.36144869591433554,0.8296052062545588,0.29985971992445365,0.311755201755331
0,10,raw,v,32,0.36144869591433554,0.745370251075428,0.2694131052245543,0.44442318881175347
0,10,raw,v,64,0.36144869591433554,0.579698462531735,0.2095312533056409,0.6639496925383426
1,4,raw,v,1,0.3723237896639778,0.9531063506364207,0.3548641684217562,0.09158828437652422
1,4,raw,v,2,0.3723237896639778,0.9244847980781423,0.3442076835071913,0.14532785812241633
1,4,raw,v,4,0.3723237896639778,0.8890779087780967,0.3310248563027853,0.2095404721227665
1,4,raw,v,8,0.3723237896639778,0.8397608188990845,0.31266293050383254,0.29480176704193894
1,4,raw,v,16,0.3723237896639778,0.7780481628043417,0.2896858405164081,0.3946410563567885
1,4,raw,v,32,0.3723237896639778,0.688729575868977,0.25643040574120163,0.5256515713233392
1,4,raw,v,64,0.3723237896639778,0.5281410926369531,0.19663949308786435,0.7210669862682453
1,5,raw,v,1,0.3726586521575644,0.9575400652321653,0.356835590096285,0.08311702347518057
1,5,raw,v,2,0.3726586521575644,0.9330366211740547,0.3477041696603712,0.12944266354810352
1,5,raw,v,4,0.3726586521575644,0.9011196086252988,0.3358100187830558,0.18798345095098823
1,5,raw,v,8,0.3726586521575644,0.8634994076074759,0.32179052537785724,0.25436877306153816
1,5,raw,v,16,0.3726586521575644,0.806926770277179,0.3007082426013501,0.3488691874100409
1,5,raw,v,32,0.3726586521575644,0.7201121657452371,0.2683560290888846,0.4814384687457043
1,5,raw,v,64,0.3726586521575644,0.5572040861615661,0.2076469237256566,0.689523606364854
1,6,raw,v,1,0.28869797961594973,0.9652379262664947,0.2786622391618261,0.06831574569675691
1,6,raw,v,2,0.28869797961594973,0.944471628545262,0.27266705096560284,0.10797334287306071
1,6,raw,v,4,0.28869797961594973,0.9135970613641615,0.26375362579890227,0.16534040946676853
1,6,raw,v,8,0.28869797961594973,0.8758325988479545,0.25285110176919107,0.23291725879523795
1,6,raw,v,16,0.28869797961594973,0.8212221220021613,0.23708516743794691,0.3255942263342674
1,6,raw,v,32,0.28869797961594973,0.7337491397448649,0.21183189418928364,0.46161219992367075
1,6,raw,v,64,0.28869797961594973,0.5728397187393512,0.1653776694438196,0.671854656634621
1,7,raw,v,1,0.4056820363673959,0.9511027086264842,0.38584528363013815,0.09540363764336512
1,7,raw,v,2,0.4056820363673959,0.9305725796720525,0.37751657910901903,0.13403467396250146
1,7,raw,v,4,0.4056820363673959,0.9073767383888991,0.36810644298201445,0.17666745463072342
1,7,raw,v,8,0.4056820363673959,0.8734848210900179,0.35435710095580897,0.23702426732533932
1,7,raw,v,16,0.4056820363673959,0.8194425233745586,0.33243311156862837,0.3285139508855359
1,7,raw,v,32,0.4056820363673959,0.7301499866337072,0.29620873343118925,0.46688099701879715
1,7,raw,v,64,0.4056820363673959,0.562889055496891,0.2283539782828989,0.6831559112018178
1,8,raw,v,1,0.3541282862822405,0.9704050361594638,0.3436478724548066,0.05831406579634979
1,8,raw,v,2,0.3541282862822405,0.9515440495511597,0.3369686635896156,0.09456392176378015
1,8,raw,v,4,0.3541282862822405,0.9237527528917943,0.3271269793300731,0.1466808515248318
1,8,raw,v,8,0.3541282862822405,0.8792854931234437,0.31137986483263996,0.2268570215826624
1,8,raw,v,16,0.3541282862822405,0.8248326470338123,0.29209657176372816,0.31965110438719446
