target,source,kind,method,rank,original_gap,final_kv_error,remaining_delta,explained_delta_energy,cosine,train_effective_rank
1,preprocess,v,mean,0,0.3658679181335319,0.3100091106756412,0.8473252103030696,0.28203998798485885,0.5828165380149511,11.866907849907875
1,preprocess,v,oracle_r1,1,0.3658679181335319,0.28314280654487683,0.7738935077700291,0.4010888386313999,0.6588735534583349,11.866907849907875
1,preprocess,v,oracle_r2,2,0.3658679181335319,0.273295220797182,0.746977822464982,0.4420241327454738,0.6812766135469366,11.866907849907875
1,preprocess,v,oracle_r4,4,0.3658679181335319,0.26734127424225457,0.7307043361606859,0.46607117311597146,0.6975078387925537,11.866907849907875
1,preprocess,v,oracle_r8,8,0.3658679181335319,0.24779687960600533,0.677285072903184,0.5412849300225288,0.7439392186900986,11.866907849907875
1,preprocess,v,oracle_r16,16,0.3658679181335319,0.240382403509479,0.6570196281100162,0.568325208278176,0.7615408443793419,11.866907849907875
1,preprocess,v,oracle_r32,32,0.3658679181335319,0.23711810706655284,0.6480975655810607,0.5799695454879028,0.7687093211369809,11.866907849907875
2,preprocess,v,mean,0,0.404980155857551,0.2692730061084372,0.664904198918705,0.5579024062602752,0.7495247703490195,12.462533727288246
2,preprocess,v,oracle_r1,1,0.404980155857551,0.24603729459353801,0.6075292604709254,0.6309081976716506,0.7971385173531408,12.462533727288246
2,preprocess,v,oracle_r2,2,0.404980155857551,0.24385596672481905,0.6021430018180786,0.6374238053615134,0.8011816436025807,12.462533727288246
2,preprocess,v,oracle_r4,4,0.404980155857551,0.23844979846065578,0.5887937841194592,0.6533218797822877,0.8103769442283819,12.462533727288246
2,preprocess,v,oracle_r8,8,0.404980155857551,0.22220555821855711,0.5486825835898893,0.6989474224651241,0.8371400021773512,12.462533727288246
2,preprocess,v,oracle_r16,16,0.404980155857551,0.21642942818423835,0.5344198352779684,0.7143954396614691,0.8464371161404834,12.462533727288246
2,preprocess,v,oracle_r32,32,0.404980155857551,0.21245127983624684,0.5245967654547873,0.7247982336743749,0.8526998885532987,12.462533727288246
3,preprocess,v,mean,0,0.36825676727525,0.2756298576438587,0.7484719416923623,0.439789752499265,0.6737456344912985,10.337033189833164
3,preprocess,v,oracle_r1,1,0.36825676727525,0.24084111820481754,0.654003237976624,0.5722797647160913,0.7629073962189532,10.337033189833164
3,preprocess,v,oracle_r2,2,0.36825676727525,0.23894688722253982,0.6488594601818716,0.5789814009324903,0.7679269074663724,10.337033189833164
3,preprocess,v,oracle_r4,4,0.36825676727525,0.22551149409939716,0.6123756958167201,0.6249960071729879,0.7948984147652042,10.337033189833164
3,preprocess,v,oracle_r8,8,0.36825676727525,0.2123666857020247,0.5766810132868332,0.6674390089144713,0.820612274325795,10.337033189833164
3,preprocess,v,oracle_r16,16,0.36825676727525,0.20807226100299173,0.5650195176113901,0.6807529447181919,0.8286906081752418,10.337033189833164
3,preprocess,v,oracle_r32,32,0.36825676727525,0.20520083212149928,0.557222162242368,0.6895034619059401,0.8336412139352762,10.337033189833164
4,preprocess,v,mean,0,0.33634159477852626,0.30068948560380676,0.8940002969356329,0.20076346907900033,0.534809500830819,11.309308536350727
4,preprocess,v,oracle_r1,1,0.33634159477852626,0.295516270826308,0.8786194613274019,0.2280278421767462,0.5587477352533587,11.309308536350727
4,preprocess,v,oracle_r2,2,0.33634159477852626,0.2827518381860866,0.8406686611933104,0.2932762020874471,0.5995500823536586,11.309308536350727
4,preprocess,v,oracle_r4,4,0.33634159477852626,0.2766429191632787,0.8225058198509232,0.3234841763113607,0.6181022782399296,11.309308536350727
4,preprocess,v,oracle_r8,8,0.33634159477852626,0.27007745661387644,0.8029855979951475,0.3552141294123755,0.6404073923816587,11.309308536350727
4,preprocess,v,oracle_r16,16,0.33634159477852626,0.26757750441337325,0.7955528206065838,0.36709570962490856,0.6475533438161749,11.309308536350727
4,preprocess,v,oracle_r32,32,0.33634159477852626,0.2651718531968318,0.7884004158672132,0.37842478426040527,0.6545118098975559,11.309308536350727
5,preprocess,v,mean,0,0.9336714831777028,0.2750275407923045,0.29456564299925114,0.9132310819644377,0.9560000897232913,12.272894397377968
5,preprocess,v,oracle_r1,1,0.9336714831777028,0.2517930234319516,0.2696805332160162,0.9272724100043251,0.9630588839124388,12.272894397377968
5,preprocess,v,oracle_r2,2,0.9336714831777028,0.24430910512380033,0.26166495338628837,0.9315314521693515,0.9652301319685151,12.272894397377968
5,preprocess,v,oracle_r4,4,0.9336714831777028,0.22747946456131765,0.24363972624193578,0.9406396837967546,0.9699589684755672,12.272894397377968
5,preprocess,v,oracle_r8,8,0.9336714831777028,0.21368607996275246,0.22886645229377992,0.947620147014459,0.9735335693487724,12.272894397377968
5,preprocess,v,oracle_r16,16,0.9336714831777028,0.2089364492111709,0.2237794052572608,0.9499227777827066,0.97471750205052,12.272894397377968
5,preprocess,v,oracle_r32,32,0.9336714831777028,0.20548372808334595,0.22008140099127016,0.9515641769377198,0.9755463746876224,12.272894397377968
