example_id,sub_q_idx,doc_rank,chunk_id,kind,doc_len,full_prompt_len,diff_l2,base_l2,relative_l2,cosine_full_vs_offline,delta_abs_mean,delta_abs_p50,delta_abs_p90,delta_abs_p99,near_zero_abs_1e-6,near_zero_abs_1pct_rms,shape
0,0,0,1,key,50,968,36.04566955566406,4124.4814453125,0.008739442772043547,1.000119686126709,0.010850945487618446,0.0078125,0.029296875,0.0625,0.2929544150829315,0.2961895763874054,"[64, 1, 8, 50, 128]"
0,0,0,1,value,50,968,111.81413269042969,4087.041015625,0.027358211543010606,0.9995994567871094,0.018674250692129135,0.00390625,0.046875,0.234375,0.1888687163591385,0.26355621218681335,"[64, 1, 8, 50, 128]"
0,0,1,2,key,92,968,2840.515869140625,5623.7802734375,0.5050901228408728,0.8728724718093872,0.6514254808425903,0.28125,1.755859375,4.6484375,0.01416612695902586,0.042246777564287186,"[64, 1, 8, 92, 128]"
0,0,1,2,value,92,968,1935.2935791015625,4966.83544921875,0.38964318405313203,0.924690842628479,0.2765246331691742,0.0546875,0.69921875,3.3046875,0.028344692662358284,0.2036348432302475,"[64, 1, 8, 92, 128]"
1,0,0,1,key,90,999,53.63114929199219,5525.18115234375,0.009706677086821335,1.0005769729614258,0.011285634711384773,0.0078125,0.03125,0.0703125,0.294515997171402,0.29780611395835876,"[64, 1, 8, 90, 128]"
1,0,0,1,value,90,999,201.5101318359375,5044.5078125,0.03994644062927347,0.9991351962089539,0.019650690257549286,0.00390625,0.046875,0.234375,0.1908862590789795,0.2774905860424042,"[64, 1, 8, 90, 128]"
1,0,1,2,key,85,999,2990.71484375,5384.83935546875,0.5553953695410953,0.8459610939025879,0.698316216468811,0.2939453125,1.89453125,5.125,0.012739114463329315,0.04343782365322113,"[64, 1, 8, 85, 128]"
1,0,1,2,value,85,999,1688.60791015625,5206.7578125,0.32431082277388906,0.9479479789733887,0.25295159220695496,0.0478515625,0.6287841796875,3.15625,0.029195090755820274,0.18049819767475128,"[64, 1, 8, 85, 128]"
2,0,0,1,key,64,1006,40.01945114135742,4675.736328125,0.008558962339393818,1.000185489654541,0.00988602451980114,0.0078125,0.0234375,0.0625,0.3068723678588867,0.31035447120666504,"[64, 1, 8, 64, 128]"
2,0,0,1,value,64,1006,171.40536499023438,4196.37646484375,0.04084604096563499,0.9991276860237122,0.01643306016921997,0.00360107421875,0.03125,0.1875,0.19571375846862793,0.28321409225463867,"[64, 1, 8, 64, 128]"
2,0,1,2,key,122,1006,3588.80859375,6438.591796875,0.5573902969732984,0.8454161882400513,0.7281504273414612,0.32421875,1.98828125,4.96875,0.012486942112445831,0.042122263461351395,"[64, 1, 8, 122, 128]"
2,0,1,2,value,122,1006,1867.1473388671875,5586.845703125,0.3342042071830978,0.945170521736145,0.23884403705596924,0.062744140625,0.6015625,2.4296875,0.02724381722509861,0.15819649398326874,"[64, 1, 8, 122, 128]"
3,0,0,1,key,108,1025,48.04108810424805,6065.92236328125,0.007919832339934712,1.0007418394088745,0.010620945133268833,0.0078125,0.029296875,0.0625,0.29679927229881287,0.29967132210731506,"[64, 1, 8, 108, 128]"
3,0,0,1,value,108,1025,133.8885955810547,5946.89306640625,0.022514041212105484,0.999679446220398,0.017592646181583405,0.003662109375,0.046875,0.234375,0.19083772599697113,0.2682346701622009,"[64, 1, 8, 108, 128]"
3,0,1,2,key,92,1025,3079.23388671875,5600.36083984375,0.5498277655274548,0.84963059425354,0.7487186193466187,0.375,1.958984375,4.8125,0.010390406474471092,0.036283742636442184,"[64, 1, 8, 92, 128]"
3,0,1,2,value,92,1025,2624.1328125,5063.7265625,0.5182216654298263,0.8648827075958252,0.41401639580726624,0.086517333984375,1.0859375,4.84375,0.02389625832438469,0.17271655797958374,"[64, 1, 8, 92, 128]"
4,0,0,1,key,96,1066,0.0,5745.34423828125,0.0,1.0006680488586426,0.0,0.0,0.0,0.0,1.0,0.0,"[64, 1, 8, 96, 128]"
4,0,0,1,value,96,1066,0.0,5423.61279296875,0.0,0.9999343752861023,0.0,0.0,0.0,0.0,1.0,0.0,"[64, 1, 8, 96, 128]"
4,0,1,2,key,139,1066,3886.254150390625,6859.8427734375,0.5665223356778488,0.8404787182807922,0.7401162981987,0.328125,2.00390625,5.03125,0.012232937850058079,0.043396104127168655,"[64, 1, 8, 139, 128]"
4,0,1,2,value,139,1066,2377.81640625,6264.220703125,0.3795869460767547,0.9267762899398804,0.3086561858654022,0.064208984375,0.83203125,3.46875,0.027183039113879204,0.18191847205162048,"[64, 1, 8, 139, 128]"
