target,source,kind,mode,rank,remaining_delta,explained_delta_energy
1,raw,v,shared,0,0.8097630739212036,0.3442837595939636
1,raw,v,per_x,0,0.8097630739212036,0.3442837595939636
1,raw,v,shared,1,0.7481626868247986,0.4402526021003723
1,raw,v,per_x,1,0.7322614789009094,0.4637930989265442
1,raw,v,shared,2,0.7098698616027832,0.4960848093032837
1,raw,v,per_x,2,0.7023658752441406,0.5066821575164795
1,raw,v,shared,4,0.6816489100456238,0.535354733467102
1,raw,v,per_x,4,0.6734504699707031,0.5464644432067871
1,raw,v,shared,8,0.6286543607711792,0.6047936677932739
1,raw,v,per_x,8,0.6199065446853638,0.6157158613204956
1,raw,v,shared,16,0.5523098707199097,0.6949537992477417
1,raw,v,per_x,16,0.5862690210342407,0.6562886238098145
1,raw,v,shared,32,0.4909507930278778,0.7589672803878784
1,raw,v,per_x,32,0.5674856305122375,0.6779600381851196
2,raw,v,shared,0,0.738383412361145,0.454789936542511
2,raw,v,per_x,0,0.738383412361145,0.454789936542511
2,raw,v,shared,1,0.675134539604187,0.5441933870315552
2,raw,v,per_x,1,0.6862595081329346,0.5290478467941284
2,raw,v,shared,2,0.664075493812561,0.5590037703514099
2,raw,v,per_x,2,0.6549538969993591,0.5710353851318359
2,raw,v,shared,4,0.636551022529602,0.594802737236023
2,raw,v,per_x,4,0.6314289569854736,0.6012974381446838
2,raw,v,shared,8,0.5839671492576599,0.6589823961257935
2,raw,v,per_x,8,0.5904194116592407,0.6514049172401428
2,raw,v,shared,16,0.49867886304855347,0.751319408416748
2,raw,v,per_x,16,0.5733485817909241,0.6712714433670044
2,raw,v,shared,32,0.4676750600337982,0.7812800407409668
2,raw,v,per_x,32,0.5566700100898743,0.6901185512542725
3,raw,v,shared,0,0.7777848243713379,0.3950507640838623
3,raw,v,per_x,0,0.7777848243713379,0.3950507640838623
3,raw,v,shared,1,0.758664608001709,0.4244280457496643
3,raw,v,per_x,1,0.6974805593490601,0.5135208368301392
3,raw,v,shared,2,0.7230061292648315,0.47726213932037354
3,raw,v,per_x,2,0.6600068807601929,0.5643908977508545
3,raw,v,shared,4,0.6612160205841064,0.5627933740615845
3,raw,v,per_x,4,0.6168542504310608,0.6194908022880554
3,raw,v,shared,8,0.5422323346138,0.7059841156005859
3,raw,v,per_x,8,0.5732167363166809,0.6714226007461548
3,raw,v,shared,16,0.4741054177284241,0.7752240896224976
3,raw,v,per_x,16,0.5320245027542114,0.7169499397277832
3,raw,v,shared,32,0.4055000841617584,0.8355696797370911
3,raw,v,per_x,32,0.4945431351661682,0.7554271221160889
4,raw,v,shared,0,0.8023248314857483,0.35627490282058716
4,raw,v,per_x,0,0.8023248314857483,0.35627490282058716
4,raw,v,shared,1,0.7827820777893066,0.38725221157073975
4,raw,v,per_x,1,0.7790967226028442,0.393008291721344
4,raw,v,shared,2,0.7626453042030334,0.41837215423583984
4,raw,v,per_x,2,0.6967938542366028,0.514478325843811
4,raw,v,shared,4,0.7153359651565552,0.48829448223114014
4,raw,v,per_x,4,0.6620211005210876,0.5617281198501587
4,raw,v,shared,8,0.6198642253875732,0.6157683730125427
4,raw,v,per_x,8,0.6303473114967346,0.6026623249053955
4,raw,v,shared,16,0.5038973689079285,0.7460874319076538
4,raw,v,per_x,16,0.5978224277496338,0.6426083445549011
4,raw,v,shared,32,0.4585874378681183,0.7896975874900818
4,raw,v,per_x,32,0.5666213035583496,0.6789402961730957
5,raw,v,shared,0,0.7226499915122986,0.47777700424194336
5,raw,v,per_x,0,0.7226499915122986,0.47777700424194336
5,raw,v,shared,1,0.7032704949378967,0.5054106116294861
5,raw,v,per_x,1,0.6855483651161194,0.530023455619812
5,raw,v,shared,2,0.6714954376220703,0.5490939021110535
5,raw,v,per_x,2,0.5974448323249817,0.6430596709251404
5,raw,v,shared,4,0.6364052295684814,0.5949883460998535
5,raw,v,per_x,4,0.5653294324874878,0.6804026365280151
5,raw,v,shared,8,0.5772966146469116,0.6667286157608032
5,raw,v,per_x,8,0.5201392769813538,0.7294551134109497
5,raw,v,shared,16,0.4865652322769165,0.7632542848587036
5,raw,v,per_x,16,0.5006681680679321,0.7493314146995544
5,raw,v,shared,32,0.4387264549732208,0.8075190782546997
5,raw,v,per_x,32,0.4775960445404053,0.7719020247459412
