example_id,sub_q_idx,doc_rank,chunk_id,kind,doc_len,full_prompt_len,token,layer0_delta_l2,layer0_base_l2,layer0_relative_l2,layer0_energy_share
0,0,0,1,key,50,876,0,0.0,599.3538208007812,0.0,0.0
0,0,0,1,key,50,876,1,0.0,571.6527709960938,0.0,0.0
0,0,0,1,key,50,876,2,0.0,592.2081909179688,0.0,0.0
0,0,0,1,key,50,876,3,0.0,586.1394653320312,0.0,0.0
0,0,0,1,key,50,876,4,0.0,582.4961547851562,0.0,0.0
0,0,0,1,key,50,876,5,0.0,566.6237182617188,0.0,0.0
0,0,0,1,key,50,876,6,0.0,592.1519775390625,0.0,0.0
0,0,0,1,key,50,876,7,0.0,592.4993896484375,0.0,0.0
0,0,0,1,key,50,876,8,0.0,594.045166015625,0.0,0.0
0,0,0,1,key,50,876,9,0.0,600.7518920898438,0.0,0.0
0,0,0,1,key,50,876,10,0.0,577.3344116210938,0.0,0.0
0,0,0,1,key,50,876,11,0.0,561.2339477539062,0.0,0.0
0,0,0,1,key,50,876,12,0.0,599.9808349609375,0.0,0.0
0,0,0,1,key,50,876,13,0.0,599.846435546875,0.0,0.0
0,0,0,1,key,50,876,14,0.0,580.2947387695312,0.0,0.0
0,0,0,1,key,50,876,15,0.0,592.7615966796875,0.0,0.0
0,0,0,1,key,50,876,16,0.0,593.0819702148438,0.0,0.0
0,0,0,1,key,50,876,17,0.0,587.8953857421875,0.0,0.0
0,0,0,1,key,50,876,18,0.0,576.8004150390625,0.0,0.0
0,0,0,1,key,50,876,19,0.0,589.720947265625,0.0,0.0
0,0,0,1,key,50,876,20,0.0,593.9134521484375,0.0,0.0
0,0,0,1,key,50,876,21,0.0,555.43603515625,0.0,0.0
0,0,0,1,key,50,876,22,0.0,587.9711303710938,0.0,0.0
0,0,0,1,key,50,876,23,0.0,595.50927734375,0.0,0.0
0,0,0,1,key,50,876,24,0.0,597.2930297851562,0.0,0.0
0,0,0,1,key,50,876,25,0.0,594.5245361328125,0.0,0.0
0,0,0,1,key,50,876,26,0.0,581.150390625,0.0,0.0
0,0,0,1,key,50,876,27,0.0,599.462158203125,0.0,0.0
0,0,0,1,key,50,876,28,0.0,585.0825805664062,0.0,0.0
0,0,0,1,key,50,876,29,0.0,583.3591918945312,0.0,0.0
0,0,0,1,key,50,876,30,0.0,577.9983520507812,0.0,0.0
0,0,0,1,key,50,876,31,0.0,558.3555908203125,0.0,0.0
0,0,0,1,key,50,876,32,0.0,582.0393676757812,0.0,0.0
0,0,0,1,key,50,876,33,0.0,584.7669677734375,0.0,0.0
0,0,0,1,key,50,876,34,0.0,581.4907836914062,0.0,0.0
0,0,0,1,key,50,876,35,0.0,593.0924072265625,0.0,0.0
0,0,0,1,key,50,876,36,0.0,576.7875366210938,0.0,0.0
0,0,0,1,key,50,876,37,0.0,563.526611328125,0.0,0.0
0,0,0,1,key,50,876,38,0.0,583.8126831054688,0.0,0.0
0,0,0,1,key,50,876,39,0.0,583.5936279296875,0.0,0.0
0,0,0,1,key,50,876,40,0.0,590.859619140625,0.0,0.0
0,0,0,1,key,50,876,41,0.0,579.4235229492188,0.0,0.0
0,0,0,1,key,50,876,42,0.0,566.8714599609375,0.0,0.0
0,0,0,1,key,50,876,43,0.0,583.0238037109375,0.0,0.0
0,0,0,1,key,50,876,44,0.0,572.2908325195312,0.0,0.0
0,0,0,1,key,50,876,45,0.0,574.8997192382812,0.0,0.0
0,0,0,1,key,50,876,46,0.0,576.4866943359375,0.0,0.0
0,0,0,1,key,50,876,47,0.0,574.0792846679688,0.0,0.0
0,0,0,1,key,50,876,48,0.0,582.160888671875,0.0,0.0
0,0,0,1,key,50,876,49,0.0,565.0515747070312,0.0,0.0
0,0,0,1,value,50,876,0,0.0,650.0945434570312,0.0,0.0
0,0,0,1,value,50,876,1,0.0,361.94232177734375,0.0,0.0
