target,source,kind,layer,rank,subspace_overlap
1,raw,v,0,1,0.9999947547912598
1,raw,v,0,2,0.4999975562095642
1,raw,v,0,4,0.999998927116394
1,raw,v,0,8,0.9602476358413696
1,raw,v,0,16,0.5490546822547913
1,raw,v,0,32,0.27452734112739563
1,raw,v,1,1,0.3285309076309204
1,raw,v,1,2,0.19216856360435486
1,raw,v,1,4,0.19225400686264038
1,raw,v,1,8,0.2635551691055298
1,raw,v,1,16,0.16361121833324432
1,raw,v,1,32,0.09832603484392166
1,raw,v,2,1,0.15420876443386078
1,raw,v,2,2,0.2602933645248413
1,raw,v,2,4,0.24616482853889465
1,raw,v,2,8,0.2815881669521332
1,raw,v,2,16,0.22252827882766724
1,raw,v,2,32,0.1453789472579956
1,raw,v,3,1,0.08783436566591263
1,raw,v,3,2,0.36080408096313477
1,raw,v,3,4,0.34661543369293213
1,raw,v,3,8,0.2929946780204773
1,raw,v,3,16,0.19707265496253967
1,raw,v,3,32,0.12282989919185638
1,raw,v,4,1,0.24141670763492584
1,raw,v,4,2,0.4475008249282837
1,raw,v,4,4,0.3273822069168091
1,raw,v,4,8,0.27081549167633057
1,raw,v,4,16,0.17563745379447937
1,raw,v,4,32,0.10354293882846832
1,raw,v,5,1,0.20866897702217102
1,raw,v,5,2,0.3962295651435852
1,raw,v,5,4,0.32528239488601685
1,raw,v,5,8,0.29659503698349
1,raw,v,5,16,0.1922081857919693
1,raw,v,5,32,0.1155921220779419
1,raw,v,6,1,0.2675166726112366
1,raw,v,6,2,0.4216207265853882
1,raw,v,6,4,0.314103364944458
1,raw,v,6,8,0.28828439116477966
1,raw,v,6,16,0.18275585770606995
1,raw,v,6,32,0.10913233458995819
1,raw,v,7,1,0.04257183149456978
1,raw,v,7,2,0.3263787627220154
1,raw,v,7,4,0.27885836362838745
1,raw,v,7,8,0.24715039134025574
1,raw,v,7,16,0.1501786708831787
1,raw,v,7,32,0.08836568892002106
1,raw,v,8,1,0.07251738011837006
1,raw,v,8,2,0.3336474299430847
1,raw,v,8,4,0.2839525640010834
1,raw,v,8,8,0.24801118671894073
1,raw,v,8,16,0.15332309901714325
1,raw,v,8,32,0.08937433362007141
1,raw,v,9,1,0.1613302230834961
1,raw,v,9,2,0.35816484689712524
1,raw,v,9,4,0.29639163613319397
1,raw,v,9,8,0.2653309106826782
1,raw,v,9,16,0.16423571109771729
1,raw,v,9,32,0.0971602275967598
1,raw,v,10,1,0.2089020311832428
1,raw,v,10,2,0.3773813247680664
1,raw,v,10,4,0.29240134358406067
1,raw,v,10,8,0.25966188311576843
1,raw,v,10,16,0.15692827105522156
1,raw,v,10,32,0.09125162661075592
1,raw,v,11,1,0.19942782819271088
1,raw,v,11,2,0.3840163052082062
1,raw,v,11,4,0.29579633474349976
1,raw,v,11,8,0.2624642848968506
1,raw,v,11,16,0.15595218539237976
1,raw,v,11,32,0.09015669673681259
1,raw,v,12,1,0.33017972111701965
1,raw,v,12,2,0.42395639419555664
1,raw,v,12,4,0.34386223554611206
1,raw,v,12,8,0.28925299644470215
1,raw,v,12,16,0.17435455322265625
1,raw,v,12,32,0.10112228244543076
1,raw,v,13,1,0.348347932100296
