source,kind,layer,head,relative_l2,energy
raw,k,0,0,0.0008243813063018024,0.005460538435727358
raw,k,0,1,0.0009381237323395908,0.0031273961067199707
raw,k,0,2,0.0009050567168742418,0.003763978136703372
raw,k,0,3,0.0008868569857440889,0.005563289392739534
raw,k,0,4,0.0008073705830611289,0.004497425630688667
raw,k,0,5,0.0009051446686498821,0.003169853240251541
raw,k,0,6,0.0008998392731882632,0.0042146374471485615
raw,k,0,7,0.0008258480811491609,0.005100642796605825
raw,k,1,0,0.0788215845823288,0.021219102665781975
raw,k,1,1,0.07658021152019501,0.01948566734790802
raw,k,1,2,0.03225512057542801,0.0033620772883296013
raw,k,1,3,0.0183427594602108,0.001168327289633453
raw,k,1,4,0.016290953382849693,0.000949530047364533
raw,k,1,5,0.021031789481639862,0.0014238340081647038
raw,k,1,6,0.01970982737839222,0.0012676115147769451
raw,k,1,7,0.015237274579703808,0.0007677022367715836
raw,k,2,0,0.23610348999500275,0.021876007318496704
raw,k,2,1,0.19523999094963074,0.009688129648566246
raw,k,2,2,0.1536984145641327,0.007640059106051922
raw,k,2,3,0.15596580505371094,0.008751597255468369
raw,k,2,4,0.12392041832208633,0.005281346850097179
raw,k,2,5,0.1294330358505249,0.004765654914081097
raw,k,2,6,0.061160121113061905,0.0013390822568908334
raw,k,2,7,0.14213992655277252,0.007945689372718334
raw,k,3,0,0.2724393606185913,0.00756380520761013
raw,k,3,1,0.2578856647014618,0.0071141417138278484
raw,k,3,2,0.20532208681106567,0.0042045703157782555
raw,k,3,3,0.19442132115364075,0.003731608623638749
raw,k,3,4,0.16559946537017822,0.00283882487565279
raw,k,3,5,0.18234826624393463,0.003346494399011135
raw,k,3,6,0.14058762788772583,0.0020470404997467995
raw,k,3,7,0.18731020390987396,0.003537881188094616
raw,k,4,0,0.2580457031726837,0.008496108464896679
raw,k,4,1,0.2868956923484802,0.010525969788432121
raw,k,4,2,0.19376030564308167,0.004371908493340015
raw,k,4,3,0.20264674723148346,0.00467988196760416
raw,k,4,4,0.15366414189338684,0.00283444719389081
raw,k,4,5,0.15625616908073425,0.002543746493756771
raw,k,4,6,0.10996557027101517,0.0015348398592323065
raw,k,4,7,0.18832559883594513,0.00414812657982111
raw,k,5,0,0.3161056637763977,0.01795971766114235
raw,k,5,1,0.24539919197559357,0.010890111327171326
raw,k,5,2,0.1734474152326584,0.0053621456027030945
raw,k,5,3,0.19609567523002625,0.006695914547890425
raw,k,5,4,0.1411159634590149,0.0035674211103469133
raw,k,5,5,0.13951443135738373,0.0032368015963584185
raw,k,5,6,0.08291197568178177,0.0011871099704876542
raw,k,5,7,0.18949835002422333,0.00602857256308198
raw,k,6,0,0.2884135842323303,0.011721262708306313
raw,k,6,1,0.2567726671695709,0.008803344331681728
raw,k,6,2,0.191392719745636,0.005333042703568935
raw,k,6,3,0.2336631864309311,0.007660980802029371
raw,k,6,4,0.16230307519435883,0.0035527641884982586
raw,k,6,5,0.15152107179164886,0.003088227240368724
raw,k,6,6,0.08379668742418289,0.0009533599950373173
raw,k,6,7,0.2302829623222351,0.007726690266281366
raw,k,7,0,0.1747923195362091,0.009042462334036827
raw,k,7,1,0.18782028555870056,0.00955140683799982
raw,k,7,2,0.1215081512928009,0.004347616340965033
raw,k,7,3,0.1951291561126709,0.009577368386089802
raw,k,7,4,0.13346917927265167,0.0043105375953018665
raw,k,7,5,0.0998673290014267,0.0023259837180376053
raw,k,7,6,0.07790224254131317,0.001590548432432115
raw,k,7,7,0.11943382769823074,0.004374450072646141
raw,k,8,0,0.13173207640647888,0.009696614928543568
raw,k,8,1,0.13403260707855225,0.009135457687079906
raw,k,8,2,0.08416234701871872,0.003803217550739646
raw,k,8,3,0.14692267775535583,0.01193162240087986
raw,k,8,4,0.07259109616279602,0.0026448513381183147
raw,k,8,5,0.06297662854194641,0.0018146545626223087
raw,k,8,6,0.07352448999881744,0.0027642082422971725
raw,k,8,7,0.07488252222537994,0.0035328464582562447
raw,k,9,0,0.22565221786499023,0.011903940699994564
raw,k,9,1,0.2211923897266388,0.01124334242194891
raw,k,9,2,0.15136216580867767,0.005486913025379181
raw,k,9,3,0.2335355132818222,0.012410198338329792
raw,k,9,4,0.11959025263786316,0.0032594434451311827
raw,k,9,5,0.12357156723737717,0.003458412131294608
raw,k,9,6,0.11769385635852814,0.003299797186627984
raw,k,9,7,0.14225731790065765,0.005053608678281307
raw,k,10,0,0.1605122983455658,0.014117801561951637
raw,k,10,1,0.15746262669563293,0.012876954860985279
raw,k,10,2,0.09801504760980606,0.005651201121509075
raw,k,10,3,0.15225054323673248,0.011760653927922249
raw,k,10,4,0.07449837774038315,0.0024395727086812258
raw,k,10,5,0.0757187083363533,0.0027729689609259367
raw,k,10,6,0.07136569917201996,0.002374261850491166
raw,k,10,7,0.08496875315904617,0.004562772810459137
raw,k,11,0,0.35591569542884827,0.021526431664824486
raw,k,11,1,0.3116997182369232,0.016431190073490143
raw,k,11,2,0.1813662052154541,0.005190039053559303
raw,k,11,3,0.2590130567550659,0.009604278020560741
raw,k,11,4,0.1418575793504715,0.0028605193365365267
raw,k,11,5,0.14559802412986755,0.0036263223737478256
raw,k,11,6,0.1349312663078308,0.002651082817465067
raw,k,11,7,0.157166987657547,0.004037742502987385
raw,k,12,0,0.4475749731063843,0.01640847697854042
raw,k,12,1,0.3816748559474945,0.012110828422009945
raw,k,12,2,0.2848104238510132,0.006600602529942989
raw,k,12,3,0.2989339828491211,0.007476301398128271
raw,k,12,4,0.17059791088104248,0.002447419799864292
raw,k,12,5,0.21630214154720306,0.004182528704404831
raw,k,12,6,0.18127743899822235,0.002598154591396451
raw,k,12,7,0.22748877108097076,0.0036577379796653986
raw,k,13,0,0.42535659670829773,0.0142463818192482
raw,k,13,1,0.4072110056877136,0.013717853464186192
raw,k,13,2,0.2922992706298828,0.005773312412202358
raw,k,13,3,0.3568754196166992,0.009808355011045933
raw,k,13,4,0.18064573407173157,0.0026009753346443176
raw,k,13,5,0.24505500495433807,0.004483105149120092
raw,k,13,6,0.195597842335701,0.0030450152698904276
raw,k,13,7,0.22507722675800323,0.0034523613285273314
raw,k,14,0,0.32359156012535095,0.010949946939945221
raw,k,14,1,0.36626651883125305,0.013944574631750584
raw,k,14,2,0.22971148788928986,0.004835804458707571
raw,k,14,3,0.33736783266067505,0.011267916299402714
raw,k,14,4,0.13851191103458405,0.001973099075257778
raw,k,14,5,0.22113372385501862,0.005036532878875732
raw,k,14,6,0.18369591236114502,0.0033953345846384764
raw,k,14,7,0.18383878469467163,0.003067109966650605
raw,k,15,0,0.3539755642414093,0.012247965671122074
raw,k,15,1,0.39067521691322327,0.015440147370100021
raw,k,15,2,0.2720463275909424,0.006978748831897974
raw,k,15,3,0.3426952362060547,0.010732018388807774
raw,k,15,4,0.1420903354883194,0.0019117792835459113
raw,k,15,5,0.21138013899326324,0.00461324118077755
raw,k,15,6,0.1557803899049759,0.0023615665268152952
raw,k,15,7,0.21065717935562134,0.003833700669929385
raw,k,16,0,0.31558677554130554,0.011425809934735298
raw,k,16,1,0.34057310223579407,0.012615000829100609
raw,k,16,2,0.22640925645828247,0.004976989235728979
raw,k,16,3,0.30734729766845703,0.010623792186379433
raw,k,16,4,0.13962437212467194,0.0022778043057769537
raw,k,16,5,0.21226538717746735,0.0056857215240597725
raw,k,16,6,0.13325420022010803,0.002255368046462536
raw,k,16,7,0.1962488442659378,0.003786694025620818
raw,k,17,0,0.41489359736442566,0.012626230716705322
raw,k,17,1,0.450363427400589,0.01496394444257021
raw,k,17,2,0.2920086681842804,0.005738753359764814
raw,k,17,3,0.3959284722805023,0.011597366072237492
raw,k,17,4,0.23032331466674805,0.00394525658339262
raw,k,17,5,0.3690798580646515,0.01062532514333725
raw,k,17,6,0.20275886356830597,0.0030794076155871153
raw,k,17,7,0.23395736515522003,0.0036422170232981443
raw,k,18,0,0.685040295124054,0.01828199252486229
raw,k,18,1,0.6879422068595886,0.01933331787586212
raw,k,18,2,0.46572956442832947,0.007711246609687805
raw,k,18,3,0.5125858783721924,0.01001641433686018
raw,k,18,4,0.3045480251312256,0.0034788092598319054
raw,k,18,5,0.5139269828796387,0.010734926909208298
raw,k,18,6,0.23970648646354675,0.0022112259175628424
raw,k,18,7,0.28282710909843445,0.0027224847581237555
raw,k,19,0,0.6147893667221069,0.01749732345342636
raw,k,19,1,0.5342713594436646,0.014317207038402557
raw,k,19,2,0.4000903069972992,0.006734972354024649
raw,k,19,3,0.5266727805137634,0.012940828688442707
