part,example,target,source,kind,context_index,prefix_tokens,layer,rank,original_gap,delta_norm2,base_norm2,error_norm2,prediction_norm2,target_prediction_dot,delta_recovery_error,final_kv_error,explained_delta_energy,cosine
t1,0,1,raw,k,40,447,0,0,0.0009431755196814632,1.720933437347412,1934545.875,1.6008870601654053,0.2856869697570801,0.20286664366722107,0.9644912914437413,0.0009096845750356963,0.06975654872918402,0.28932328756874254
t1,0,1,raw,k,40,447,0,1,0.0009431755196814632,1.720933437347412,1934545.875,1.5196237564086914,0.28869086503982544,0.24500036239624023,0.9396930194524306,0.0008862954519630894,0.11697702919237396,0.347590717015609
t1,0,1,raw,k,40,447,0,2,0.0009431755196814632,1.720933437347412,1934545.875,1.5114574432373047,0.2867668867111206,0.2481215000152588,0.9371647078066982,0.0008839108103127091,0.12172231044158599,0.35319769514848925
t1,0,1,raw,k,40,447,0,4,0.0009431755196814632,1.720933437347412,1934545.875,1.500936508178711,0.3047773838043213,0.262387216091156,0.9338973094647027,0.0008808290801834912,0.12783581537458932,0.36230077820727735
t1,0,1,raw,k,40,447,0,8,0.0009431755196814632,1.720933437347412,1934545.875,1.4086891412734985,0.43521350622177124,0.3737289309501648,0.9047436569322898,0.0008533320688056198,0.18143891524078715,0.43184062903303205
t1,0,1,raw,k,40,447,0,16,0.0009431755196814632,1.720933437347412,1934545.875,1.3503612279891968,0.48195916414260864,0.4262657165527344,0.8858148231815111,0.0008354788561957651,0.2153320990319083,0.4680510751171312
t1,0,1,raw,k,40,447,0,32,0.0009431755196814632,1.720933437347412,1934545.875,1.3159165382385254,0.5078479051589966,0.4564325511455536,0.8744442696268728,0.0008247544284378033,0.23534721931672498,0.488233685449386
t1,0,1,raw,k,41,488,0,0,0.0009352049105582827,1.6920104026794434,1934592.375,1.5421738624572754,0.2856869697570801,0.21776171028614044,0.9546961137535663,0.0008928364936732441,0.08855533038383745,0.3132094003846713
t1,0,1,raw,k,41,488,0,1,0.0009352049105582827,1.6920104026794434,1934592.375,1.4791632890701294,0.2797853350639343,0.24631619453430176,0.93498909457485,0.0008744063925648423,0.1257953930261022,0.3579966628563656
t1,0,1,raw,k,41,488,0,2,0.0009352049105582827,1.6920104026794434,1934592.375,1.4606174230575562,0.2831254303455353,0.25725919008255005,0.9291091220324299,0.0008689074133692232,0.13675623935612724,0.3716892014608497
t1,0,1,raw,k,41,488,0,4,0.0009352049105582827,1.6920104026794434,1934592.375,1.4253252744674683,0.32791727781295776,0.29730111360549927,0.9178156923016981,0.0008583457424279979,0.15761435496475462,0.39912862093013657
t1,0,1,raw,k,41,488,0,8,0.0009352049105582827,1.6920104026794434,1934592.375,1.4094977378845215,0.34797537326812744,0.3152439594268799,0.9127055201459425,0.000853566684334137,0.16696863349512447,0.4108383766015904
t1,0,1,raw,k,41,488,0,16,0.0009352049105582827,1.6920104026794434,1934592.375,1.3795807361602783,0.37315070629119873,0.3427901864051819,0.9029673483094712,0.0008444594982128087,0.18464996788696209,0.431404560463512
t1,0,1,raw,k,41,488,0,32,0.0009352049105582827,1.6920104026794434,1934592.375,1.3441741466522217,0.3997965455055237,0.3738163411617279,0.8913048190399886,0.0008335526435704589,0.20557571955609322,0.4545035182373552
t1,0,1,raw,k,42,1121,0,0,0.0009682316489125314,1.8151767253875732,1936245.25,1.322230577468872,0.2856869697570801,0.3893165588378906,0.8534815573506621,0.0008263678555900668,0.2715692312622884,0.5406275864745836
t1,0,1,raw,k,42,1121,0,1,0.0009682316489125314,1.8151767253875732,1936245.25,0.34047651290893555,1.539433479309082,1.5070669651031494,0.4330959494889037,0.00041933720531097963,0.8124278985363049,0.9015558368335919
t1,0,1,raw,k,42,1121,0,2,0.0009682316489125314,1.8151767253875732,1936245.25,0.017548693343997,1.7989161014556885,1.7982720136642456,0.09832476912415977,9.520115333802916e-05,0.9903322397766807,0.9951544143156286
t1,0,1,raw,k,42,1121,0,4,0.0009682316489125314,1.8151767253875732,1936245.25,0.010664843954145908,1.799107551574707,1.8018096685409546,0.0766509947794101,7.421591906605408e-05,0.9941246249993269,0.9970590794676784
t1,0,1,raw,k,42,1121,0,8,0.0009682316489125314,1.8151767253875732,1936245.25,0.006672851275652647,1.8053839206695557,1.8069438934326172,0.060631214208930646,5.8705060509081816e-05,0.9963238558635508,0.9981606053568435
t1,0,1,raw,k,42,1121,0,16,0.0009682316489125314,1.8151767253875732,1936245.25,0.001210305723361671,1.8080124855041504,1.8109893798828125,0.025821893546062284,2.500157456614774e-05,0.9993332298136959,0.9996678698325624
t1,0,1,raw,k,42,1121,0,32,0.0009682316489125314,1.8151767253875732,1936245.25,3.5365475923754275e-05,1.8092471361160278,1.8121942281723022,0.00441397934224432,4.273754496807069e-06,0.9999805167863662,0.999991569759017
t1,0,1,raw,k,43,52,0,0,0.0008437940353201097,1.3768610954284668,1933825.25,1.3996665477752686,0.2856869697570801,0.13144083321094513,1.0082476702746614,0.0008507533703031559,-0.016563364614282206,0.20957526444210714
t1,0,1,raw,k,43,52,0,1,0.0008437940353201097,1.3768610954284668,1933825.25,1.3279669284820557,0.2838762104511261,0.16638518869876862,0.9820838412737416,0.0008286764874510445,0.03551132870901241,0.26613690358961717
t1,0,1,raw,k,43,52,0,2,0.0008437940353201097,1.3768610954284668,1933825.25,1.3063257932662964,0.289091557264328,0.1798134595155716,0.9740487350176609,0.0008218965127190003,0.05122906181049469,0.285009560268711
t1,0,1,raw,k,43,52,0,4,0.0008437940353201097,1.3768610954284668,1933825.25,1.2891672849655151,0.29645341634750366,0.19207362830638885,0.9676305548820409,0.0008164808906029541,0.06369110925867372,0.30063839639833995
