source,layer,centered_total_variance,pc1,pc2,pc4,effective_rank,uncentered_pc1
raw,0,0.0,0.0,0.0,0.0,1.0,0.0
raw,1,0.8904299736022949,0.5900601744651794,0.7577905058860779,0.902003824710846,3.750378370285034,0.9929245710372925
raw,2,14.110852241516113,0.7066313624382019,0.8278011083602905,0.9313263297080994,2.8891079425811768,0.9879099726676941
raw,3,17.80561637878418,0.6532193422317505,0.808929443359375,0.9191551208496094,3.232394218444824,0.9917783141136169
raw,4,28.948516845703125,0.6442237496376038,0.7885310053825378,0.9043749570846558,3.387082815170288,0.989231526851654
raw,5,42.66111373901367,0.7066082954406738,0.8345972299575806,0.9232905507087708,2.8967642784118652,0.9889048337936401
raw,6,52.717315673828125,0.6817439198493958,0.8137106895446777,0.909420907497406,3.1077888011932373,0.9878407120704651
raw,7,178.482421875,0.6167816519737244,0.7488274574279785,0.8777456879615784,3.6968295574188232,0.9892192482948303
raw,8,192.21282958984375,0.6163965463638306,0.7431179285049438,0.8794869184494019,3.7067015171051025,0.9901269674301147
raw,9,118.94508361816406,0.6726837158203125,0.7957206964492798,0.9001345038414001,3.2192864418029785,0.9885029792785645
raw,10,230.82254028320312,0.6665206551551819,0.7953901290893555,0.8991195559501648,3.2572598457336426,0.9882991909980774
raw,11,263.8073425292969,0.631309986114502,0.7648372650146484,0.887171745300293,3.556905746459961,0.9895170331001282
raw,12,226.394775390625,0.6875239014625549,0.8004353642463684,0.9057533144950867,3.11954402923584,0.9892524480819702
raw,13,539.4840087890625,0.624818742275238,0.7538406848907471,0.8789702653884888,3.634507417678833,0.9878289103507996
raw,14,382.4934387207031,0.6613651514053345,0.7795308828353882,0.8933692574501038,3.338726758956909,0.98661869764328
raw,15,350.3795166015625,0.6646660566329956,0.7814810276031494,0.8952628374099731,3.3099148273468018,0.9866676330566406
raw,16,541.312255859375,0.6147945523262024,0.7626383900642395,0.887328028678894,3.6459732055664062,0.9841940402984619
raw,17,747.3230590820312,0.6343323588371277,0.7663014531135559,0.8963824510574341,3.5076208114624023,0.9844679832458496
raw,18,1346.4735107421875,0.6133026480674744,0.7739917635917664,0.8986055254936218,3.593146562576294,0.9828691482543945
raw,19,1643.524658203125,0.6087464094161987,0.7564266324043274,0.8897030353546143,3.6867830753326416,0.9806936979293823
raw,20,3511.035888671875,0.6364601254463196,0.7875154614448547,0.9051758050918579,3.424996852874756,0.9806035161018372
raw,21,2899.226318359375,0.6191777586936951,0.7610656023025513,0.8916428089141846,3.619927406311035,0.9814796447753906
raw,22,3211.80126953125,0.6116243004798889,0.7552463412284851,0.8874545693397522,3.6847758293151855,0.9777927994728088
raw,23,5515.79638671875,0.6074222326278687,0.7589125633239746,0.8910495042800903,3.6828696727752686,0.9737299680709839
raw,24,7757.18310546875,0.6067096590995789,0.7451462745666504,0.8833821415901184,3.74336314201355,0.9735811948776245
raw,25,8201.21875,0.5711360573768616,0.7084103226661682,0.8633888363838196,4.069945335388184,0.969825804233551
raw,26,6065.837890625,0.5614880919456482,0.6944186687469482,0.8568474650382996,4.1671013832092285,0.970745861530304
raw,27,7827.96484375,0.5603011846542358,0.6957750916481018,0.8532840013504028,4.17388391494751,0.9696714282035828
raw,28,8733.7646484375,0.5268906354904175,0.6587439179420471,0.8436181545257568,4.452084541320801,0.9674524664878845
raw,29,15303.8515625,0.5232807993888855,0.6600532531738281,0.8466141819953918,4.465292930603027,0.9640210270881653
raw,30,29642.75,0.4891038239002228,0.6213258504867554,0.8458684682846069,4.700280666351318,0.9599302411079407
raw,31,32265.41015625,0.4843384027481079,0.6203392744064331,0.8463665246963501,4.721311569213867,0.9575022459030151
raw,32,8755.5791015625,0.5004869103431702,0.6278256177902222,0.849890947341919,4.615074634552002,0.9619535207748413
raw,33,6016.64892578125,0.5211881399154663,0.6572412252426147,0.8468466997146606,4.480870246887207,0.9664823412895203
raw,34,10512.806640625,0.5163480639457703,0.649718165397644,0.8457167148590088,4.520475387573242,0.9652519226074219
raw,35,12358.52734375,0.5115106105804443,0.6412875652313232,0.8488247394561768,4.55073881149292,0.9654552936553955
raw,36,11197.4033203125,0.5343473553657532,0.6534440517425537,0.856319785118103,4.371263027191162,0.9646390080451965
raw,37,25415.419921875,0.5298927426338196,0.6500416994094849,0.8536558747291565,4.403799533843994,0.9611021876335144
raw,38,18657.513671875,0.5415964722633362,0.657148540019989,0.8565769791603088,4.318624019622803,0.9640522003173828
raw,39,27198.00390625,0.536504864692688,0.6548793315887451,0.8568794131278992,4.349557399749756,0.9555858969688416
raw,40,45604.51953125,0.5532252192497253,0.6761205196380615,0.8622947335243225,4.21493673324585,0.9532163143157959
raw,41,55678.546875,0.5478731393814087,0.6672345399856567,0.8669196963310242,4.250049114227295,0.9488704800605774
raw,42,110093.6796875,0.5641579627990723,0.6926603317260742,0.8728943467140198,4.100196361541748,0.9453223347663879
raw,43,171642.140625,0.5493772625923157,0.6879962682723999,0.8677516579627991,4.205030918121338,0.9314250349998474
raw,44,329754.4375,0.5414263010025024,0.6815178990364075,0.859943687915802,4.287647724151611,0.9232693910598755
raw,45,278183.46875,0.5484110116958618,0.695513129234314,0.8693156242370605,4.202610015869141,0.9251129031181335
raw,46,380922.4375,0.5202715992927551,0.6649215221405029,0.8657662272453308,4.416309833526611,0.9261171221733093
raw,47,553236.5625,0.5191441774368286,0.6745635867118835,0.8608337044715881,4.4334306716918945,0.8931511044502258
raw,48,606561.8125,0.5029251575469971,0.6531295776367188,0.8565152883529663,4.57893705368042,0.8987712860107422
raw,49,592947.3125,0.4917239546775818,0.6366124749183655,0.8535560965538025,4.681585788726807,0.899821400642395
raw,50,572391.875,0.4813663959503174,0.6315388679504395,0.8393247723579407,4.803047180175781,0.8885239958763123
raw,51,861474.4375,0.46287772059440613,0.6097291707992554,0.8348621129989624,4.951961040496826,0.8975497484207153
raw,52,882364.0,0.4550252854824066,0.6009820699691772,0.8291105031967163,5.035000801086426,0.8828731775283813
raw,53,1409080.375,0.4383305609226227,0.589428722858429,0.8150232434272766,5.192953586578369,0.8751862049102783
raw,54,2052915.125,0.4233676493167877,0.5712631344795227,0.8135032653808594,5.309974193572998,0.8690145611763
raw,55,2304206.5,0.4213082790374756,0.569616436958313,0.8061623573303223,5.343143939971924,0.8743783831596375
raw,56,4000734.0,0.3993965983390808,0.5436465740203857,0.7928810119628906,5.541016101837158,0.865940272808075
raw,57,5108766.5,0.37829798460006714,0.5262535810470581,0.7770003080368042,5.728604316711426,0.8455929160118103
