,,original_gap,original_gap,original_gap,final_kv_error,final_kv_error,final_kv_error,remaining_delta,remaining_delta,remaining_delta,explained_delta_energy,explained_delta_energy,explained_delta_energy
,,mean,std,median,mean,std,median,mean,std,median,mean,std,median
source,method,,,,,,,,,,,,
preprocess,mean,0.4775464991880645,0.23341364950040158,0.3692180497411328,0.27670459882146625,0.039229047426941395,0.26998359822119944,0.6792945643719637,0.23453342016898462,0.7054137091358053,0.48465308814206587,0.2956996708444684,0.5023895359075882
preprocess,oracle_r8,0.4775464991880645,0.23341364950040158,0.3692180497411328,0.2422698557051317,0.03752006656559396,0.2303806432784099,0.5980094577029811,0.22252653684730336,0.6226995259119454,0.5938569900885574,0.26757758267025994,0.6122452095075961
preprocess,position,0.4775464991880645,0.23341364950040158,0.3692180497411328,0.339508725294875,0.16251497513408947,0.292911752238723,0.8665380887415065,0.6167977389590296,0.7348751603573715,-0.12371892100905507,1.9269212545763967,0.45989453249276324
preprocess,prefix_v,0.4775464991880645,0.23341364950040158,0.3692180497411328,0.2719734618710847,0.03543857425375432,0.2648715031631276,0.6695173471531016,0.23249069685760576,0.6966542337678634,0.4987756362182447,0.2896355106424361,0.5146722870772387
preprocess,prefix_v_position,0.4775464991880645,0.23341364950040158,0.3692180497411328,0.3117453230992869,0.09603828786112605,0.28482148288196035,0.7858511980677201,0.4221818611964415,0.7303516011968165,0.20776512105070352,0.9519768263246393,0.4665177847584885
raw,mean,0.3921189533124567,0.022686769803417398,0.39171525784169053,0.2714558104877273,0.04017071506374319,0.2702155972487732,0.6915208685487697,0.0866999267855781,0.6860539686374423,0.5144323486030231,0.1200326665137195,0.529329653652225
raw,oracle_r8,0.3921189533124567,0.022686769803417398,0.39171525784169053,0.2376616345344893,0.03821178739905397,0.2281009248457698,0.6045051804310568,0.07571273794227644,0.5914813159849797,0.6289557165190339,0.09449806021568773,0.650148186671778
raw,position,0.3921189533124567,0.022686769803417398,0.39171525784169053,0.33341827727572726,0.16115238021653852,0.2852091562564065,0.8504384161981199,0.4127177630200398,0.7058647208985676,0.10982526738041312,1.1831089989350163,0.5017547786485487
raw,prefix_v,0.3921189533124567,0.022686769803417398,0.39171525784169053,0.26686044487917243,0.03800809448498187,0.26387608189586387,0.6796389041049199,0.07810384313428316,0.6829446709271668,0.5321127539209658,0.10628134806718396,0.5335854694032612
raw,prefix_v_position,0.3921189533124567,0.022686769803417398,0.39171525784169053,0.30642953836099207,0.09835687352391344,0.28344384208321766,0.7811901267223065,0.24818028401564074,0.7067199292787489,0.32938040160498433,0.5483350983673635,0.5005463042485765
