source,query_index,query_label,kind,layer,delta_l2,delta_vs_original_relative_l2,delta_vs_original_max_abs,delta_vs_original_cosine,before_vs_original_max_abs
raw,0,original,k,0,6.439194679260254,0.0,0.0,1.0000725984573364,0.0
raw,0,original,k,1,61.33694076538086,0.0,0.0,1.0002323389053345,0.0
raw,0,original,k,2,193.38772583007812,0.0,0.0,1.0001734495162964,0.0
raw,0,original,k,3,328.673583984375,0.0,0.0,1.000085711479187,0.0
raw,0,original,k,4,302.3284912109375,0.0,0.0,1.0000596046447754,0.0
raw,0,original,k,5,263.7779846191406,0.0,0.0,1.0001739263534546,0.0
raw,0,original,k,6,419.250244140625,0.0,0.0,1.0001105070114136,0.0
raw,0,original,k,7,284.8335876464844,0.0,0.0,1.0001115798950195,0.0
raw,0,original,k,8,271.190673828125,0.0,0.0,1.0001258850097656,0.0
raw,0,original,k,9,260.9090576171875,0.0,0.0,1.0001845359802246,0.0
raw,0,original,k,10,281.03314208984375,0.0,0.0,1.0001132488250732,0.0
raw,0,original,k,11,290.1856689453125,0.0,0.0,1.0001261234283447,0.0
raw,0,original,k,12,337.89093017578125,0.0,0.0,1.0000851154327393,0.0
raw,0,original,k,13,314.6781311035156,0.0,0.0,1.0000733137130737,0.0
raw,0,original,k,14,302.6546936035156,0.0,0.0,1.0000900030136108,0.0
raw,0,original,k,15,337.5775451660156,0.0,0.0,1.0000958442687988,0.0
raw,0,original,k,16,352.50634765625,0.0,0.0,1.0000845193862915,0.0
raw,0,original,k,17,365.01043701171875,0.0,0.0,1.0000746250152588,0.0
raw,0,original,k,18,485.23046875,0.0,0.0,1.0000462532043457,0.0
raw,0,original,k,19,458.5502624511719,0.0,0.0,1.000056505203247,0.0
raw,0,original,k,20,490.92889404296875,0.0,0.0,1.00003182888031,0.0
raw,0,original,k,21,614.0042724609375,0.0,0.0,0.9999810457229614,0.0
raw,0,original,k,22,529.6747436523438,0.0,0.0,1.0000280141830444,0.0
raw,0,original,k,23,583.349609375,0.0,0.0,0.999998152256012,0.0
raw,0,original,k,24,696.5220947265625,0.0,0.0,0.9999502897262573,0.0
raw,0,original,k,25,653.7361450195312,0.0,0.0,0.999980628490448,0.0
raw,0,original,k,26,653.140380859375,0.0,0.0,0.9999696016311646,0.0
raw,0,original,k,27,543.6900634765625,0.0,0.0,1.0000057220458984,0.0
raw,0,original,k,28,621.1605224609375,0.0,0.0,0.9999707341194153,0.0
raw,0,original,k,29,535.8012084960938,0.0,0.0,1.0000170469284058,0.0
raw,0,original,k,30,456.6684875488281,0.0,0.0,1.0000427961349487,0.0
raw,0,original,k,31,451.3717346191406,0.0,0.0,1.0000457763671875,0.0
raw,0,original,k,32,460.2247314453125,0.0,0.0,1.0000348091125488,0.0
raw,0,original,k,33,458.78424072265625,0.0,0.0,1.0000662803649902,0.0
raw,0,original,k,34,491.3217468261719,0.0,0.0,1.000028133392334,0.0
raw,0,original,k,35,526.4722290039062,0.0,0.0,1.0000298023223877,0.0
raw,0,original,k,36,637.7887573242188,0.0,0.0,0.9999805092811584,0.0
raw,0,original,k,37,625.8710327148438,0.0,0.0,0.999965488910675,0.0
raw,0,original,k,38,622.0280151367188,0.0,0.0,0.9999794960021973,0.0
raw,0,original,k,39,688.6260986328125,0.0,0.0,0.9999468326568604,0.0
raw,0,original,k,40,736.5902709960938,0.0,0.0,0.9999725222587585,0.0
raw,0,original,k,41,784.3306274414062,0.0,0.0,0.999960720539093,0.0
raw,0,original,k,42,901.5584716796875,0.0,0.0,0.9999792575836182,0.0
raw,0,original,k,43,927.65625,0.0,0.0,0.9999873638153076,0.0
raw,0,original,k,44,882.8773803710938,0.0,0.0,0.9999850988388062,0.0
raw,0,original,k,45,1201.440185546875,0.0,0.0,0.9999961256980896,0.0
raw,0,original,k,46,1004.2908935546875,0.0,0.0,0.9999936819076538,0.0
