source,layer,test_query,category,rank,relative_l2,cosine,full_explained_variance,residual_explained_variance
raw,0,para3,paraphrase,0,0.0,0.0,1.0,0.0
raw,0,para3,paraphrase,1,0.0,0.0,1.0,0.0
raw,0,para3,paraphrase,2,0.0,0.0,1.0,0.0
raw,0,para3,paraphrase,4,0.0,0.0,1.0,0.0
raw,0,para3,paraphrase,8,0.0,0.0,1.0,0.0
raw,0,reason3,reasoning,0,0.0,0.0,1.0,0.0
raw,0,reason3,reasoning,1,0.0,0.0,1.0,0.0
raw,0,reason3,reasoning,2,0.0,0.0,1.0,0.0
raw,0,reason3,reasoning,4,0.0,0.0,1.0,0.0
raw,0,reason3,reasoning,8,0.0,0.0,1.0,0.0
raw,0,rel3,related,0,0.0,0.0,1.0,0.0
raw,0,rel3,related,1,0.0,0.0,1.0,0.0
raw,0,rel3,related,2,0.0,0.0,1.0,0.0
raw,0,rel3,related,4,0.0,0.0,1.0,0.0
raw,0,rel3,related,8,0.0,0.0,1.0,0.0
raw,0,neg3,negative,0,0.0,0.0,1.0,0.0
raw,0,neg3,negative,1,0.0,0.0,1.0,0.0
raw,0,neg3,negative,2,0.0,0.0,1.0,0.0
raw,0,neg3,negative,4,0.0,0.0,1.0,0.0
raw,0,neg3,negative,8,0.0,0.0,1.0,0.0
raw,1,para3,paraphrase,0,0.05848001520128501,0.9984306693077087,0.9965800878220574,0.0
raw,1,para3,paraphrase,1,0.05809044759294944,0.9984901547431946,0.9966254998984508,0.013278725894254162
raw,1,para3,paraphrase,2,0.05587059616763188,0.9986140727996826,0.9968784764838734,0.08725038722936995
raw,1,para3,paraphrase,4,0.05386564452555716,0.9987234473228455,0.9970984923398463,0.15158416088354665
raw,1,para3,paraphrase,8,0.052725950541386665,0.9987873435020447,0.9972199741395072,0.18710606710220812
raw,1,reason3,reasoning,0,0.19373399363244073,0.9817967414855957,0.9624671397112254,0.0
raw,1,reason3,reasoning,1,0.14294184952545075,0.9900466203689575,0.9795676276542434,0.45561376914651075
raw,1,reason3,reasoning,2,0.136630649593513,0.9909143447875977,0.9813320655916546,0.5026242533951354
raw,1,reason3,reasoning,4,0.1354670404642444,0.9910771250724792,0.9816486809478587,0.5110599375867503
raw,1,reason3,reasoning,8,0.13109588470383893,0.9916257858276367,0.9828138690137178,0.5421044158624304
raw,1,rel3,related,0,0.06572177145907894,0.997979462146759,0.9956806487562806,0.0
raw,1,rel3,related,1,0.06554899885211649,0.9980291128158569,0.9957033287494852,0.005250676155447942
raw,1,rel3,related,2,0.06118593778787587,0.9983029961585999,0.9962562810170181,0.13326822206797628
raw,1,rel3,related,4,0.057371140604071114,0.9985292553901672,0.9967085522257879,0.23797635605623413
raw,1,rel3,related,8,0.056230766436146364,0.9985947012901306,0.9968381009060036,0.26796898062086627
raw,1,neg3,negative,0,0.07189805512130139,0.9975571632385254,0.9948306696697743,0.0
raw,1,neg3,negative,1,0.0639424931671636,0.9981581568717957,0.9959113575675672,0.20905762037957165
raw,1,neg3,negative,2,0.06314928452172207,0.9982060194015503,0.9960121678643946,0.2285592367181345
raw,1,neg3,negative,4,0.061365434353832786,0.9983155131340027,0.9962342834665654,0.2715272012283746
raw,1,neg3,negative,8,0.06124140795852187,0.998324453830719,0.996249489951258,0.27446887524048813
raw,2,para3,paraphrase,0,0.06854169966114042,0.9977676868438721,0.995302035407562,0.0
raw,2,para3,paraphrase,1,0.04704805124232634,0.999018669128418,0.9977864808742994,0.5288344818594966
raw,2,para3,paraphrase,2,0.04603748644410666,0.9990650415420532,0.9978805498419087,0.5488577837511053
raw,2,para3,paraphrase,4,0.04589730028497122,0.9990713000297546,0.9978934378265512,0.5516010961769224
raw,2,para3,paraphrase,8,0.042491566497697086,0.9992244839668274,0.9981944667765718,0.6156775582484235
raw,2,reason3,reasoning,0,0.1193581651430638,0.9929235577583313,0.9857536284136811,0.0
