example,target,source,kind,tokens,original_gap,internal_rank4_explained,internal_rank8_explained,internal_rank16_explained,internal_rank32_explained,internal_rank64_explained
0,4,preprocess,v,98,0.35222723914386894,0.49254477215276454,0.6394378015678498,0.7736484285034712,0.8867988437849379,0.9717091546831487
0,5,preprocess,v,52,0.9421407311957873,0.5160344787678827,0.6449490604327519,0.7858280449497975,0.9253975112502781,0.9999998693068747
0,6,preprocess,v,214,0.39521054968630254,0.4060090497191278,0.5286585686678104,0.6515020497105147,0.7670707917524479,0.8722512873201352
0,7,preprocess,v,121,0.4240826485425096,0.42340358686594,0.5515955806801256,0.6846315225003953,0.8168607411680433,0.9338674105128999
0,8,preprocess,v,301,0.5787885591990163,0.30056252283553764,0.4087818533739821,0.5357909532997158,0.6754957749263738,0.8145679483801036
0,9,preprocess,v,84,0.2972340302630827,0.4713634757088592,0.60636559315077,0.7441559015233596,0.874817182025937,0.9767323159726716
0,10,preprocess,v,83,0.3468910164955582,0.4881126835811714,0.6380287739794464,0.778057461194012,0.8982201146717118,0.9837261952092774
1,4,preprocess,v,86,0.4773438711847568,0.46969164104275357,0.6214335058991552,0.7664877990178467,0.8892225766984586,0.9807798944591052
1,5,preprocess,v,135,0.9321957455721556,0.4205641298022478,0.515712118926829,0.6293209358744088,0.7577427328005872,0.8863951991150909
1,6,preprocess,v,217,1.0410114349263038,0.4082947735498478,0.49052099287238504,0.5899426282358673,0.7049446943958461,0.8269150255535314
1,7,preprocess,v,56,0.5072253313808543,0.4916836587558843,0.6492139475978582,0.7947251468909613,0.9265018261922615,0.9999999109144143
1,8,preprocess,v,216,0.9363031634411708,0.3975407787818156,0.48471141255517813,0.5884092100019138,0.7070761208991009,0.8314227162027976
1,9,preprocess,v,113,0.8655831294303387,0.43041444383950334,0.5360897732351828,0.6597112607569517,0.7960386436248396,0.9286363969071154
1,10,preprocess,v,77,0.9659733283676734,0.4746293996537751,0.5962026896126171,0.7323738682628833,0.869622398621646,0.9817007350782124
2,4,preprocess,v,48,0.8724173614195405,0.5181533930373091,0.6518819954087913,0.7958351461744023,0.9396394425972847,0.9999998074736451
2,5,preprocess,v,185,0.2408875223543272,0.43954832489944046,0.5757936863112947,0.6922963460343803,0.7957849256692263,0.8891857497671449
2,6,preprocess,v,63,0.8144385651790088,0.4612928355624909,0.5903869933350208,0.7344573958592822,0.8844006048836036,0.9999998358989519
2,7,preprocess,v,99,0.8967435166571176,0.42433233576186646,0.5314897623456236,0.6589708800945963,0.8022537749131382,0.9417363759710317
2,8,preprocess,v,106,0.348458999615292,0.49768426361134954,0.624082570906054,0.7381379797503362,0.8495742716064978,0.952016994825222
2,9,preprocess,v,234,0.38165918912042507,0.3144012338948213,0.4159542452089439,0.5349443834899597,0.6695270770725681,0.8110823012070998
2,10,preprocess,v,368,0.9403464381812575,0.36863248697708495,0.44658404198201995,0.5376622569180077,0.6435536030758049,0.7621825300687798
3,4,preprocess,v,170,0.9578751344963137,0.4028570047714518,0.49109149109381617,0.597813429015099,0.7213231687737052,0.8516618061796407
