target,source,kind,mode,rank,remaining_delta,explained_delta_energy
1,preprocess,k,shared,0,0.8204743266105652,0.3268219232559204
1,preprocess,k,per_x,0,0.8204743266105652,0.3268219232559204
1,preprocess,k,shared,1,0.7029092311859131,0.5059186220169067
1,preprocess,k,per_x,1,0.7086402773857117,0.49782896041870117
1,preprocess,k,shared,2,0.6577343344688416,0.5673855543136597
1,preprocess,k,per_x,2,0.5816746950149536,0.6616545915603638
1,preprocess,k,shared,4,0.5288729667663574,0.720293402671814
1,preprocess,k,per_x,4,0.5037568211555481,0.7462290525436401
1,preprocess,k,shared,8,0.36210691928863525,0.8688786029815674
1,preprocess,k,per_x,8,0.4375583827495575,0.8085426688194275
1,preprocess,k,shared,16,0.2654196619987488,0.929552435874939
1,preprocess,k,per_x,16,0.35427770018577576,0.8744872808456421
1,preprocess,k,shared,32,0.21247799694538116,0.9548531174659729
1,preprocess,k,per_x,32,0.30900952219963074,0.9045131206512451
2,preprocess,k,shared,0,0.6104438304901123,0.6273583173751831
2,preprocess,k,per_x,0,0.6104438304901123,0.6273583173751831
2,preprocess,k,shared,1,0.4981551766395569,0.7518414258956909
2,preprocess,k,per_x,1,0.5056822896003723,0.7442854046821594
2,preprocess,k,shared,2,0.4830434024333954,0.7666690945625305
2,preprocess,k,per_x,2,0.44966351985931396,0.797802746295929
2,preprocess,k,shared,4,0.367173969745636,0.8651832938194275
2,preprocess,k,per_x,4,0.40171146392822266,0.8386279344558716
2,preprocess,k,shared,8,0.2553376257419586,0.9348027110099792
2,preprocess,k,per_x,8,0.35138559341430664,0.8765281438827515
2,preprocess,k,shared,16,0.17985299229621887,0.9676529169082642
2,preprocess,k,per_x,16,0.30870765447616577,0.9046995639801025
2,preprocess,k,shared,32,0.14051759243011475,0.9802548289299011
2,preprocess,k,per_x,32,0.2388610988855362,0.9429453611373901
3,preprocess,k,shared,0,0.7537186741828918,0.43190813064575195
3,preprocess,k,per_x,0,0.7537186741828918,0.43190813064575195
3,preprocess,k,shared,1,0.6884858012199402,0.5259872674942017
3,preprocess,k,per_x,1,0.697824239730835,0.5130413770675659
3,preprocess,k,shared,2,0.6223234534263611,0.6127135157585144
3,preprocess,k,per_x,2,0.6208050847053528,0.6146010756492615
3,preprocess,k,shared,4,0.4879592955112457,0.7618957161903381
3,preprocess,k,per_x,4,0.468915194272995,0.7801185250282288
3,preprocess,k,shared,8,0.2805100381374359,0.9213141202926636
3,preprocess,k,per_x,8,0.385243684053421,0.8515872955322266
3,preprocess,k,shared,16,0.19636866450309753,0.9614393711090088
3,preprocess,k,per_x,16,0.3299767076969147,0.8911153674125671
3,preprocess,k,shared,32,0.1508924961090088,0.9772314429283142
3,preprocess,k,per_x,32,0.23787632584571838,0.9434148669242859
4,preprocess,k,shared,0,0.9250255823135376,0.14432764053344727
4,preprocess,k,per_x,0,0.9250255823135376,0.14432764053344727
4,preprocess,k,shared,1,0.8423916101455688,0.29037636518478394
4,preprocess,k,per_x,1,0.8905342817306519,0.20694869756698608
4,preprocess,k,shared,2,0.7959133386611938,0.366521954536438
4,preprocess,k,per_x,2,0.7487409114837646,0.43938708305358887
4,preprocess,k,shared,4,0.6738587617874146,0.5459144115447998
4,preprocess,k,per_x,4,0.6335936784744263,0.5985590815544128
4,preprocess,k,shared,8,0.38544762134552,0.8514301180839539
4,preprocess,k,per_x,8,0.5737209320068359,0.670844316482544
4,preprocess,k,shared,16,0.23276259005069733,0.9458215832710266
4,preprocess,k,per_x,16,0.40075212717056274,0.8393977284431458
4,preprocess,k,shared,32,0.19517500698566437,0.9619067311286926
4,preprocess,k,per_x,32,0.31456226110458374,0.9010505676269531
5,preprocess,k,shared,0,0.3770464062690735,0.8578360080718994
5,preprocess,k,per_x,0,0.3770464062690735,0.8578360080718994
5,preprocess,k,shared,1,0.31748950481414795,0.899200439453125
5,preprocess,k,per_x,1,0.3312171697616577,0.890295147895813
5,preprocess,k,shared,2,0.2778923213481903,0.9227758646011353
5,preprocess,k,per_x,2,0.2339920699596405,0.9452477097511292
5,preprocess,k,shared,4,0.24801978468894958,0.9384862184524536
5,preprocess,k,per_x,4,0.20706984400749207,0.9571220874786377
5,preprocess,k,shared,8,0.18183518946170807,0.9669359922409058
5,preprocess,k,per_x,8,0.16801269352436066,0.9717717170715332
5,preprocess,k,shared,16,0.11442576348781586,0.9869067668914795
5,preprocess,k,per_x,16,0.13494570553302765,0.9817896485328674
5,preprocess,k,shared,32,0.09561960399150848,0.9908568859100342
5,preprocess,k,per_x,32,0.12362167239189148,0.9847176671028137
