Main Question,Sub Question,Ground Truth,Predicted,Correct,F1,EM,Reason,Rate1_Predicted,Rate1_Correct,Rate1_F1,Rate1_EM,Rate1_Reason,_source_csv,_seg,_row,Rejudge_Correct,Rejudge_Reason,Rejudge_Raw
What is the network which National Cycle Route 57 is part of an example of?,What network is National Cycle Route 57 part of?,National Cycle Route 57 is part of the United Kingdom's National Cycle Network (NCN).,"<think>

</think>

National Cycle Network",True,0,0.0,预测答案“National Cycle Network”准确包含了标准答案中的核心信息，即National Cycle Route 57所属的网络名称。虽然预测答案省略了“United Kingdom's”等修饰性背景信息，但在语义上与标准答案完全等价，正确地回答了问题。,N/A,N/A,N/A,N/A,N/A,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_rate015_online_offline/online_draft_rate015/seg_0_25/Qwen3-32B/musique/DraftModel_global_topk10_bge/rate_0.15_draft_Qwen2.5-3B-Instruct_revert_rope.csv,seg_0_25,0,True,预测答案“National Cycle Network”准确包含了标准答案中的核心信息，即National Cycle Route 57所属的网络名称。虽然它省略了“United Kingdom's”和缩写“(NCN)”等修饰性细节，但在语义上与标准答案完全等价，正确回答了所提问题。,"判断: 正确
原因: 预测答案“National Cycle Network”准确包含了标准答案中的核心信息，即National Cycle Route 57所属的网络名称。虽然它省略了“United Kingdom's”和缩写“(NCN)”等修饰性细节，但在语义上与标准答案完全等价，正确回答了所提问题。"
What district is the headquarter of Julia's House located?,Where is the headquarters of Julia's House located?,"Corfe Mullen, Dorset, England","Corfe Mullen, Dorset, England",True,1.0,1.0,"预测答案与标准答案完全一致，均明确指出了Julia's House的总部位于Corfe Mullen, Dorset, England。预测答案不仅包含了标准答案的所有关键信息，且在语义上完全等价，准确无误地回答了问题。",N/A,N/A,N/A,N/A,N/A,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_rate015_online_offline/online_draft_rate015/seg_0_25/Qwen3-32B/musique/DraftModel_global_topk10_bge/rate_0.15_draft_Qwen2.5-3B-Instruct_revert_rope.csv,seg_0_25,1,True,"预测答案与标准答案完全一致，均准确提供了“Corfe Mullen, Dorset, England”这一地理位置信息，完整且正确地回答了关于Julia's House总部所在地的问题。","判断: 正确
原因: 预测答案与标准答案完全一致，均准确提供了“Corfe Mullen, Dorset, England”这一地理位置信息，完整且正确地回答了关于Julia's House总部所在地的问题。"
What body of water includes the terrain feature where Coffee Swamp is located?,Where is Coffee Swamp located?,"Coffee Swamp is located on the northern edge of Washington Island, in Door County, Wisconsin.","Answer: Coffee Swamp is located on the northern edge of Washington Island, in Door County, Wisconsin.",True,0.9655172413793104,0.0,预测答案包含了标准答案的全部关键信息，即位于威斯康星州多尔县华盛顿岛的北边缘。除了开头多出的“Answer:”前缀外，两者的核心语义完全一致，准确回答了问题。,N/A,N/A,N/A,N/A,N/A,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_rate015_online_offline/online_draft_rate015/seg_0_25/Qwen3-32B/musique/DraftModel_global_topk10_bge/rate_0.15_draft_Qwen2.5-3B-Instruct_revert_rope.csv,seg_0_25,2,True,预测答案包含了标准答案的所有关键信息，即“位于威斯康星州多尔县华盛顿岛的北缘”。两者在语义上完全等价，预测答案仅多出了“Answer:”这一前缀，不影响对问题实质内容的正确回答。,"判断: 正确
原因: 预测答案包含了标准答案的所有关键信息，即“位于威斯康星州多尔县华盛顿岛的北缘”。两者在语义上完全等价，预测答案仅多出了“Answer:”这一前缀，不影响对问题实质内容的正确回答。"
Who is the spouse of the child of Peter Andreas Heiberg?,Who is the child of Peter Andreas Heiberg?,Johan Ludvig Heiberg is the child of Peter Andreas Heiberg.,"<think>

</think>

Johan Ludvig Heiberg",True,0,0.0,预测答案“Johan Ludvig Heiberg”直接给出了问题所询问的人名，与标准答案“Johan Ludvig Heiberg is the child of Peter Andreas Heiberg.”中的核心实体信息完全一致，准确地回答了问题。,N/A,N/A,N/A,N/A,N/A,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_rate015_online_offline/online_draft_rate015/seg_0_25/Qwen3-32B/musique/DraftModel_global_topk10_bge/rate_0.15_draft_Qwen2.5-3B-Instruct_revert_rope.csv,seg_0_25,3,True,预测答案“Johan Ludvig Heiberg”直接给出了标准答案中的核心实体，即Peter Andreas Heiberg的孩子。虽然它省略了标准答案中的描述性语句，但完全准确地回答了“谁是孩子”的问题，语义上与标准答案等价。,"判断: 正确
原因: 预测答案“Johan Ludvig Heiberg”直接给出了标准答案中的核心实体，即Peter Andreas Heiberg的孩子。虽然它省略了标准答案中的描述性语句，但完全准确地回答了“谁是孩子”的问题，语义上与标准答案等价。"
Who is the spouse of the child of Peter Andreas Heiberg?,Who is the spouse of Johan Ludvig Heiberg?,Johanne Luise Heiberg,"<think>

</think>

Johanne Luise Heiberg",True,0,0.0,预测答案“Johanne Luise Heiberg”与标准答案完全一致，准确地给出了Johan Ludvig Heiberg配偶的名字，包含了标准答案的所有关键信息，语义完全等价，因此判断为正确。,N/A,N/A,N/A,N/A,N/A,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_rate015_online_offline/online_draft_rate015/seg_0_25/Qwen3-32B/musique/DraftModel_global_topk10_bge/rate_0.15_draft_Qwen2.5-3B-Instruct_revert_rope.csv,seg_0_25,4,True,预测答案“Johanne Luise Heiberg”与标准答案完全一致，准确地给出了Johan Ludvig Heiberg配偶的名字，完整且正确地回答了问题。,"判断: 正确
原因: 预测答案“Johanne Luise Heiberg”与标准答案完全一致，准确地给出了Johan Ludvig Heiberg配偶的名字，完整且正确地回答了问题。"
"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?","Who were the siblings of Alice de Lusignan, Countess of Surrey?","Alice de Lusignan had a uterine half-brother, King Henry III of England.",Answer: King Henry III of England,True,0.5384615384615384,0.0,预测答案明确指出了“King Henry III of England”，这与标准答案中提到的核心关键信息完全一致。虽然预测答案省略了“uterine half-brother”这一描述具体亲属关系的修饰语，但准确回答了问题所问的兄弟姐妹的具体人物，语义上与标准答案等价，因此判断为正确。,N/A,N/A,N/A,N/A,N/A,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_rate015_online_offline/online_draft_rate015/seg_0_25/Qwen3-32B/musique/DraftModel_global_topk10_bge/rate_0.15_draft_Qwen2.5-3B-Instruct_revert_rope.csv,seg_0_25,5,True,预测答案准确地给出了“King Henry III of England”这一关键信息，与标准答案中提到的兄弟姐妹核心内容完全一致。虽然省略了“uterine half-brother”等修饰性细节，但核心语义保持不变，符合评估标准。,"判断: 正确
原因: 预测答案准确地给出了“King Henry III of England”这一关键信息，与标准答案中提到的兄弟姐妹核心内容完全一致。虽然省略了“uterine half-brother”等修饰性细节，但核心语义保持不变，符合评估标准。"
"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?",When was King Henry III of England crowned?,Henry III was first crowned in 1216 at Gloucester Cathedral and had a second coronation on 17 May 1220 at Westminster Abbey.,"17 May 1220
</think>

Answer: 17 May 1220",False,0.32558139534883723,0.0,预测答案仅包含了亨利三世第二次加冕的日期（1220年5月17日），遗漏了其首次加冕的时间（1216年）。标准答案明确指出了两次加冕的时间及地点，预测答案信息不完整，未能全面回答问题。,N/A,N/A,N/A,N/A,N/A,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_rate015_online_offline/online_draft_rate015/seg_0_25/Qwen3-32B/musique/DraftModel_global_topk10_bge/rate_0.15_draft_Qwen2.5-3B-Instruct_revert_rope.csv,seg_0_25,6,False,预测答案仅提供了1220年5月17日的第二次加冕日期，遗漏了1216年在格洛斯特大教堂的首次加冕这一关键信息。由于未能完整包含标准答案的全部要点，因此不能算作完全正确。,"判断: 错误
原因: 预测答案仅提供了1220年5月17日的第二次加冕日期，遗漏了1216年在格洛斯特大教堂的首次加冕这一关键信息。由于未能完整包含标准答案的全部要点，因此不能算作完全正确。"
Which university employed the person that Mach bands are named after?,Which university employed Ernst Mach?,Ernst Mach was employed at Charles University in Prague.,"<think>

</think>

Answer: Charles University in Prague",True,0,0.0,预测答案“Charles University in Prague”直接且准确地提供了问题所询问的大学名称，与标准答案的核心信息完全一致，正确地回答了问题。,N/A,N/A,N/A,N/A,N/A,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_rate015_online_offline/online_draft_rate015/seg_0_25/Qwen3-32B/musique/DraftModel_global_topk10_bge/rate_0.15_draft_Qwen2.5-3B-Instruct_revert_rope.csv,seg_0_25,7,True,预测答案“Charles University in Prague”直接且准确地给出了问题所问的大学名称，与标准答案的核心信息完全一致，正确地回答了问题。,"判断: 正确
原因: 预测答案“Charles University in Prague”直接且准确地给出了问题所问的大学名称，与标准答案的核心信息完全一致，正确地回答了问题。"
Who is the employer of the physicist who Mach number is named after?,Who is the physicist that the Mach number is named after?,The Mach number is named after the Austrian physicist and philosopher Ernst Mach.,"<think>

</think>

The physicist that the Mach number is named after is Ernst Mach.",True,0,0.0,预测答案明确指出了马赫数是以恩斯特·马赫（Ernst Mach）的名字命名的，这与标准答案的核心信息完全一致。虽然预测答案省略了关于他是“奥地利物理学家和哲学家”的背景描述，但已经准确回答了问题所问的核心人物，语义上完全等价。,N/A,N/A,N/A,N/A,N/A,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_rate015_online_offline/online_draft_rate015/seg_0_25/Qwen3-32B/musique/DraftModel_global_topk10_bge/rate_0.15_draft_Qwen2.5-3B-Instruct_revert_rope.csv,seg_0_25,8,True,预测答案明确指出了马赫数是以恩斯特·马赫（Ernst Mach）的名字命名的，包含了标准答案中的核心关键信息。虽然预测答案省略了关于他是“奥地利物理学家和哲学家”的背景描述，但准确回答了问题所问的核心人物，语义上与标准答案完全等价。,"判断: 正确
原因: 预测答案明确指出了马赫数是以恩斯特·马赫（Ernst Mach）的名字命名的，包含了标准答案中的核心关键信息。虽然预测答案省略了关于他是“奥地利物理学家和哲学家”的背景描述，但准确回答了问题所问的核心人物，语义上与标准答案完全等价。"
Who is the employer of the physicist who Mach number is named after?,Who was Ernst Mach's employer or academic institution during his career?,Ernst Mach was a professor at Charles University in Prague.,"Answer: Ernst Mach was employed at the Charles University in Prague, where Vinko Dvořák studied and worked as his assistant.",True,0.5405405405405405,0.0,预测答案明确指出了恩斯特·马赫受雇于布拉格的查理大学，这与标准答案中的核心信息完全一致。尽管预测答案额外补充了关于Vinko Dvořák的细节，但这并不影响对原问题的正确回答，语义上与标准答案等价。,N/A,N/A,N/A,N/A,N/A,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_rate015_online_offline/online_draft_rate015/seg_0_25/Qwen3-32B/musique/DraftModel_global_topk10_bge/rate_0.15_draft_Qwen2.5-3B-Instruct_revert_rope.csv,seg_0_25,9,True,预测答案明确指出了恩斯特·马赫受雇于布拉格的查尔斯大学，这与标准答案的核心信息完全一致。尽管预测答案额外补充了关于Vinko Dvořák的冗余信息，但其对问题本身的回答是准确且与标准答案语义等价的。,"判断: 正确
原因: 预测答案明确指出了恩斯特·马赫受雇于布拉格的查尔斯大学，这与标准答案的核心信息完全一致。尽管预测答案额外补充了关于Vinko Dvořák的冗余信息，但其对问题本身的回答是准确且与标准答案语义等价的。"
