base_method,example_id,sub_q_idx,chunk_order,chunk_id,chunk_len,residual_count,residual_frac
freq,75,0,0,0,126,15,0.11029411764705882
freq,75,0,11,1,40,40,0.29411764705882354
freq,75,0,10,10,126,73,0.5367647058823529
freq,75,0,4,4,111,1,0.007352941176470588
freq,75,0,1,1,147,7,0.051470588235294115
freq,25,0,7,7,104,6,0.08450704225352113
freq,25,0,10,10,30,30,0.4225352112676056
freq,25,0,4,4,31,8,0.11267605633802817
freq,25,0,1,1,33,10,0.14084507042253522
freq,25,0,3,3,102,9,0.1267605633802817
freq,25,0,9,9,82,8,0.11267605633802817
freq,176,0,1,1,115,6,0.06896551724137931
freq,176,0,7,7,96,2,0.022988505747126436
freq,176,0,2,2,97,1,0.011494252873563218
freq,176,0,3,3,126,1,0.011494252873563218
freq,176,0,4,4,108,2,0.022988505747126436
freq,176,0,10,10,159,28,0.3218390804597701
freq,176,0,0,0,159,11,0.12643678160919541
freq,176,0,5,5,42,6,0.06896551724137931
freq,176,0,6,6,129,1,0.011494252873563218
freq,176,0,11,1,29,29,0.3333333333333333
freq,150,0,8,8,80,6,0.05714285714285714
freq,150,0,9,9,82,12,0.11428571428571428
freq,150,0,3,3,83,8,0.0761904761904762
freq,150,0,10,10,37,37,0.3523809523809524
freq,150,0,4,4,80,6,0.05714285714285714
freq,150,0,5,5,80,5,0.047619047619047616
freq,150,0,0,0,82,11,0.10476190476190476
freq,150,0,6,6,80,5,0.047619047619047616
freq,150,0,1,1,81,10,0.09523809523809523
freq,150,0,7,7,81,5,0.047619047619047616
freq,25,1,7,15,33,4,0.047058823529411764
freq,25,1,8,2,135,2,0.023529411764705882
freq,25,1,0,0,48,13,0.15294117647058825
freq,25,1,10,17,33,10,0.11764705882352941
freq,25,1,1,1,38,9,0.10588235294117647
freq,25,1,11,2,48,18,0.21176470588235294
freq,25,1,12,1,29,29,0.3411764705882353
freq,150,1,8,16,317,3,0.022556390977443608
freq,150,1,10,18,82,3,0.022556390977443608
freq,150,1,0,0,172,34,0.2556390977443609
freq,150,1,11,1,172,63,0.47368421052631576
freq,150,1,5,13,78,2,0.015037593984962405
freq,150,1,12,11,28,28,0.21052631578947367
freq,77,0,9,9,165,17,0.1259259259259259
freq,77,0,10,10,32,32,0.23703703703703705
freq,77,0,4,4,284,4,0.02962962962962963
freq,77,0,2,2,203,16,0.11851851851851852
freq,77,0,7,7,138,1,0.007407407407407408
freq,77,0,8,8,253,2,0.014814814814814815
freq,77,0,0,0,133,33,0.24444444444444444
freq,77,0,5,5,113,10,0.07407407407407407
freq,77,0,3,3,227,4,0.02962962962962963
freq,77,0,1,1,244,14,0.1037037037037037
freq,77,0,6,6,101,2,0.014814814814814815
freq,50,0,0,0,265,9,0.08490566037735849
freq,50,0,2,2,189,6,0.05660377358490566
freq,50,0,7,7,85,10,0.09433962264150944
freq,50,0,1,1,321,1,0.009433962264150943
freq,50,0,8,8,152,13,0.12264150943396226
freq,50,0,4,4,98,16,0.1509433962264151
freq,50,0,9,9,154,16,0.1509433962264151
