example_id,query_idx,label,query,smart_selected_count
0,0,control_other_example_1,Where is the headquarters of Julia's House located?,234
0,1,control_other_example_2,Where is Coffee Swamp located?,234
0,2,control_other_example_3,Who is the child of Peter Andreas Heiberg?,234
0,3,control_other_example_3,Who is the spouse of Johan Ludvig Heiberg?,234
0,4,control_other_example_4,"Who were the siblings of Alice de Lusignan, Countess of Surrey?",234
0,5,control_other_example_4,When was King Henry III of England crowned?,234
0,6,control_other_example_6,Which university employed Ernst Mach?,234
0,7,control_other_example_7,Who is the physicist that the Mach number is named after?,234
1,0,control_other_example_2,Where is Coffee Swamp located?,241
1,1,control_other_example_3,Who is the child of Peter Andreas Heiberg?,241
1,2,control_other_example_3,Who is the spouse of Johan Ludvig Heiberg?,241
1,3,control_other_example_4,"Who were the siblings of Alice de Lusignan, Countess of Surrey?",241
1,4,control_other_example_4,When was King Henry III of England crowned?,241
1,5,control_other_example_6,Which university employed Ernst Mach?,241
1,6,control_other_example_7,Who is the physicist that the Mach number is named after?,241
1,7,control_other_example_7,Who was Ernst Mach's employer or academic institution during his career?,241
2,0,control_other_example_3,Who is the child of Peter Andreas Heiberg?,275
2,1,control_other_example_3,Who is the spouse of Johan Ludvig Heiberg?,275
2,2,control_other_example_4,"Who were the siblings of Alice de Lusignan, Countess of Surrey?",275
2,3,control_other_example_4,When was King Henry III of England crowned?,275
2,4,control_other_example_6,Which university employed Ernst Mach?,275
2,5,control_other_example_7,Who is the physicist that the Mach number is named after?,275
2,6,control_other_example_7,Who was Ernst Mach's employer or academic institution during his career?,275
2,7,control_other_example_9,Which English king trusted William de Longchamp?,275
3,0,control_other_example_4,"Who were the siblings of Alice de Lusignan, Countess of Surrey?",248
3,1,control_other_example_4,When was King Henry III of England crowned?,248
3,2,control_other_example_6,Which university employed Ernst Mach?,248
3,3,control_other_example_7,Who is the physicist that the Mach number is named after?,248
3,4,control_other_example_7,Who was Ernst Mach's employer or academic institution during his career?,248
3,5,control_other_example_9,Which English king trusted William de Longchamp?,248
3,6,control_other_example_9,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,248
3,7,control_other_example_10,Who is the author of The Unwinding?,248
4,0,control_other_example_6,Which university employed Ernst Mach?,521
4,1,control_other_example_7,Who is the physicist that the Mach number is named after?,521
4,2,control_other_example_7,Who was Ernst Mach's employer or academic institution during his career?,521
4,3,control_other_example_9,Which English king trusted William de Longchamp?,521
4,4,control_other_example_9,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,521
4,5,control_other_example_10,Who is the author of The Unwinding?,521
4,6,control_other_example_10,Which organization did George Packer volunteer for?,521
4,7,control_other_example_11,Which band performed the song 'Bang Bang Rock & Roll'?,521
6,0,control_other_example_7,Who is the physicist that the Mach number is named after?,280
6,1,control_other_example_7,Who was Ernst Mach's employer or academic institution during his career?,280
6,2,control_other_example_9,Which English king trusted William de Longchamp?,280
6,3,control_other_example_9,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,280
6,4,control_other_example_10,Who is the author of The Unwinding?,280
6,5,control_other_example_10,Which organization did George Packer volunteer for?,280
6,6,control_other_example_11,Which band performed the song 'Bang Bang Rock & Roll'?,280
6,7,control_other_example_11,Who is the lead singer of the band Art Brut?,280
7,0,control_other_example_9,Which English king trusted William de Longchamp?,428
7,1,control_other_example_9,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,428
7,2,control_other_example_10,Who is the author of The Unwinding?,428
7,3,control_other_example_10,Which organization did George Packer volunteer for?,428
7,4,control_other_example_11,Which band performed the song 'Bang Bang Rock & Roll'?,428
7,5,control_other_example_11,Who is the lead singer of the band Art Brut?,428
7,6,control_other_example_12,Which company initiated a successful price war among PC manufacturers in 1994?,428
7,7,control_other_example_12,Which company did Compaq merge with in 2002?,428
9,0,control_other_example_10,Who is the author of The Unwinding?,621
9,1,control_other_example_10,Which organization did George Packer volunteer for?,621
9,2,control_other_example_11,Which band performed the song 'Bang Bang Rock & Roll'?,621
9,3,control_other_example_11,Who is the lead singer of the band Art Brut?,621
9,4,control_other_example_12,Which company initiated a successful price war among PC manufacturers in 1994?,621
9,5,control_other_example_12,Which company did Compaq merge with in 2002?,621
9,6,control_other_example_13,Who is Katherine of England?,621
9,7,control_other_example_13,What year was King Henry III of England crowned?,621
10,0,control_other_example_11,Which band performed the song 'Bang Bang Rock & Roll'?,469
10,1,control_other_example_11,Who is the lead singer of the band Art Brut?,469
10,2,control_other_example_12,Which company initiated a successful price war among PC manufacturers in 1994?,469
10,3,control_other_example_12,Which company did Compaq merge with in 2002?,469
10,4,control_other_example_13,Who is Katherine of England?,469
10,5,control_other_example_13,What year was King Henry III of England crowned?,469
10,6,control_other_example_14,Who played the little girl in the 1947 film Miracle on 34th Street?,469
10,7,control_other_example_14,Who is the sibling of actress Natalie Wood?,469
11,0,control_other_example_12,Which company initiated a successful price war among PC manufacturers in 1994?,466
11,1,control_other_example_12,Which company did Compaq merge with in 2002?,466
11,2,control_other_example_13,Who is Katherine of England?,466
11,3,control_other_example_13,What year was King Henry III of England crowned?,466
11,4,control_other_example_14,Who played the little girl in the 1947 film Miracle on 34th Street?,466
11,5,control_other_example_14,Who is the sibling of actress Natalie Wood?,466
11,6,control_other_example_15,In which county is Pine Springs located?,466
11,7,control_other_example_15,"What is the county seat of Culberson County, Texas?",466
12,0,control_other_example_13,Who is Katherine of England?,492
12,1,control_other_example_13,What year was King Henry III of England crowned?,492
12,2,control_other_example_14,Who played the little girl in the 1947 film Miracle on 34th Street?,492
12,3,control_other_example_14,Who is the sibling of actress Natalie Wood?,492
12,4,control_other_example_15,In which county is Pine Springs located?,492
12,5,control_other_example_15,"What is the county seat of Culberson County, Texas?",492
12,6,control_other_example_16,Who was the top PC manufacturer in 1994?,492
12,7,control_other_example_16,What company did Compaq merge with in 2002?,492
13,0,control_other_example_14,Who played the little girl in the 1947 film Miracle on 34th Street?,487
13,1,control_other_example_14,Who is the sibling of actress Natalie Wood?,487
13,2,control_other_example_15,In which county is Pine Springs located?,487
13,3,control_other_example_15,"What is the county seat of Culberson County, Texas?",487
13,4,control_other_example_16,Who was the top PC manufacturer in 1994?,487
13,5,control_other_example_16,What company did Compaq merge with in 2002?,487
13,6,control_other_example_17,Who was the King of England in 1950?,487
13,7,control_other_example_17,Which actor played King George VI in the film 'The King's Speech'?,487
14,0,control_other_example_15,In which county is Pine Springs located?,424
14,1,control_other_example_15,"What is the county seat of Culberson County, Texas?",424
14,2,control_other_example_16,Who was the top PC manufacturer in 1994?,424
14,3,control_other_example_16,What company did Compaq merge with in 2002?,424
14,4,control_other_example_17,Who was the King of England in 1950?,424
14,5,control_other_example_17,Which actor played King George VI in the film 'The King's Speech'?,424
14,6,control_other_example_18,Who played Susie in Miracle on 34th Street?,424
14,7,control_other_example_18,Who is Natalie Wood's brother?,424
15,0,control_other_example_16,Who was the top PC manufacturer in 1994?,310
15,1,control_other_example_16,What company did Compaq merge with in 2002?,310
15,2,control_other_example_17,Who was the King of England in 1950?,310
15,3,control_other_example_17,Which actor played King George VI in the film 'The King's Speech'?,310
15,4,control_other_example_18,Who played Susie in Miracle on 34th Street?,310
15,5,control_other_example_18,Who is Natalie Wood's brother?,310
15,6,control_other_example_19,Who is Anna Benson's husband?,310
15,7,control_other_example_19,What team did Kris Benson play for in Major League Baseball?,310
16,0,control_other_example_17,Who was the King of England in 1950?,432
16,1,control_other_example_17,Which actor played King George VI in the film 'The King's Speech'?,432
16,2,control_other_example_18,Who played Susie in Miracle on 34th Street?,432
16,3,control_other_example_18,Who is Natalie Wood's brother?,432
16,4,control_other_example_19,Who is Anna Benson's husband?,432
16,5,control_other_example_19,What team did Kris Benson play for in Major League Baseball?,432
16,6,control_other_example_20,Who originally sang the song You Belong To Me?,432
16,7,control_other_example_20,What record label was Joni James signed to when she released 'You Belong To Me' in 1952?,432
17,0,control_other_example_18,Who played Susie in Miracle on 34th Street?,419
17,1,control_other_example_18,Who is Natalie Wood's brother?,419
17,2,control_other_example_19,Who is Anna Benson's husband?,419
17,3,control_other_example_19,What team did Kris Benson play for in Major League Baseball?,419
17,4,control_other_example_20,Who originally sang the song You Belong To Me?,419
17,5,control_other_example_20,What record label was Joni James signed to when she released 'You Belong To Me' in 1952?,419
17,6,control_other_example_21,Who was the person under whom the Chapter House was built?,419
17,7,control_other_example_21,When was Henry III crowned?,419
18,0,control_other_example_19,Who is Anna Benson's husband?,309
18,1,control_other_example_19,What team did Kris Benson play for in Major League Baseball?,309
18,2,control_other_example_20,Who originally sang the song You Belong To Me?,309
18,3,control_other_example_20,What record label was Joni James signed to when she released 'You Belong To Me' in 1952?,309
18,4,control_other_example_21,Who was the person under whom the Chapter House was built?,309
18,5,control_other_example_21,When was Henry III crowned?,309
18,6,control_other_example_24,Who sang the song 'You Belong to Me'?,309
18,7,control_other_example_24,What record label is Joni James signed to?,309
19,0,control_other_example_20,Who originally sang the song You Belong To Me?,430
19,1,control_other_example_20,What record label was Joni James signed to when she released 'You Belong To Me' in 1952?,430
19,2,control_other_example_21,Who was the person under whom the Chapter House was built?,430
19,3,control_other_example_21,When was Henry III crowned?,430
19,4,control_other_example_24,Who sang the song 'You Belong to Me'?,430
19,5,control_other_example_24,What record label is Joni James signed to?,430
19,6,control_other_example_25,What is the administrative territorial entity that contains Juba?,430
19,7,control_other_example_25,What places share a border with Central Equatoria?,430
20,0,control_other_example_21,Who was the person under whom the Chapter House was built?,533
20,1,control_other_example_21,When was Henry III crowned?,533
20,2,control_other_example_24,Who sang the song 'You Belong to Me'?,533
20,3,control_other_example_24,What record label is Joni James signed to?,533
20,4,control_other_example_25,What is the administrative territorial entity that contains Juba?,533
20,5,control_other_example_25,What places share a border with Central Equatoria?,533
20,6,control_other_example_26,Who played King George VI in The King's Speech?,533
20,7,control_other_example_27,Who are the cast members of King of the Mountain?,533
21,0,control_other_example_24,Who sang the song 'You Belong to Me'?,492
21,1,control_other_example_24,What record label is Joni James signed to?,492
21,2,control_other_example_25,What is the administrative territorial entity that contains Juba?,492
21,3,control_other_example_25,What places share a border with Central Equatoria?,492
21,4,control_other_example_26,Who played King George VI in The King's Speech?,492
21,5,control_other_example_27,Who are the cast members of King of the Mountain?,492
21,6,control_other_example_27,Who is Harry Hamlin's spouse?,492
21,7,control_other_example_32,What was the regnal name adopted by King George VI?,492
24,0,control_other_example_25,What is the administrative territorial entity that contains Juba?,511
24,1,control_other_example_25,What places share a border with Central Equatoria?,511
24,2,control_other_example_26,Who played King George VI in The King's Speech?,511
24,3,control_other_example_27,Who are the cast members of King of the Mountain?,511
24,4,control_other_example_27,Who is Harry Hamlin's spouse?,511
24,5,control_other_example_32,What was the regnal name adopted by King George VI?,511
24,6,control_other_example_32,Who played King George VI in the film 'The King's Speech'?,511
24,7,control_other_example_33,Where is KPRM licensed to broadcast?,511
25,0,control_other_example_26,Who played King George VI in The King's Speech?,328
25,1,control_other_example_27,Who are the cast members of King of the Mountain?,328
25,2,control_other_example_27,Who is Harry Hamlin's spouse?,328
25,3,control_other_example_32,What was the regnal name adopted by King George VI?,328
25,4,control_other_example_32,Who played King George VI in the film 'The King's Speech'?,328
25,5,control_other_example_33,Where is KPRM licensed to broadcast?,328
25,6,control_other_example_35,Who is the author of Prince Prigio?,328
25,7,control_other_example_35,What year did Andrew Lang die?,328
26,0,control_other_example_27,Who are the cast members of King of the Mountain?,284
26,1,control_other_example_27,Who is Harry Hamlin's spouse?,284
26,2,control_other_example_32,What was the regnal name adopted by King George VI?,284
26,3,control_other_example_32,Who played King George VI in the film 'The King's Speech'?,284
26,4,control_other_example_33,Where is KPRM licensed to broadcast?,284
26,5,control_other_example_35,Who is the author of Prince Prigio?,284
26,6,control_other_example_35,What year did Andrew Lang die?,284
26,7,control_other_example_36,Where was Mark Dismore born?,284
27,0,control_other_example_32,What was the regnal name adopted by King George VI?,502
27,1,control_other_example_32,Who played King George VI in the film 'The King's Speech'?,502
27,2,control_other_example_33,Where is KPRM licensed to broadcast?,502
27,3,control_other_example_35,Who is the author of Prince Prigio?,502
27,4,control_other_example_35,What year did Andrew Lang die?,502
27,5,control_other_example_36,Where was Mark Dismore born?,502
27,6,control_other_example_36,"Which county is Greenfield, Indiana located in?",502
27,7,control_other_example_37,Who were the parents of Nannina de' Medici?,502
32,0,control_other_example_33,Where is KPRM licensed to broadcast?,424
32,1,control_other_example_35,Who is the author of Prince Prigio?,424
32,2,control_other_example_35,What year did Andrew Lang die?,424
32,3,control_other_example_36,Where was Mark Dismore born?,424
32,4,control_other_example_36,"Which county is Greenfield, Indiana located in?",424
32,5,control_other_example_37,Who were the parents of Nannina de' Medici?,424
32,6,control_other_example_37,"Based on Nannina de' Medici's parents Piero di Cosimo de' Medici and Lucrezia Tornabuoni, who were her siblings?",424
32,7,control_other_example_38,Where is NRHEG High School located?,424
33,0,control_other_example_35,Who is the author of Prince Prigio?,142
33,1,control_other_example_35,What year did Andrew Lang die?,142
33,2,control_other_example_36,Where was Mark Dismore born?,142
33,3,control_other_example_36,"Which county is Greenfield, Indiana located in?",142
33,4,control_other_example_37,Who were the parents of Nannina de' Medici?,142
33,5,control_other_example_37,"Based on Nannina de' Medici's parents Piero di Cosimo de' Medici and Lucrezia Tornabuoni, who were her siblings?",142
33,6,control_other_example_38,Where is NRHEG High School located?,142
33,7,control_other_example_38,"Which county is New Richland, Minnesota located in?",142
35,0,control_other_example_36,Where was Mark Dismore born?,406
35,1,control_other_example_36,"Which county is Greenfield, Indiana located in?",406
35,2,control_other_example_37,Who were the parents of Nannina de' Medici?,406
35,3,control_other_example_37,"Based on Nannina de' Medici's parents Piero di Cosimo de' Medici and Lucrezia Tornabuoni, who were her siblings?",406
35,4,control_other_example_38,Where is NRHEG High School located?,406
35,5,control_other_example_38,"Which county is New Richland, Minnesota located in?",406
35,6,control_other_example_39,What is the name of the political party of Dimuthu Bandara Abayakoon?,406
