dataset,method,rate,segment,source_csv,source_row,Question,Real Answer,Pred Answer,Predicted_Clean,Rejudge_Correct,Rejudge_Reason,Rejudge_Raw
2wikimqa-v2,all_layers,0.15,seg_0_2,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/by_date/2026-07-15/qwen3_2wiki_v2_layer_selective_recompute/results/all_layers/online_qk/2wikimqa-v2/rate_0p15/seg_0_2/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,0,Where was the wife of Francis I Rákóczi born?,Ozalj,"1495–1531) was an English courtier. She was the wife of Henry Norris. Norris was executed for treason as one of the alleged lovers of her cousin, Anne Boleyn, the","1495–1531) was an English courtier. She was the wife of Henry Norris. Norris was executed for treason as one of the alleged lovers of her cousin, Anne Boleyn, the",False,预测答案完全没有回答问题。它谈论的是一位名叫Mary Norris的英国宫廷女官及其丈夫Henry Norris，与Francis I Rákóczi的妻子及其出生地（Ozalj）毫无关联，不包含任何标准答案的关键信息。,"判断: 错误
原因: 预测答案完全没有回答问题。它谈论的是一位名叫Mary Norris的英国宫廷女官及其丈夫Henry Norris，与Francis I Rákóczi的妻子及其出生地（Ozalj）毫无关联，不包含任何标准答案的关键信息。"
2wikimqa-v2,all_layers,0.15,seg_0_2,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/by_date/2026-07-15/qwen3_2wiki_v2_layer_selective_recompute/results/all_layers/online_qk/2wikimqa-v2/rate_0p15/seg_0_2/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,1,Who is Sobe (Sister Of Saint Anne)'s grandchild?,John the Baptist,Elizabeth,Elizabeth,False,预测答案给出的名字是“Elizabeth”，而标准答案是“John the Baptist”。两者在语义上并不等价，且预测答案没有包含标准答案的任何关键信息，因此判断为错误。,"判断: 错误
原因: 预测答案给出的名字是“Elizabeth”，而标准答案是“John the Baptist”。两者在语义上并不等价，且预测答案没有包含标准答案的任何关键信息，因此判断为错误。"
2wikimqa-v2,all_layers,0.15,seg_0_200,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/by_date/2026-07-15/qwen3_2wiki_v2_layer_selective_recompute/results/all_layers/online_qk/2wikimqa-v2/rate_0p15/seg_0_200/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,2,Where does the director of film Man At Bath work at?,Cahiers du cinéma,Christophe Honoré is a French writer and film and theatre director.,Christophe Honoré is a French writer and film and theatre director.,False,预测答案仅仅介绍了导演Christophe Honoré的身份背景，并没有回答问题所问的他在哪里工作。预测答案中完全没有包含标准答案中的关键信息“Cahiers du cinéma”，因此未能正确回答问题。,"判断: 错误
原因: 预测答案仅仅介绍了导演Christophe Honoré的身份背景，并没有回答问题所问的他在哪里工作。预测答案中完全没有包含标准答案中的关键信息“Cahiers du cinéma”，因此未能正确回答问题。"
2wikimqa-v2,all_layers,0.15,seg_0_200,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/by_date/2026-07-15/qwen3_2wiki_v2_layer_selective_recompute/results/all_layers/online_qk/2wikimqa-v2/rate_0p15/seg_0_200/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,3,Do both Beauty And The Bad Man and Wild Child (Film) films have the directors from the same country?,no,yes,yes,False,预测答案为“yes”，而标准答案为“no”，两者在语义上完全相反。预测答案没有包含标准答案的关键信息，给出了与事实相反的结论，因此判断为错误。,"判断: 错误
原因: 预测答案为“yes”，而标准答案为“no”，两者在语义上完全相反。预测答案没有包含标准答案的关键信息，给出了与事实相反的结论，因此判断为错误。"
2wikimqa-v2,all_layers,0.15,seg_0_200,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/by_date/2026-07-15/qwen3_2wiki_v2_layer_selective_recompute/results/all_layers/online_qk/2wikimqa-v2/rate_0p15/seg_0_200/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,4,"What is the date of birth of William Paulet, 3Rd Marquess Of Winchester's father?",1510,c. 1532,c. 1532,False,预测答案给出的出生年份是1532年，而标准答案明确指出其父亲的出生年份应为1510年。两者在核心事实信息上完全不一致，因此预测答案未能正确回答问题。,"判断: 错误
原因: 预测答案给出的出生年份是1532年，而标准答案明确指出其父亲的出生年份应为1510年。两者在核心事实信息上完全不一致，因此预测答案未能正确回答问题。"
2wikimqa-v2,all_layers,0.15,seg_0_200,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/by_date/2026-07-15/qwen3_2wiki_v2_layer_selective_recompute/results/all_layers/online_qk/2wikimqa-v2/rate_0p15/seg_0_200/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,5,"Who is Edward Watson, Viscount Sondes's paternal grandfather?",Edward Watson,"Lewis Watson, 1st Earl of Rockingham","Lewis Watson, 1st Earl of Rockingham",False,"预测答案给出的名字是“Lewis Watson, 1st Earl of Rockingham”，而标准答案为“Edward Watson”。两者在人物名字上完全不同，预测答案没有包含标准答案的关键信息，且语义上不等价，因此判断为错误。","判断: 错误
原因: 预测答案给出的名字是“Lewis Watson, 1st Earl of Rockingham”，而标准答案为“Edward Watson”。两者在人物名字上完全不同，预测答案没有包含标准答案的关键信息，且语义上不等价，因此判断为错误。"
2wikimqa-v2,all_layers,0.15,seg_0_200,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/by_date/2026-07-15/qwen3_2wiki_v2_layer_selective_recompute/results/all_layers/online_qk/2wikimqa-v2/rate_0p15/seg_0_200/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,6,"What is the date of death of Humphrey De Bohun, 7Th Earl Of Hereford's father?",16 September 1360,1275,1275,False,预测答案给出的日期是1275年，而标准答案明确指出死亡日期是1360年9月16日。两者在年份和具体信息上完全不一致，因此预测答案未能正确回答问题。,"判断: 错误
原因: 预测答案给出的日期是1275年，而标准答案明确指出死亡日期是1360年9月16日。两者在年份和具体信息上完全不一致，因此预测答案未能正确回答问题。"
2wikimqa-v2,all_layers,0.15,seg_0_200,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/by_date/2026-07-15/qwen3_2wiki_v2_layer_selective_recompute/results/all_layers/online_qk/2wikimqa-v2/rate_0p15/seg_0_200/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,7,Who is Helmichis's father-in-law?,Cunimund,Rosamund,Rosamund,False,预测答案“Rosamund”与标准答案“Cunimund”不一致。根据历史记载，Rosamund是Helmichis的妻子，而Cunimund才是他的岳父，两者并非同一人物，语义上也不等价。,"判断: 错误
原因: 预测答案“Rosamund”与标准答案“Cunimund”不一致。根据历史记载，Rosamund是Helmichis的妻子，而Cunimund才是他的岳父，两者并非同一人物，语义上也不等价。"
2wikimqa-v2,all_layers,0.15,seg_0_200,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/by_date/2026-07-15/qwen3_2wiki_v2_layer_selective_recompute/results/all_layers/online_qk/2wikimqa-v2/rate_0p15/seg_0_200/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,8,Where did Helena Carroll's father study?,St Patrick's College,"St Patrick's College, Dublin","St Patrick's College, Dublin",True,"预测答案“St Patrick's College, Dublin”包含了标准答案“St Patrick's College”的核心信息，附加的“Dublin”只是对学校所在地的进一步补充说明。两者在语义上完全等价，符合允许措辞细微差异的判断标准，因此判断为正确。","判断: 正确
原因: 预测答案“St Patrick's College, Dublin”包含了标准答案“St Patrick's College”的核心信息，附加的“Dublin”只是对学校所在地的进一步补充说明。两者在语义上完全等价，符合允许措辞细微差异的判断标准，因此判断为正确。"
2wikimqa-v2,all_layers,0.15,seg_0_200,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/by_date/2026-07-15/qwen3_2wiki_v2_layer_selective_recompute/results/all_layers/online_qk/2wikimqa-v2/rate_0p15/seg_0_200/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,9,Where does the director of film Wine Of Morning work at?,Bob Jones University,Bob Jones University,Bob Jones University,True,预测答案“Bob Jones University”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了电影《Wine Of Morning》导演的工作地点。,"判断: 正确
原因: 预测答案“Bob Jones University”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了电影《Wine Of Morning》导演的工作地点。"
