Question,Real Answer,Pred Answer
"Which film has the director who was born earlier, Dhuen Ki Lakeer or Bomma Borusa?",Dhuen Ki Lakeer,Dhuen Ki Lakeer
"Which film has the director who was born first, Perdón, Viejita or Smokey And The Bandit?","Perdón, Viejita","Perdón, Viejita"
Where did the director of film American Gothic (2007 Film) graduate from?,University of Wisconsin,University of Wisconsin-Madison
Was Dudley Russell or Juan René Serrano born first?,Dudley Russell,Dudley Russell
"Who was born first, Vytautas Straižys or Mirjam Polkunen?",Mirjam Polkunen,Vytautas Straižys
Where did Grand Duchess Elena Vladimirovna Of Russia's father die?,Saint Petersburg,Grand Duke Vladimir Alexandrovich of Russia died suddenly on 4 (O.S.)/17 (N.S.) February 1909 after suffering a major cerebral hemorrhage.
Where was the director of film The Dinner (2013 Film) born?,Eindhoven,Dutch
"Which magazine was established first, Women'S Suffrage Journal or Mostar (Magazine)?",Women'S Suffrage Journal,Women's Suffrage Journal
What is the place of birth of Carrie Watson Fleming's husband?,"Fairmont, West Virginia","Fairmont, West Virginia"
"Which film has the director who died earlier, Mayor Muthanna or The Market Of Souls?",The Market Of Souls,The Market of Souls
"Do both films, The Glass Castle (1950 Film) and The Ferret (Film), have the directors who are from the same country?",yes,yes
Where was the father of Muhammad Al-Nasir born?,Morocco,Abu Yusuf Yaqub al-Mansur
Where was the place of death of Enheduanna's father?,Akkadian empire,Ur
"Which film whose director was born first, Solemn Promise or Tarzan The Magnificent?",Tarzan The Magnificent,Tarzan The Magnificent
"Which film has the director who was born later, The Man Is Armed or Wolf Warrior?",Wolf Warrior,Wolf Warrior
Who is the paternal grandfather of Trịnh Doanh?,Trịnh Bính,Abd al-Muttalib
Where was the director of film Hellcats Of The Navy born?,Gura Humorului,"Marshall, Indiana"
Where was the performer of song Feelin' Myself (Nipsey Hussle Song) born?,Crenshaw,"August 15, 1985"
"Which film whose director is younger, Winter Sleepers or Poveri Milionari?",Winter Sleepers,Winter Sleepers
Who is the paternal grandfather of Bruno Ii Von Berg?,Adolf II of Berg,Count Adolf III of Berg
Are The Other Half (2016 Film) and Spy Kids 2: The Island Of Lost Dreams from the same country?,no,no
Where was the director of film 00 Schneider – Jagd Auf Nihil Baxter born?,Mülheim an der Ruhr,Helge Schneider was born in Mülheim an der Ruhr.
"Which film came out first, Una Prostituta Al Servizio Del Pubblico E In Regola Con Le Leggi Dello Stato or The Bag Man?",Una Prostituta Al Servizio Del Pubblico E In Regola Con Le Leggi Dello Stato,Una Prostituta Al Servizio Del Pubblico E In Regola Con Le Leggi Dello Stato
"Are the movies The Hatton Garden Job and Carry On Cleo, from the same country?",yes,yes
Who is the paternal grandfather of Dibyasambandh?,Mongkut,Bhanurangsi Savangwongse
"Who is Charles Willoughby, 10Th Baron Willoughby Of Parham's paternal grandmother?",Lady Frances Manners,Lady Margaret Clinton
"Where does the director of film L'Arbre, Le Maire Et La Médiathèque work at?",Cahiers du cinéma,Éric Rohmer
Where was the director of film Eisenstein In Guanajuato born?,"Newport, Wales","Newport, Monmouthshire, Wales"
What is the place of birth of Sextus Barbour's father?,"Gordonsville, Virginia","Orange County, Virginia"
What is the place of birth of the performer of song Ruleta (Inna Song)?,Mangalia,West Berlin
Who is the father of the director of film A No-Hit No-Run Summer?,Félix Leclerc,Francis Leclerc
"Who is Henri Ii, Duke Of Nemours's paternal grandfather?",Jacques,"Henri II, Duke of Nemours's paternal grandfather is Philip II, Duke of Savoy."
Who is Gisela Of Hungary's father-in-law?,Géza,Stephen I of Hungary
Who is the paternal grandmother of King Kang Of Zhou?,Yi Jiang,Hubba bint Hulail
"What is the date of death of Maria Isabel De Alcântara, Countess Of Iguaçu's mother?","November 3, 1867",Answer: 3 November 1867
Who is the spouse of the director of film Rodney Steps In?,Ivy Duke,Richard Cooper
"When did Frances Vane, Marchioness Of Londonderry's father die?",1 August 1813,1813
"Which film has the director who is older than the other, Season Of Strangers or The Yellow Teddy Bears? ",Season Of Strangers,Season of Strangers
Were Jake Eisenhart and Michael T. Ullman of the same nationality?,yes,no
"Who was born first, Antoine Casavant or Abdul Ali Lalu?",Antoine Casavant,Abdul Ali Lalu
Where did Rameshwari Nehru's husband graduate from?,Oxford,Allahabad University
"Who is the paternal grandfather of Sir John Hamilton-Dalrymple, 5Th Baronet?","Sir Hew Dalrymple, 2nd Baronet","Sir Hew Dalrymple, 3rd Baronet"
"Which film has the director who was born earlier, Khud-Daar or Murderer In The Fog?",Murderer In The Fog,Khud-Daar
