Question,Real Answer,Pred Answer
Who plays the wife of the producer of Here Comes the Boom in Grown Ups?,Maria Bello,Gloria
What was the person who provided evidence to suggest the existence of the neutron a participant of?,Manhattan Project,the Manhattan Project
In which borough was Callum McManaman born?,Knowsley,Knowsley
Who is the child of the Italian navigator who sailed for England and explored the eastern coast of the continent Francisco Bojado's birthplace is located?,Sebastian Cabot,Gaeta
Who is the spouse of the actor who played hannibal smith in the a team?,Sherry Boucher,Stephanie Zimbalist
When was the last time Peter Till's sports team beat the winner of the 1894-95 FA Cup?,1 December 2010,2011-12 season
Who is the child of the cast member of Green Ice?,Tatum O'Neal,There is no information provided about the child of any cast member of Green Ice in the given passages.
How many times did plague occur in the birthplace of La Silvia's composer?,22,3
When did military instruction start at the place where Larry Alcala was educated?,1912,1912
What is the experimental satellite being forerunner to communication satellite of INSAT-4CR's manufacturer called?,ATS - 6 (Applications Technology Satellite - 6),INSAT
Who was the first African American student at the university Robert Khayat was educated at?,James Howard Meredith,Emma Azalia Hackley
Who gives out the prize named after the author of Lectures on Jurisprudence?,University of Cambridge,Royal Society of Chemistry
Who is Frances Freeling Broderip's sibling?,Tom Hood,Frances Freeling Broderip's sibling is Tom Hood.
Who is the spouse of the person who voices Jarvis in Iron Man?,Jennifer Connelly,Jennifer Connelly
What is the source of the river that is the mouth of the Caledon River?,Thaba Putsoa,"The source of the Caledon River is not directly stated in the provided passages. However, based on the information given, the Caledon River is a tributary of the River Lee, which itself is a tributary of the"
What is the name of the famous bridge located in the birthplace of the composer of Nulla in mundo pax sincera?,Rialto Bridge,Royal Albert Bridge
When did the party that gained control of Congress in the midterm elections in 1946 take control of the government branch that determines the rules of the US House?,January 2015,1946
Where did the producer of Julius Caesar study or work?,Clifton College,John Houseman studied and worked at the Federal Theatre Project and later produced Julius Caesar for the Mercury Theatre.
Mehmet Hayri Tarhan's birthplace is the capital of what municipality?,Malko Tarnovo Municipality,Tirnovadjik (Malko Tarnovo)
What is the performer of Heartbeat named after?,Natalie Albino,"Heartbeat is named after the feeling of the song and less about the story, but specifically derived from the sisters' first song titled ""Sisters"". However, if referring to the performer's name, it is ""Nina Sky""."
