idx,question,gold,kv_answer,v_only_answer,none_answer,v_only_same_as_kv,none_same_as_kv,kv_len,v_only_len,none_len
1,Who plays the wife of the producer of Here Comes the Boom in Grown Ups?,Maria Bello,Gloria,Gloria,Gloria,True,True,1,1,1
2,What was the person who provided evidence to suggest the existence of the neutron a participant of?,Manhattan Project,the Manhattan Project,the Manhattan Project,the Manhattan Project,True,True,3,3,3
3,In which borough was Callum McManaman born?,Knowsley,Knowsley,Knowsley,Knowsley,True,True,1,1,1
4,Who is the child of the Italian navigator who sailed for England and explored the eastern coast of the continent Francisco Bojado's birthplace is located?,Sebastian Cabot,Gaeta,Gaeta,Gaeta,True,True,1,1,1
5,Who is the spouse of the actor who played hannibal smith in the a team?,Sherry Boucher,Stephanie Zimbalist,Stephanie Zimbalist,Stephanie Zimbalist,True,True,2,2,2
6,When was the last time Peter Till's sports team beat the winner of the 1894-95 FA Cup?,1 December 2010,2011-12 season,2010-11 season,2010-11 season,False,False,2,2,2
7,Who is the child of the cast member of Green Ice?,Tatum O'Neal,There is no information provided about the child of any cast member of Green Ice in the given passages.,There is no information provided about the child of any cast member of Green Ice in the given passages.,There is no information provided about the child of any cast member of Green Ice in the given passages.,True,True,19,19,19
8,How many times did plague occur in the birthplace of La Silvia's composer?,22,3,3,3,True,True,1,1,1
9,When did military instruction start at the place where Larry Alcala was educated?,1912,1912,1912,1912,True,True,1,1,1
10,What is the experimental satellite being forerunner to communication satellite of INSAT-4CR's manufacturer called?,ATS - 6 (Applications Technology Satellite - 6),INSAT,INSAT,INSAT,True,True,1,1,1
11,Who was the first African American student at the university Robert Khayat was educated at?,James Howard Meredith,Emma Azalia Hackley,Emma Azalia Hackley,Emma Azalia Hackley,True,True,3,3,3
12,Who gives out the prize named after the author of Lectures on Jurisprudence?,University of Cambridge,Royal Society of Chemistry,Royal Society of Chemistry,Royal Society of Chemistry,True,True,4,4,4
13,Who is Frances Freeling Broderip's sibling?,Tom Hood,Frances Freeling Broderip's sibling is Tom Hood.,Frances Freeling Broderip's sibling is Tom Hood.,Frances Freeling Broderip's sibling is Tom Hood.,True,True,7,7,7
14,Who is the spouse of the person who voices Jarvis in Iron Man?,Jennifer Connelly,Jennifer Connelly,Jennifer Connelly,Jennifer Connelly,True,True,2,2,2
15,What is the source of the river that is the mouth of the Caledon River?,Thaba Putsoa,"The source of the Caledon River is not directly stated in the provided passages. However, based on the information given, the Caledon River is a tributary of the River Lee, which itself is a tributary of the","The source of the Caledon River is not directly stated in the provided passages. However, based on the information given, the Caledon River is a tributary of the River Lee, which itself is a tributary of the","The source of the Caledon River is not directly stated in the provided passages. However, based on the information given, the Caledon River is a tributary of the Orange River, which rises in the Drakensberg mountains in",True,False,37,37,37
16,What is the name of the famous bridge located in the birthplace of the composer of Nulla in mundo pax sincera?,Rialto Bridge,Royal Albert Bridge,Royal Albert Bridge,Royal Albert Bridge,True,True,3,3,3
17,When did the party that gained control of Congress in the midterm elections in 1946 take control of the government branch that determines the rules of the US House?,January 2015,1946,1946,1946,True,True,1,1,1
18,Where did the producer of Julius Caesar study or work?,Clifton College,John Houseman studied and worked at the Federal Theatre Project and later produced Julius Caesar for the Mercury Theatre.,John Houseman studied and worked at the Federal Theatre Project and later produced Julius Caesar for the Mercury Theatre.,John Houseman studied or worked at the Federal Theatre Project and produced plays for the Mercury Theatre.,True,False,19,19,17
19,Mehmet Hayri Tarhan's birthplace is the capital of what municipality?,Malko Tarnovo Municipality,Tirnovadjik (Malko Tarnovo),Tirnovadjik,Tirnovadjik,False,False,3,1,1
20,What is the performer of Heartbeat named after?,Natalie Albino,"Heartbeat is named after the feeling of the song and less about the story, but specifically derived from the sisters' first song titled ""Sisters"". However, if referring to the performer's name, it is ""Nina Sky"".","Heartbeat is named after the feeling of being in love, compared to the speed of a hummingbird's heartbeat.","Heartbeat is named after the feeling of the song and less about the story, but it's inspired by the rhythm inside you. However, if we have to name a specific performer, it's Nina Sky, as the passage is about Nina Sky",False,False,35,18,41
