source,kind,method,n,original_gap_mean,recovery_mean,final_error_mean,energy_mean,cosine_mean
preprocess,k,cached_v_top1,10,0.21320838603741982,0.8877724135451819,0.1843791245917656,0.12079439292918628,0.5690482223213479
preprocess,k,cached_v_top2,10,0.21320838603741982,0.8481608579332993,0.1763846715287825,0.19775105826363895,0.589560784674177
preprocess,k,cached_v_top4,10,0.21320838603741982,0.8785152567622461,0.18545947639192054,0.21141529237985165,0.5875936337775093
preprocess,k,cached_v_top8,10,0.21320838603741982,0.860671237230572,0.18296403526898855,0.2537954145638213,0.5929504208336561
preprocess,k,hybrid_top1,10,0.21320838603741982,0.7558175814802943,0.15555850757632578,0.3425863616914027,0.6889357511911529
preprocess,k,hybrid_top2,10,0.21320838603741982,0.7399223822344562,0.15247515084950775,0.3779053511912531,0.6879961865969022
preprocess,k,hybrid_top4,10,0.21320838603741982,0.7526782161273404,0.15754893371042517,0.4088336603497381,0.6903728249392349
preprocess,k,hybrid_top8,10,0.21320838603741982,0.7432782631956952,0.15675010883345536,0.43809343451141614,0.6983950863094311
preprocess,k,mean_anchor,10,0.21320838603741982,0.7754900740089055,0.16608131542688706,0.3952155608322557,0.6480596825566374
preprocess,k,no_update,10,0.21320838603741982,1.0,0.21320838603741982,0.0,0.0
preprocess,k,oracle_anchor,10,0.21320838603741982,0.6373094913603947,0.13204042888060963,0.5453866729270753,0.7835061089255614
preprocess,k,position_top1,10,0.21320838603741982,0.8087016063996721,0.16654536034789125,0.24665981627887054,0.6510869823768923
preprocess,k,position_top2,10,0.21320838603741982,0.7122844967412556,0.14689880921825757,0.42298392834749965,0.7099234349182637
preprocess,k,position_top4,10,0.21320838603741982,0.7045297427252766,0.14765398511874922,0.4864240759446675,0.7257800187351976
preprocess,k,position_top8,10,0.21320838603741982,0.7154703842678553,0.15062157827351702,0.476559715812319,0.7152633871255274
preprocess,k,random_anchor,10,0.21320838603741982,1.0033041740293651,0.2138740521628276,-0.018827052262022293,0.49002565362855827
preprocess,v,cached_v_top1,10,0.36533744266059415,1.0038711653474655,0.36221381925293156,-0.12200715678424127,0.48020253524210144
preprocess,v,cached_v_top2,10,0.36533744266059415,0.9446105020230409,0.3411826694694445,0.0059255219381811,0.506000854080079
preprocess,v,cached_v_top4,10,0.36533744266059415,0.9705347233932391,0.3528235538440644,0.03131005903529045,0.5032422913345083
