target,source,kind,test_context,method,original_gap,delta_recovery_error,final_kv_error,explained_delta_energy,cosine
1,raw,k,0,no_update,0.007636296022446907,1.0,0.007636296022446907,0.0,0.0
1,raw,k,0,mean_anchor,0.007636296022446907,31.207743038524793,0.23831156403463202,-972.9232255585927,0.03488367600891785
1,raw,k,0,random_anchor,0.007636296022446907,33.79599907389647,0.25807625330261497,-1141.169553402811,0.017786920928001212
1,raw,k,0,oracle_anchor,0.007636296022446907,0.0,0.0,1.0,1.0
1,raw,k,0,position_top1,0.007636296022446907,0.0,0.0,1.0,1.0
1,raw,k,0,position_top2,0.007636296022446907,0.0,0.0,1.0,1.0
1,raw,k,0,position_top4,0.007636296022446907,13.86933591720025,0.1059103546984963,-191.35847878414089,0.09344938179745255
1,raw,k,0,position_top8,0.007636296022446907,18.28921370645615,0.13966184988029254,-333.49533800042343,0.07355933681059962
1,raw,k,0,cached_v_top1,0.007636296022446907,0.0,0.0,1.0,1.0
1,raw,k,0,cached_v_top2,0.007636296022446907,0.0,0.0,1.0,1.0
1,raw,k,0,cached_v_top4,0.007636296022446907,17.97228979918959,0.1372417251078146,-322.0032006260542,0.06448999631822565
1,raw,k,0,cached_v_top8,0.007636296022446907,24.923270701155516,0.19032147292160143,-620.169422443077,0.04570203959053275
1,raw,k,0,hybrid_top1,0.007636296022446907,0.0,0.0,1.0,1.0
1,raw,k,0,hybrid_top2,0.007636296022446907,0.0,0.0,1.0,1.0
1,raw,k,0,hybrid_top4,0.007636296022446907,13.975396267915094,0.10672026293279939,-194.31170084525513,0.0928993497861412
1,raw,k,0,hybrid_top8,0.007636296022446907,19.806453904761664,0.1512479451717095,-391.29561628144853,0.06636967803929035
1,raw,k,1,no_update,0.25006369430721614,1.0,0.25006369430721614,0.0,0.0
1,raw,k,1,mean_anchor,0.25006369430721614,0.7283474841915261,0.1821332626362997,0.4695099422718747,0.722973418684894
1,raw,k,1,random_anchor,0.25006369430721614,1.018707474409651,0.2547417544692512,-0.03776491841808971,0.5145430577923906
1,raw,k,1,oracle_anchor,0.25006369430721614,0.5977127002306343,0.14946624595401403,0.6427395279830039,0.8124713091161678
1,raw,k,1,position_top1,0.25006369430721614,0.7028001521603968,0.17574480240890245,0.506071946123323,0.7744989625723038
1,raw,k,1,position_top2,0.25006369430721614,0.5292555857789264,0.13234760701260806,0.7198885249218054,0.8535394552114514
1,raw,k,1,position_top4,0.25006369430721614,0.5342358365700365,0.13359298692400948,0.7145920709243132,0.8455927699625206
1,raw,k,1,position_top8,0.25006369430721614,0.5373187999886133,0.1343639241458728,0.7112885071787965,0.8433831834010886
1,raw,k,1,cached_v_top1,0.25006369430721614,0.6835261179088954,0.17092506619976816,0.5327920461363949,0.7832876084593648
1,raw,k,1,cached_v_top2,0.25006369430721614,0.6942368065021256,0.1736034205579655,0.5180352564977302,0.7747647569591846
1,raw,k,1,cached_v_top4,0.25006369430721614,0.7691290224840646,0.1923312447612631,0.40844054677270725,0.7277613073144583
1,raw,k,1,cached_v_top8,0.25006369430721614,0.7897298323073775,0.1974827593714011,0.3763267919637614,0.7206832568667594
1,raw,k,1,hybrid_top1,0.25006369430721614,0.5977127002306343,0.14946624595401403,0.6427395279830039,0.8124713091161678
1,raw,k,1,hybrid_top2,0.25006369430721614,0.5093171408485959,0.12736172581458866,0.7405960500378115,0.8628723400453508
1,raw,k,1,hybrid_top4,0.25006369430721614,0.5042780625063703,0.1261016352684282,0.7457036356748212,0.8681364083192248
1,raw,k,1,hybrid_top8,0.25006369430721614,0.5568608006423091,0.13925066902349,0.6899060487080064,0.8338546179638
1,raw,k,2,no_update,0.25198972054892294,1.0,0.25198972054892294,0.0,0.0
1,raw,k,2,mean_anchor,0.25198972054892294,0.6308701507452669,0.1589727929889567,0.6020028528986443,0.7912265360288352
1,raw,k,2,random_anchor,0.25198972054892294,0.6665540421746319,0.1679647668183405,0.5557057088606591,0.7968806708260108
1,raw,k,2,oracle_anchor,0.25198972054892294,0.6406630309661834,0.16144049813919456,0.589550880753223,0.8079133119519954
1,raw,k,2,position_top1,0.25198972054892294,0.8552763693142263,0.21552085329558932,0.26850233209267516,0.6903418482030647
1,raw,k,2,position_top2,0.25198972054892294,0.6624142355172357,0.16692157809561667,0.5612073805841162,0.7899345965167729
1,raw,k,2,position_top4,0.25198972054892294,0.6266746770620631,0.15791557674795587,0.6072788491291587,0.8024715570414589
1,raw,k,2,position_top8,0.25198972054892294,0.6061486375318894,0.15274322578277122,0.6325838292182342,0.8066595309281085
1,raw,k,2,cached_v_top1,0.25198972054892294,0.8310264174444909,0.20941011470060988,0.30939509350937466,0.6989942648237562
1,raw,k,2,cached_v_top2,0.25198972054892294,0.7867194245526928,0.19824520794344255,0.38107254703147986,0.7194782893193529
1,raw,k,2,cached_v_top4,0.25198972054892294,0.7657850979689048,0.19296997283771394,0.41357318372875485,0.7453759668911489
1,raw,k,2,cached_v_top8,0.25198972054892294,0.7292874831336473,0.18377294907467517,0.46813976694459003,0.7650232722991701
1,raw,k,2,hybrid_top1,0.25198972054892294,0.6406630309661834,0.16144049813919456,0.589550880753223,0.8079133119519954
1,raw,k,2,hybrid_top2,0.25198972054892294,0.653696786239922,0.16472487048832699,0.5726805116595977,0.7946553198892542
1,raw,k,2,hybrid_top4,0.25198972054892294,0.6833474562133507,0.17219653452901962,0.5330362540867428,0.7755453011348973
1,raw,k,2,hybrid_top8,0.25198972054892294,0.6372912524218781,0.1605908446060622,0.593859859586554,0.7934627828201005
1,raw,k,3,no_update,0.2778519234681479,1.0,0.2778519234681479,0.0,0.0
1,raw,k,3,mean_anchor,0.2778519234681479,0.5426042971425569,0.1507636476431419,0.7055805767224318,0.8401804074032945
1,raw,k,3,random_anchor,0.2778519234681479,0.8189738726967194,0.22755346579894156,0.3292817958401377,0.642867286878737
1,raw,k,3,oracle_anchor,0.2778519234681479,0.5053433697475253,0.14041062729622536,0.7446280786522159,0.8746903450642611
1,raw,k,3,position_top1,0.2778519234681479,0.5053433697475253,0.14041062729622536,0.7446280786522159,0.8746903450642611
1,raw,k,3,position_top2,0.2778519234681479,0.5375026468578843,0.14934614429868381,0.7110909046207685,0.8470420303655618
1,raw,k,3,position_top4,0.2778519234681479,0.5181324897914699,0.1439641088999004,0.7315387230224923,0.8564434264612913
1,raw,k,3,position_top8,0.2778519234681479,0.5013079227456125,0.13928937058469013,0.7486903665924789,0.8658484882417624
1,raw,k,3,cached_v_top1,0.2778519234681479,0.6702298869132818,0.18622466324469458,0.5507918986882095,0.7864029841597362
1,raw,k,3,cached_v_top2,0.2778519234681479,0.634877497507266,0.17640193384903813,0.5969305631589115,0.8085588190625075
1,raw,k,3,cached_v_top4,0.2778519234681479,0.637523044885375,0.17713700427667184,0.5935643672400801,0.809953870413222
1,raw,k,3,cached_v_top8,0.2778519234681479,0.597595088730188,0.16604294485880122,0.6428801099255588,0.8223875508347454
1,raw,k,3,hybrid_top1,0.2778519234681479,0.7503287218431348,0.20848027859751195,0.43700680917724755,0.7235799156166015
