epoch,val_kl,recall@5%,jaccard@5%,recall@10%,jaccard@10%,recall@15%,jaccard@15%,recall@30%,jaccard@30%,train_loss
1,0.0035893796486970112,0.5721921992481205,0.4124207516454848,0.5834703947368421,0.4216176379807046,0.6005834899749373,0.43749662715361065,0.6401647071872228,0.47665861254481895,0.00447860685846327
2,0.003280767591252011,0.5896045918367349,0.4299402682713062,0.604730296723953,0.4429052716987523,0.6240881220909417,0.4616685907156341,0.6618830412599824,0.5004445151009206,0.0034485546985932817
3,0.0030506123570079096,0.6069246777658434,0.44658727359886186,0.6221510808270674,0.4602059765738931,0.6415145005370567,0.4797169011447119,0.6771600488021297,0.5172512203457049,0.0031826546091105914
4,0.002906364317489218,0.6200322234156819,0.46025639444073585,0.6337607411385607,0.4726085321390822,0.6527339554242749,0.49170719089586284,0.6880434782608696,0.5293097363263334,0.0029851177637250817
5,0.0027628142638512106,0.6310922395273899,0.47203975941095017,0.6469480061761546,0.48686378931061114,0.6651142364840672,0.5054549357608947,0.7026355922803903,0.5463314595587963,0.0028244086983065554
6,0.002544756026045248,0.6424711331901185,0.48396613069057887,0.6589730464554242,0.49966772007730165,0.6773127013963478,0.5189970656308702,0.7151910492457854,0.5613350665677561,0.0026564443097406945
7,0.002409428538640543,0.6537912862513428,0.4963804617913936,0.6693491541353382,0.5107968634027068,0.6882720193340492,0.531076876745189,0.7268217613132208,0.5751314010420422,0.002486830733825158
8,0.0021364454308296647,0.6795112781954888,0.5245944621624058,0.6963950053705692,0.5413488026993802,0.7147920023272464,0.5620190699980622,0.7504991126885537,0.60462566084138,0.0022784307093370016
9,0.0019297801582998006,0.6888510338345866,0.5349714621754785,0.7102619830827067,0.5573963911238696,0.7280030433225922,0.5775533784030946,0.7637158939662817,0.6212155073370376,0.002004061910412451
10,0.0018357680754127856,0.6971082841031151,0.5447036763756722,0.7186996509129964,0.5676371354453664,0.7362071473326172,0.5878398761611688,0.7713467724046141,0.6312762535716244,0.0018861469286737035
11,0.0017781267310872826,0.7044005102040817,0.5533202617419476,0.724984895273899,0.5751948506700275,0.7423049812030076,0.5953292113082135,0.776487633096717,0.637973993952347,0.001797006188695459
12,0.0017071614001535488,0.7091165413533835,0.5589383337509439,0.7298687567132114,0.5811798927279852,0.7473846446473328,0.6018131575884664,0.78135814108252,0.64448626477228,0.0017268236649309418
13,0.0016714450439951401,0.7131780343716432,0.5636160413364333,0.7345344387755102,0.5867904627952054,0.7517706095596135,0.6072188286530649,0.784868566992014,0.649122363584516,0.0016705656975618314
14,0.0016333241067940788,0.7170381310418903,0.568285125168599,0.7378364997314718,0.5909416748334612,0.7549957482993197,0.6114114777808219,0.7885051574977819,0.6540564871850296,0.0016195694369024682
15,0.0016008254238024202,0.71921992481203,0.5709463478814512,0.7393805383995704,0.5928715936791753,0.7559719611528821,0.6126277391204379,0.7889363354037269,0.6545909332584063,0.0015707418143590998
16,0.0015835271416498081,0.7208478786251342,0.5729417737955014,0.742388896348013,0.596616123694313,0.7586992033655567,0.6161327172708054,0.7910561779059448,0.6574624649048089,0.001528921516248985
17,0.0015341402720469906,0.7255135606874332,0.5784297023214389,0.7461231203007518,0.6012301070275348,0.7625620972073041,0.6211075618039966,0.7950241237799468,0.6629032953443157,0.001489217328041136
18,0.0015247839607526452,0.7275023496240599,0.5808900696035008,0.7477049207841031,0.6031595180003074,0.7645229144289297,0.623554541574469,0.797155057675244,0.665747371453878,0.001456145199059586
19,0.001500390944004591,0.7295079215896886,0.58348997496295,0.7491944146079486,0.6051207231790272,0.7660781417830289,0.6256548146582775,0.7985359361135755,0.6676562941284951,0.0014232538821377784
20,0.0014628542988675134,0.7323694280343716,0.5868774944560473,0.7524922798066593,0.609226082859515,0.7690319548872182,0.6294235855597847,0.8008110581188997,0.6707428122497797,0.0013923207700668148
