example_id,sub_q_idx,A_count,B_count,inter,jaccard,A_cover_B,B_cover_A,B_missing_frac
0,0,148,227,95,0.3392857142857143,0.4185022026431718,0.6418918918918919,0.5814977973568282
1,0,136,223,102,0.3968871595330739,0.45739910313901344,0.75,0.5426008968609866
2,0,160,241,123,0.44244604316546765,0.5103734439834025,0.76875,0.4896265560165975
3,0,80,203,73,0.3476190476190476,0.35960591133004927,0.9125,0.6403940886699507
3,1,149,233,87,0.29491525423728815,0.37339055793991416,0.5838926174496645,0.6266094420600858
4,0,117,212,104,0.4622222222222222,0.49056603773584906,0.8888888888888888,0.5094339622641509
4,1,213,339,115,0.2631578947368421,0.3392330383480826,0.539906103286385,0.6607669616519174
6,0,155,248,111,0.3801369863013699,0.4475806451612903,0.7161290322580646,0.5524193548387096
7,0,115,269,108,0.391304347826087,0.40148698884758366,0.9391304347826087,0.5985130111524164
7,1,202,251,131,0.40683229813664595,0.5219123505976095,0.6485148514851485,0.47808764940239046
9,0,130,328,126,0.3795180722891566,0.38414634146341464,0.9692307692307692,0.6158536585365854
9,1,323,445,166,0.2757475083056478,0.37303370786516854,0.5139318885448917,0.6269662921348315
10,0,95,254,94,0.3686274509803922,0.3700787401574803,0.9894736842105263,0.6299212598425197
10,1,227,288,123,0.3137755102040816,0.4270833333333333,0.5418502202643172,0.5729166666666666
11,0,92,215,91,0.4212962962962963,0.4232558139534884,0.9891304347826086,0.5767441860465117
11,1,195,210,117,0.40625,0.5571428571428572,0.6,0.44285714285714284
12,0,93,337,93,0.27596439169139464,0.27596439169139464,1.0,0.7240356083086054
12,1,264,349,93,0.17884615384615385,0.2664756446991404,0.3522727272727273,0.7335243553008596
13,0,87,196,85,0.4292929292929293,0.4336734693877551,0.9770114942528736,0.5663265306122449
13,1,225,341,110,0.2412280701754386,0.3225806451612903,0.4888888888888889,0.6774193548387096
14,0,83,198,65,0.30092592592592593,0.3282828282828283,0.7831325301204819,0.6717171717171717
14,1,184,280,115,0.32951289398280803,0.4107142857142857,0.625,0.5892857142857143
15,0,52,128,46,0.34328358208955223,0.359375,0.8846153846153846,0.640625
15,1,129,200,45,0.15845070422535212,0.225,0.3488372093023256,0.775
16,0,108,259,87,0.3107142857142857,0.3359073359073359,0.8055555555555556,0.6640926640926641
16,1,218,362,79,0.15768463073852296,0.21823204419889503,0.3623853211009174,0.7817679558011049
17,0,104,244,93,0.36470588235294116,0.38114754098360654,0.8942307692307693,0.6188524590163934
17,1,235,324,169,0.43333333333333335,0.5216049382716049,0.7191489361702128,0.4783950617283951
18,0,45,185,34,0.17346938775510204,0.1837837837837838,0.7555555555555555,0.8162162162162162
18,1,156,206,81,0.28825622775800713,0.3932038834951456,0.5192307692307693,0.6067961165048543
19,0,130,181,105,0.5097087378640777,0.580110497237569,0.8076923076923077,0.4198895027624309
19,1,132,268,71,0.21580547112462006,0.26492537313432835,0.5378787878787878,0.7350746268656716
