example_id,sub_q_idx,offline10_count,draft15_count,offline10_inter_draft15,offline10_cover_draft15,draft15_remaining_after_offline10,remaining_frac_of_draft15,offline10_precision_vs_draft15,jaccard_offline10_draft15
0,0,128,227,64,0.28193832599118945,163,0.7180616740088106,0.5,0.21993127147766323
1,0,125,223,86,0.38565022421524664,137,0.6143497757847534,0.688,0.3282442748091603
2,0,138,241,88,0.3651452282157676,153,0.6348547717842323,0.6376811594202898,0.3024054982817869
3,0,113,203,60,0.2955665024630542,143,0.7044334975369458,0.5309734513274337,0.234375
3,1,131,233,71,0.30472103004291845,162,0.6952789699570815,0.5419847328244275,0.24232081911262798
4,0,113,212,69,0.32547169811320753,143,0.6745283018867925,0.6106194690265486,0.26953125
4,1,199,339,111,0.3274336283185841,228,0.672566371681416,0.5577889447236181,0.25995316159250587
6,0,144,248,89,0.3588709677419355,159,0.6411290322580645,0.6180555555555556,0.29372937293729373
7,0,154,269,90,0.3345724907063197,179,0.6654275092936803,0.5844155844155844,0.2702702702702703
7,1,141,251,91,0.36254980079681276,160,0.6374501992031872,0.6453900709219859,0.3023255813953488
9,0,195,328,117,0.3567073170731707,211,0.6432926829268293,0.6,0.2881773399014778
9,1,268,445,162,0.36404494382022473,283,0.6359550561797753,0.6044776119402985,0.294010889292196
10,0,146,254,104,0.4094488188976378,150,0.5905511811023622,0.7123287671232876,0.35135135135135137
10,1,168,288,122,0.4236111111111111,166,0.5763888888888888,0.7261904761904762,0.3652694610778443
11,0,119,215,79,0.3674418604651163,136,0.6325581395348837,0.6638655462184874,0.30980392156862746
11,1,115,210,56,0.26666666666666666,154,0.7333333333333333,0.48695652173913045,0.20817843866171004
12,0,196,337,127,0.3768545994065282,210,0.6231454005934718,0.6479591836734694,0.312807881773399
12,1,204,349,100,0.28653295128939826,249,0.7134670487106017,0.49019607843137253,0.22075055187637968
13,0,109,196,68,0.3469387755102041,128,0.6530612244897959,0.6238532110091743,0.2869198312236287
13,1,200,341,111,0.3255131964809384,230,0.6744868035190615,0.555,0.25813953488372093
14,0,103,198,65,0.3282828282828283,133,0.6717171717171717,0.6310679611650486,0.2754237288135593
14,1,162,280,88,0.3142857142857143,192,0.6857142857142857,0.5432098765432098,0.24858757062146894
15,0,64,128,38,0.296875,90,0.703125,0.59375,0.24675324675324675
15,1,107,200,60,0.3,140,0.7,0.5607476635514018,0.242914979757085
16,0,147,259,88,0.33976833976833976,171,0.6602316602316602,0.5986394557823129,0.27672955974842767
16,1,213,362,99,0.27348066298342544,263,0.7265193370165746,0.4647887323943662,0.20798319327731093
17,0,138,244,76,0.3114754098360656,168,0.6885245901639344,0.5507246376811594,0.24836601307189543
17,1,187,324,118,0.36419753086419754,206,0.6358024691358025,0.6310160427807486,0.30025445292620867
18,0,99,185,70,0.3783783783783784,115,0.6216216216216216,0.7070707070707071,0.32710280373831774
18,1,114,206,72,0.34951456310679613,134,0.6504854368932039,0.631578947368421,0.2903225806451613
19,0,99,181,58,0.32044198895027626,123,0.6795580110497238,0.5858585858585859,0.26126126126126126
19,1,153,268,65,0.24253731343283583,203,0.7574626865671642,0.42483660130718953,0.18258426966292135
20,0,147,257,115,0.4474708171206226,142,0.5525291828793775,0.782312925170068,0.39792387543252594
20,1,220,384,143,0.3723958333333333,241,0.6276041666666666,0.65,0.31019522776572667
21,0,170,293,120,0.40955631399317405,173,0.590443686006826,0.7058823529411765,0.3498542274052478
21,1,204,342,107,0.3128654970760234,235,0.6871345029239766,0.5245098039215687,0.2437357630979499
24,0,152,263,112,0.42585551330798477,151,0.5741444866920152,0.7368421052631579,0.3696369636963696
24,1,194,328,141,0.4298780487804878,187,0.5701219512195121,0.7268041237113402,0.3700787401574803
25,0,76,148,50,0.33783783783783783,98,0.6621621621621622,0.6578947368421053,0.28735632183908044
25,1,107,198,56,0.2828282828282828,142,0.7171717171717171,0.5233644859813084,0.2248995983935743
26,0,148,260,98,0.3769230769230769,162,0.6230769230769231,0.6621621621621622,0.3161290322580645
27,0,131,230,81,0.3521739130434783,149,0.6478260869565218,0.6183206106870229,0.2892857142857143
27,1,139,243,78,0.32098765432098764,165,0.6790123456790124,0.5611510791366906,0.2565789473684211
32,0,141,246,84,0.34146341463414637,162,0.6585365853658537,0.5957446808510638,0.27722772277227725
32,1,167,291,104,0.35738831615120276,187,0.6426116838487973,0.6227544910179641,0.2937853107344633
33,0,73,144,48,0.3333333333333333,96,0.6666666666666666,0.6575342465753424,0.28402366863905326
35,0,113,205,72,0.35121951219512193,133,0.6487804878048781,0.6371681415929203,0.2926829268292683
35,1,117,208,59,0.28365384615384615,149,0.7163461538461539,0.5042735042735043,0.22180451127819548
36,0,142,246,106,0.43089430894308944,140,0.5691056910569106,0.7464788732394366,0.375886524822695
36,1,176,302,108,0.3576158940397351,194,0.6423841059602649,0.6136363636363636,0.2918918918918919
37,0,102,192,45,0.234375,147,0.765625,0.4411764705882353,0.18072289156626506
37,1,123,247,40,0.16194331983805668,207,0.8380566801619433,0.3252032520325203,0.12121212121212122
38,0,78,149,57,0.3825503355704698,92,0.6174496644295302,0.7307692307692307,0.3352941176470588
38,1,94,178,44,0.24719101123595505,134,0.7528089887640449,0.46808510638297873,0.19298245614035087
39,0,93,182,60,0.32967032967032966,122,0.6703296703296703,0.6451612903225806,0.27906976744186046
39,1,128,237,43,0.18143459915611815,194,0.8185654008438819,0.3359375,0.13354037267080746
40,0,105,189,66,0.3492063492063492,123,0.6507936507936508,0.6285714285714286,0.2894736842105263
40,1,148,258,81,0.313953488372093,177,0.686046511627907,0.5472972972972973,0.24923076923076923
43,0,79,150,55,0.36666666666666664,95,0.6333333333333333,0.6962025316455697,0.3160919540229885
43,1,95,178,58,0.3258426966292135,120,0.6741573033707865,0.6105263157894737,0.26976744186046514
44,0,95,175,69,0.3942857142857143,106,0.6057142857142858,0.7263157894736842,0.34328358208955223
44,1,107,196,69,0.3520408163265306,127,0.6479591836734694,0.6448598130841121,0.2948717948717949
44,2,156,267,91,0.3408239700374532,176,0.6591760299625468,0.5833333333333334,0.2740963855421687
45,0,148,257,87,0.33852140077821014,170,0.6614785992217899,0.5878378378378378,0.27358490566037735
45,1,174,307,87,0.28338762214983715,220,0.7166123778501629,0.5,0.22081218274111675
46,0,149,260,87,0.3346153846153846,173,0.6653846153846154,0.5838926174496645,0.2701863354037267
46,1,187,324,117,0.3611111111111111,207,0.6388888888888888,0.6256684491978609,0.2969543147208122
50,0,162,276,112,0.4057971014492754,164,0.5942028985507246,0.691358024691358,0.34355828220858897
50,1,187,315,110,0.3492063492063492,205,0.6507936507936508,0.5882352941176471,0.28061224489795916
50,2,187,315,110,0.3492063492063492,205,0.6507936507936508,0.5882352941176471,0.28061224489795916
50,3,275,451,158,0.35033259423503327,293,0.6496674057649667,0.5745454545454546,0.27816901408450706
51,0,102,191,75,0.39267015706806285,116,0.6073298429319371,0.7352941176470589,0.3440366972477064
