example_id,sub_q_idx,offline10_count,draft15_count,offline10_inter_draft15,offline10_cover_draft15,draft15_remaining_after_offline10,remaining_frac_of_draft15,offline10_precision_vs_draft15,jaccard_offline10_draft15,residual5_budget_est,ideal_residual5_cover_remaining,ideal_final15_cover_draft15
0,0,128,227,64,0.28193832599118945,163,0.7180616740088106,0.5,0.21993127147766323,64,0.39263803680981596,0.5638766519823789
1,0,125,223,86,0.38565022421524664,137,0.6143497757847534,0.688,0.3282442748091603,62,0.45255474452554745,0.6636771300448431
2,0,138,241,88,0.3651452282157676,153,0.6348547717842323,0.6376811594202898,0.3024054982817869,69,0.45098039215686275,0.6514522821576764
3,0,113,203,60,0.2955665024630542,143,0.7044334975369458,0.5309734513274337,0.234375,56,0.3916083916083916,0.5714285714285714
3,1,131,233,71,0.30472103004291845,162,0.6952789699570815,0.5419847328244275,0.24232081911262798,66,0.4074074074074074,0.5879828326180258
4,0,113,212,69,0.32547169811320753,143,0.6745283018867925,0.6106194690265486,0.26953125,56,0.3916083916083916,0.589622641509434
4,1,199,339,111,0.3274336283185841,228,0.672566371681416,0.5577889447236181,0.25995316159250587,100,0.43859649122807015,0.6224188790560472
6,0,144,248,89,0.3588709677419355,159,0.6411290322580645,0.6180555555555556,0.29372937293729373,72,0.4528301886792453,0.6491935483870968
7,0,154,269,90,0.3345724907063197,179,0.6654275092936803,0.5844155844155844,0.2702702702702703,77,0.4301675977653631,0.620817843866171
7,1,141,251,91,0.36254980079681276,160,0.6374501992031872,0.6453900709219859,0.3023255813953488,70,0.4375,0.6414342629482072
9,0,195,328,117,0.3567073170731707,211,0.6432926829268293,0.6,0.2881773399014778,98,0.46445497630331756,0.6554878048780488
9,1,268,445,162,0.36404494382022473,283,0.6359550561797753,0.6044776119402985,0.294010889292196,134,0.4734982332155477,0.6651685393258427
10,0,146,254,104,0.4094488188976378,150,0.5905511811023622,0.7123287671232876,0.35135135135135137,73,0.4866666666666667,0.6968503937007874
10,1,168,288,122,0.4236111111111111,166,0.5763888888888888,0.7261904761904762,0.3652694610778443,84,0.5060240963855421,0.7152777777777778
11,0,119,215,79,0.3674418604651163,136,0.6325581395348837,0.6638655462184874,0.30980392156862746,60,0.4411764705882353,0.6465116279069767
11,1,115,210,56,0.26666666666666666,154,0.7333333333333333,0.48695652173913045,0.20817843866171004,58,0.37662337662337664,0.5428571428571428
12,0,196,337,127,0.3768545994065282,210,0.6231454005934718,0.6479591836734694,0.312807881773399,98,0.4666666666666667,0.6676557863501483
12,1,204,349,100,0.28653295128939826,249,0.7134670487106017,0.49019607843137253,0.22075055187637968,102,0.40963855421686746,0.5787965616045845
13,0,109,196,68,0.3469387755102041,128,0.6530612244897959,0.6238532110091743,0.2869198312236287,54,0.421875,0.6224489795918368
13,1,200,341,111,0.3255131964809384,230,0.6744868035190615,0.555,0.25813953488372093,100,0.43478260869565216,0.6187683284457478
14,0,103,198,65,0.3282828282828283,133,0.6717171717171717,0.6310679611650486,0.2754237288135593,52,0.39097744360902253,0.5909090909090909
