example_id,sub_question_id,selector,rate,ground_truth,predicted,f1,em,selected_tokens
0,0,oracle_full_attention,0.8,National Cycle Route 57 is part of the United Kingdom's National Cycle Network (NCN).,National Cycle Network,0.23529411764705882,0.0,1050
0,0,fusionrag_qk,0.8,National Cycle Route 57 is part of the United Kingdom's National Cycle Network (NCN).,National Cycle Network,0.23529411764705882,0.0,1050
1,0,oracle_full_attention,0.8,"Corfe Mullen, Dorset, England","Corfe Mullen, Dorset, England",1.0,1.0,1036
1,0,fusionrag_qk,0.8,"Corfe Mullen, Dorset, England","Corfe Mullen, Dorset, England",1.0,1.0,1036
2,0,oracle_full_attention,0.8,"Coffee Swamp is located on the northern edge of Washington Island, in Door County, Wisconsin.","Coffee Swamp is located on the northern edge of Washington Island, in Door County Wisconsin.",1.0,1.0,1152
2,0,fusionrag_qk,0.8,"Coffee Swamp is located on the northern edge of Washington Island, in Door County, Wisconsin.","Washington Island, Door County Wisconsin",0.5,0.0,1152
3,0,oracle_full_attention,0.8,Johan Ludvig Heiberg is the child of Peter Andreas Heiberg.,Johan Ludvig Heiberg,0.5714285714285715,0.0,923
3,0,fusionrag_qk,0.8,Johan Ludvig Heiberg is the child of Peter Andreas Heiberg.,Johan Ludvig Heiberg,0.5714285714285715,0.0,923
3,1,oracle_full_attention,0.8,Johanne Luise Heiberg,Johanne Luise Heiberg,1.0,1.0,1082
3,1,fusionrag_qk,0.8,Johanne Luise Heiberg,Johanne Luise Heiberg,1.0,1.0,1082
4,0,oracle_full_attention,0.8,"Alice de Lusignan had a uterine half-brother, King Henry III of England.",King Henry III of England,0.4799999999999999,0.0,942
4,0,fusionrag_qk,0.8,"Alice de Lusignan had a uterine half-brother, King Henry III of England.","Alice de Lusignan, Countess of Surrey, had siblings including King Henry III of England, Richard, Joan, and Isabella, as she was the uterine half-sister of King Henry III and the daughter of King Henry III's father, King Henry II's brother Richard, Earl of Cornwall",0.4146341463414634,0.0,942
4,1,oracle_full_attention,0.8,Henry III was first crowned in 1216 at Gloucester Cathedral and had a second coronation on 17 May 1220 at Westminster Abbey.,1220,0.15384615384615385,0.0,1660
4,1,fusionrag_qk,0.8,Henry III was first crowned in 1216 at Gloucester Cathedral and had a second coronation on 17 May 1220 at Westminster Abbey.,1220,0.15384615384615385,0.0,1660
6,0,oracle_full_attention,0.8,Ernst Mach was employed at Charles University in Prague.,Charles University in Prague,0.625,0.0,1192
6,0,fusionrag_qk,0.8,Ernst Mach was employed at Charles University in Prague.,Charles University in Prague,0.625,0.0,1192
7,0,oracle_full_attention,0.8,The Mach number is named after the Austrian physicist and philosopher Ernst Mach.,Ernst Mach,0.2857142857142857,0.0,1269
7,0,fusionrag_qk,0.8,The Mach number is named after the Austrian physicist and philosopher Ernst Mach.,Ernst Mach,0.2857142857142857,0.0,1269
7,1,oracle_full_attention,0.8,Ernst Mach was a professor at Charles University in Prague.,Charles University in Prague,0.625,0.0,1172
7,1,fusionrag_qk,0.8,Ernst Mach was a professor at Charles University in Prague.,University of Vienna,0,0.0,1172
9,0,oracle_full_attention,0.8,King Richard I of England,Richard I,0.5,0.0,1598
9,0,fusionrag_qk,0.8,King Richard I of England,Richard I,0.5,0.0,1598
9,1,oracle_full_attention,0.8,"King Richard I led a large fleet from Messina to Acre in April 1191, which was dispersed by a storm.",Richard the Lion-hearted's fleet to reach Acre,0.25806451612903225,0.0,2177
9,1,fusionrag_qk,0.8,"King Richard I led a large fleet from Messina to Acre in April 1191, which was dispersed by a storm.","Richard the Lion-hearted left Messina with a large fleet in April 1191 with the intention of reaching Acre, but the fleet was dispersed by a storm.",0.6666666666666666,0.0,2177
10,0,oracle_full_attention,0.8,George Packer,George Packer,1.0,1.0,1204
10,0,fusionrag_qk,0.8,George Packer,George Packer,1.0,1.0,1204
10,1,oracle_full_attention,0.8,Peace Corps,Peace Corps,1.0,1.0,1390
10,1,fusionrag_qk,0.8,Peace Corps,Peace Corps,1.0,1.0,1390
11,0,oracle_full_attention,0.8,The song 'Bang Bang Rock & Roll' was performed by the British rock band Art Brut.,Bang Bang Rock & Roll was performed by the British rock band Art Brut.,0.9565217391304348,0.0,984
11,0,fusionrag_qk,0.8,The song 'Bang Bang Rock & Roll' was performed by the British rock band Art Brut.,Art Brut,0.15384615384615385,0.0,984
11,1,oracle_full_attention,0.8,Eddie Argos,Eddie Argos,1.0,1.0,964
11,1,fusionrag_qk,0.8,Eddie Argos,Eddie Argos,1.0,1.0,964
12,0,oracle_full_attention,0.8,Compaq initiated a successful price war among PC manufacturers in 1994.,Compaq,0.13333333333333333,0.0,1608
12,0,fusionrag_qk,0.8,Compaq initiated a successful price war among PC manufacturers in 1994.,Compaq,0.13333333333333333,0.0,1608
12,1,oracle_full_attention,0.8,Hewlett Packard,Hewlett Packard,1.0,1.0,1680
12,1,fusionrag_qk,0.8,Hewlett Packard,Hewlett Packard,1.0,1.0,1680
13,0,oracle_full_attention,0.8,"Katherine of England was the fifth child of King Henry III and Eleanor of Provence. She was born on 25 November 1253, was either deaf-mute or deaf and mentally challenged, was very sickly, possibly had a degenerative disease, and died at Windsor on 3 May 1257 before reaching her fourth year.","Katherine of England was the fifth child of Henry III and his wife Eleanor of Provence. She was born in 1253 and died in 1257, possibly from a degenerative disease, and did not survive her fourth year.",0.6896551724137931,0.0,913
13,0,fusionrag_qk,0.8,"Katherine of England was the fifth child of King Henry III and Eleanor of Provence. She was born on 25 November 1253, was either deaf-mute or deaf and mentally challenged, was very sickly, possibly had a degenerative disease, and died at Windsor on 3 May 1257 before reaching her fourth year.","Katherine of England was the fifth child of Henry III and his wife Eleanor of Provence, born in 1253 and who died in 1257, being a very sickly child who did not survive her fourth year.",0.6260869565217391,0.0,913
13,1,oracle_full_attention,0.8,Henry III was first crowned in 1216 and had a second coronation in 1220.,1216 and 1220,0.5806451612903226,0.0,1666
13,1,fusionrag_qk,0.8,Henry III was first crowned in 1216 and had a second coronation in 1220.,1220,0.24000000000000002,0.0,1666
14,0,oracle_full_attention,0.8,"Natalie Wood played the little girl, Susan Walker, in the 1947 film Miracle on 34th Street.",Natalie Wood,0.16666666666666669,0.0,845
14,0,fusionrag_qk,0.8,"Natalie Wood played the little girl, Susan Walker, in the 1947 film Miracle on 34th Street.",Natalie Wood,0.16666666666666669,0.0,845
14,1,oracle_full_attention,0.8,Lana Wood is the sibling of actress Natalie Wood.,Lana Wood,0.33333333333333337,0.0,1344
14,1,fusionrag_qk,0.8,Lana Wood is the sibling of actress Natalie Wood.,Lana Wood,0.33333333333333337,0.0,1344
15,0,oracle_full_attention,0.8,"Culberson County, Texas",Culerson County,0.6666666666666666,0.0,542
15,0,fusionrag_qk,0.8,"Culberson County, Texas",Culberson County,0.8571428571428571,0.0,542
15,1,oracle_full_attention,0.8,Van Horn,Van Horn,1.0,1.0,896
15,1,fusionrag_qk,0.8,Van Horn,Pine Springs,0,0.0,896
16,0,oracle_full_attention,0.8,Compaq was the top PC manufacturer in 1994.,Compaq,0.16666666666666669,0.0,1212
16,0,fusionrag_qk,0.8,Compaq was the top PC manufacturer in 1994.,Compaq,0.16666666666666669,0.0,1212
16,1,oracle_full_attention,0.8,Compaq merged with Hewlett Packard (HP) in 2002.,Hewlett Packard,0.4210526315789474,0.0,1751
16,1,fusionrag_qk,0.8,Compaq merged with Hewlett Packard (HP) in 2002.,Hewlett Packard,0.4210526315789474,0.0,1751
17,0,oracle_full_attention,0.8,George VI was the King of the United Kingdom in 1950.,George VI,0.2666666666666667,0.0,1132
17,0,fusionrag_qk,0.8,George VI was the King of the United Kingdom in 1950.,George VI,0.2666666666666667,0.0,1132
17,1,oracle_full_attention,0.8,Colin Firth,Colin Firth,1.0,1.0,1548
17,1,fusionrag_qk,0.8,Colin Firth,Colin Firth,1.0,1.0,1548
18,0,oracle_full_attention,0.8,Natalie Wood played Susan Walker in Miracle on 34th Street.,Natalie Wood,0.25,0.0,816
18,0,fusionrag_qk,0.8,Natalie Wood played Susan Walker in Miracle on 34th Street.,Natalie Wood,0.25,0.0,816
18,1,oracle_full_attention,0.8,Natalie Wood's sister is Lana Wood. The documents do not mention a brother.,There is no information provided about Natalie Wood's brother in the given documents.,0.4,0.0,964
18,1,fusionrag_qk,0.8,Natalie Wood's sister is Lana Wood. The documents do not mention a brother.,"Lana Wood, the sister of Natalie Wood.",0.4,0.0,964
19,0,oracle_full_attention,0.8,"Kris Benson, a former Major League Baseball pitcher.",Kris Benson,0.5454545454545454,0.0,827
19,0,fusionrag_qk,0.8,"Kris Benson, a former Major League Baseball pitcher.",Kris Benson,0.5454545454545454,0.0,827
19,1,oracle_full_attention,0.8,"Kris Benson played for the Pittsburgh Pirates, New York Mets, and Baltimore Orioles.","Pittsburgh Pirates, New York Mets, and the Baltimore Orioles",0.8125000000000001,0.0,1264
19,1,fusionrag_qk,0.8,"Kris Benson played for the Pittsburgh Pirates, New York Mets, and Baltimore Orioles.",Pittsburgh Pirates,0.2727272727272727,0.0,1264
20,0,oracle_full_attention,0.8,Joni James,Joni James,1.0,1.0,1215
20,0,fusionrag_qk,0.8,Joni James,Joni James,1.0,1.0,1215
20,1,oracle_full_attention,0.8,MGM Records,Sharp Records,0.6666666666666666,0.0,1812
20,1,fusionrag_qk,0.8,MGM Records,Sharp Records,0.6666666666666666,0.0,1812
21,0,oracle_full_attention,0.8,Henry III,Henry III,1.0,1.0,1399
21,0,fusionrag_qk,0.8,Henry III,Henry III,1.0,1.0,1399
21,1,oracle_full_attention,0.8,"Henry III was first crowned in 1216 at Gloucester Cathedral, and then again at Westminster Abbey in 1220.",1220,0.18181818181818182,0.0,1694
21,1,fusionrag_qk,0.8,"Henry III was first crowned in 1216 at Gloucester Cathedral, and then again at Westminster Abbey in 1220.",1220,0.18181818181818182,0.0,1694
24,0,oracle_full_attention,0.8,Joni James sang the song 'You Belong to Me'.,Joni James and Sue Thompson and Patti Page,0.22222222222222224,0.0,1244
24,0,fusionrag_qk,0.8,Joni James sang the song 'You Belong to Me'.,Answer: Joni James sang the song 'You Belong to Me' first in 1952.,0.6666666666666666,0.0,1244
24,1,oracle_full_attention,0.8,Joni James was signed to MGM Records.,MGM Records,0.4,0.0,1597
