rate,selector,n,ideal_mass_all_layer_mean,ideal_mass_last_layer_mean,jaccard_with_oracle_all_layer_mean,score_cosine_all_layer_mean,score_js_all_layer_mean,score_spearman_all_layer_mean,selector_time_s_mean,full_attention_time_s_mean
0.05,draft_selected_set,109,0.08519439587215764,0.04437238158039699,0.09312356093249073,0.24790334387109914,0.5629984693541273,-0.28926316904006905,0.13809985455997084,0.3032147538796956
0.05,fusionrag_qk,109,0.0643820383953392,0.03744267121287924,0.031440902997659094,0.315061743243025,0.2204991041553469,0.20923847153301625,0.02857357572866689,0.3032147538796956
0.05,oracle_full_attention,109,0.23766946027038294,0.4179421361159841,1.0,1.0000000010936632,0.0,1.0,0.3032147538796956,0.3032147538796956
0.05,random,109,0.04964638286090772,0.04293467553603058,0.02453964127431937,0.6509990593708983,0.07054817839139094,-0.3914497050588545,0.0,0.3032147538796956
0.15,draft_selected_set,109,0.218684679051058,0.13265724047813393,0.16264581276382448,0.36669225279891166,0.4454340297766544,-0.088427354278514,0.1382855744263448,0.30264762163572356
0.15,fusionrag_qk,109,0.18635953962802887,0.11855584294150728,0.11724160357847446,0.315061743243025,0.2204991041553469,0.20923847153301625,0.02673111177570776,0.30264762163572356
0.15,oracle_full_attention,109,0.43059239256272624,0.815015966192298,1.0,1.0000000010936632,0.0,1.0,0.30264762163572356,0.30264762163572356
0.15,random,109,0.15008609625724478,0.1457726225222743,0.08056603778603487,0.6509990593708983,0.07054817839139094,-0.3914497050588545,0.0,0.30264762163572356
0.3,draft_selected_set,109,0.3907477215889397,0.336741419150195,0.25949537295033764,0.463620317911883,0.3334749053818795,0.023723706920675963,0.13862768540568993,0.3027892468642409
0.3,fusionrag_qk,109,0.3490640255836172,0.2339078579610641,0.2348063667082952,0.315061743243025,0.2204991041553469,0.20923847153301625,0.026902211035405278,0.3027892468642409
0.3,oracle_full_attention,109,0.6001723676646521,0.9774844427721217,1.0,1.0000000010936632,0.0,1.0,0.3027892468642409,0.3027892468642409
0.3,random,109,0.2999482430996151,0.29382180607100145,0.1743783223324111,0.6509990593708983,0.07054817839139094,-0.3914497050588545,0.0,0.3027892468642409
0.5,draft_selected_set,109,0.5949738750217157,0.5003258767751378,0.39560045682140366,0.5473015010356903,0.229857483714555,0.03164835386406756,0.13851557497293987,0.30306548979389697
0.5,fusionrag_qk,109,0.5565030096320931,0.4126182331131139,0.3981236810801209,0.315061743243025,0.2204991041553469,0.20923847153301625,0.027042049372038985,0.30306548979389697
0.5,oracle_full_attention,109,0.7565955825901907,0.994575715939933,1.0,1.0000000010936632,0.0,1.0,0.30306548979389697,0.30306548979389697
0.5,random,109,0.4997462827131289,0.5028407420587102,0.33409577413762886,0.6509990593708983,0.07054817839139094,-0.3914497050588545,0.0,0.30306548979389697
0.8,draft_selected_set,109,0.8512855915848269,0.7654352778688484,0.6877451010625188,0.6195939199640117,0.12334065106530366,-0.18123947094000462,0.13880367590746748,0.30197251408249826
0.8,fusionrag_qk,109,0.8455564330477233,0.7359310410438328,0.7096945915899638,0.315061743243025,0.2204991041553469,0.20923847153301625,0.028575081519201535,0.30197251408249826
0.8,oracle_full_attention,109,0.9241355706792359,0.9989965180738256,1.0,1.0000000010936632,0.0,1.0,0.30197251408249826,0.30197251408249826
0.8,random,109,0.799073047594193,0.8012517750810045,0.6667468297002871,0.6509990593708983,0.07054817839139094,-0.3914497050588545,0.0,0.30197251408249826
