example_id,sub_q_idx,method,online_count,fixed_count,intersection,residual_count,online_covered,residual_ratio_online,num_chunks,residual_nonempty_chunks,residual_max_chunk_count,residual_max_chunk_frac,residual_chunk_entropy
0,0,draft_smart_frequency_global,196,219,119,77,0.6071428571428571,0.39285714285714285,12,5,50,0.6493506493506493,0.4030299737187502
0,0,draft_smart_mean_score_global,196,215,112,84,0.5714285714285714,0.42857142857142855,12,6,50,0.5952380952380952,0.4865565213658145
1,0,draft_smart_frequency_global,194,200,134,60,0.6907216494845361,0.30927835051546393,11,7,21,0.35,0.7077560274996281
1,0,draft_smart_mean_score_global,194,204,126,68,0.6494845360824743,0.35051546391752575,11,11,20,0.29411764705882354,0.8240905383299365
2,0,draft_smart_frequency_global,216,239,162,54,0.75,0.25,11,7,14,0.25925925925925924,0.7728060998780719
2,0,draft_smart_mean_score_global,216,233,142,74,0.6574074074074074,0.3425925925925926,11,10,20,0.2702702702702703,0.8467967660214596
3,0,draft_smart_frequency_global,173,124,104,69,0.6011560693641619,0.3988439306358382,10,7,37,0.5362318840579711,0.5781757199333798
3,0,draft_smart_mean_score_global,173,135,88,85,0.5086705202312138,0.4913294797687861,10,9,44,0.5176470588235295,0.632911514857002
3,1,draft_smart_frequency_global,202,240,135,67,0.6683168316831684,0.3316831683168317,12,6,27,0.40298507462686567,0.5350058185673546
3,1,draft_smart_mean_score_global,202,220,113,89,0.5594059405940595,0.4405940594059406,12,7,34,0.38202247191011235,0.5515893742898847
4,0,draft_smart_frequency_global,176,154,118,58,0.6704545454545454,0.32954545454545453,10,8,30,0.5172413793103449,0.6437207512645828
4,0,draft_smart_mean_score_global,176,132,98,78,0.5568181818181818,0.4431818181818182,10,10,30,0.38461538461538464,0.7586829325994081
4,1,draft_smart_frequency_global,311,322,132,179,0.42443729903536975,0.5755627009646302,13,6,85,0.4748603351955307,0.47534813234533035
4,1,draft_smart_mean_score_global,311,333,124,187,0.3987138263665595,0.6012861736334405,13,8,86,0.45989304812834225,0.5285518051386403
6,0,draft_smart_frequency_global,223,231,150,73,0.672645739910314,0.3273542600896861,11,8,48,0.6575342465753424,0.4918674417546259
6,0,draft_smart_mean_score_global,223,232,143,80,0.6412556053811659,0.35874439461883406,11,11,47,0.5875,0.6298290093891501
7,0,draft_smart_frequency_global,238,172,151,87,0.634453781512605,0.36554621848739494,10,5,36,0.41379310344827586,0.581414722759316
7,0,draft_smart_mean_score_global,238,175,137,101,0.5756302521008403,0.42436974789915966,10,8,38,0.37623762376237624,0.6959232503797005
7,1,draft_smart_frequency_global,219,296,148,71,0.6757990867579908,0.3242009132420091,12,5,45,0.6338028169014085,0.4101724298697042
