mode,row_id,main_question,sub_question,ground_truth,strict_kv_correct,mode_correct,strict_kv_predicted,mode_predicted
strict_v_only_rate0.15,2,What body of water includes the terrain feature where Coffee Swamp is located?,Where is Coffee Swamp located?,"Coffee Swamp is located on the northern edge of Washington Island, in Door County, Wisconsin.",True,True,"Coffee Swamp is located on the northern edge of Washington Island, in Door County Wisconsin.","Washington Island, in Door County Wisconsin"
strict_v_only_rate0.15,3,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the child of Peter Andreas Heiberg?,Johan Ludvig Heiberg is the child of Peter Andreas Heiberg.,True,False,Johan Ludvig Heiberg,Sigrid Sture
strict_v_only_rate0.15,5,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?","Who were the siblings of Alice de Lusignan, Countess of Surrey?","Alice de Lusignan had a uterine half-brother, King Henry III of England.",False,False,"Henry III, Richard, Joan, and Eleanor",Alice de Lusignan's siblings were Sir Piers de Geneville and Joan of Lusignan.
strict_v_only_rate0.15,11,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,"King Richard I led a large fleet from Messina to Acre in April 1191, which was dispersed by a storm.",True,True,"Richard the Lion-hearted left Messina with a large fleet in April 1191 in order to reach Acre, but a storm dispersed the fleet.",Richard's fleet in April 1191
strict_v_only_rate0.15,15,Who is the lead singer of the band performing Bang Bang Rock & Roll?,Who is the lead singer of the band Art Brut?,Eddie Argos,True,False,Eddie Argos,"Gene ""Sxip"" Shirey"
strict_v_only_rate0.15,18,What year was the father of Katherine of England crowned?,Who is Katherine of England?,"Katherine of England was the fifth child of King Henry III and Eleanor of Provence. She was born on 25 November 1253, was either deaf-mute or deaf and mentally challenged, was very sickly, possibly had a degenerative disease, and died at Windsor on 3 May 1257 before reaching her fourth year.",True,True,"Katherine of England was the fifth child of Henry III and his wife, Eleanor of Provence. She was born either a deaf-mute or just deaf and mentally challenged and was very sickly, possibly having a degenerative disease, and did not survive her fourth year, dying in 1257.","Katherine of England was the fifth child of Henry III and his wife, Eleanor of Provence, and she was born in 1253. She died in 1257 at the age of three and is noted for being either deaf-mute or having some form of mental challenge, possibly due to a degenerative disease."
strict_v_only_rate0.15,21,Who is the sibling of the actress that played the little girl in Miracle on 34th street 1947?,Who is the sibling of actress Natalie Wood?,Lana Wood is the sibling of actress Natalie Wood.,False,False,Mara Wilson,Edmund Gwenn
strict_v_only_rate0.15,22,What is the capital of the county that Pine Springs is located in?,In which county is Pine Springs located?,"Culberson County, Texas",False,False,Perry County,"Pine Springs is located in Falls County, Texas."
strict_v_only_rate0.15,23,What is the capital of the county that Pine Springs is located in?,"What is the county seat of Culberson County, Texas?",Van Horn,False,False,Pine Springs,"Document not found. However, based on the provided documents, Culberson County is not directly mentioned. Given the information provided about Pine Springs, Texas, which is in Culberson County, and considering that it is an unincorporated community, it's reasonable to infer that the county seat is not Pine Springs. Since no other document mentions the county seat of Culberson County, and given the structure of county organization in Texas, the county seat is typically a city, not an unincorporated community. Therefore, the answer is not directly provided in the documents, but based on typical county organization, the county seat would be a city within Culberson County, not Pine Springs."
strict_v_only_rate0.15,27,"In the King's Speech, who played the person who was the King of England in 1950?",Which actor played King George VI in the film 'The King's Speech'?,Colin Firth,True,True,Colin Firth,"Document: The King's Speech is a 2010 British historical drama film directed by Tom Hooper and written by David Seidler. Colin Firth plays the future King George VI who, to cope with a stammer, sees Lionel Logue, an Australian speech and language therapist played by Geoffrey Rush."
