row_id,mode,main_question,sub_question,ground_truth,kv_predicted,mode_predicted,kv_correct,mode_correct,kv_f1,mode_f1,kv_em,mode_em
6,v_only,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?","Who were the siblings of Alice de Lusignan, Countess of Surrey?","Alice de Lusignan had a uterine half-brother, King Henry III of England.","John III, King of Cyprus and Jerusalem and Count of Edessa, Isabella de Lusignan, Joan de Lusignan, and Maud de Lusignan","John of Gaunt, 1st Duke of Lancaster and Isabella of Angoulême",False,False,0.2962962962962963,0.05555555555555555,0.0,0.0
12,v_only,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,"King Richard I led a large fleet from Messina to Acre in April 1191, which was dispersed by a storm.",Richard the Lion-hearted's fleet in April 1191,Richard's fleet in April 1191,True,True,0.5142857142857143,0.5,0.0,0.0
16,v_only,Who is the lead singer of the band performing Bang Bang Rock & Roll?,Who is the lead singer of the band Art Brut?,Eddie Argos,Eddie Argos,Eddie Bradley,True,False,1.0,0.28571428571428575,1.0,0.0
19,v_only,What year was the father of Katherine of England crowned?,Who is Katherine of England?,"Katherine of England was the fifth child of King Henry III and Eleanor of Provence. She was born on 25 November 1253, was either deaf-mute or deaf and mentally challenged, was very sickly, possibly had a degenerative disease, and died at Windsor on 3 May 1257 before reaching her fourth year.","Katherine of England was the fifth child of Henry III and his wife, Eleanor of Provence, and she was born either a deaf-mute or just deaf and mentally challenged. She did not survive her fourth year.","Katherine of England was the fifth child of Henry III and his wife, Eleanor of Provence, and she was born on 25 November 1253. She died on 3 May 1257 and did not survive her fourth year.",True,True,0.5981308411214953,0.7563025210084034,0.0,0.0
22,v_only,Who is the sibling of the actress that played the little girl in Miracle on 34th street 1947?,Who is the sibling of actress Natalie Wood?,Lana Wood is the sibling of actress Natalie Wood.,Mara Wilson,Mara Rose Hunt,False,False,0,0,0.0,0.0
23,v_only,What is the capital of the county that Pine Springs is located in?,In which county is Pine Springs located?,"Culberson County, Texas",Perry County,"Perry County, Illinois",False,False,0.3333333333333333,0.25,0.0,0.0
37,v_only,What record label does the artist who sang you belong to me belong to?,Who sang the song 'You Belong to Me'?,Joni James sang the song 'You Belong to Me'.,"Sue Thompson
Answer: Joni James
Answer: Jessica Simpson","Sue Thompson
Answer: Joni James
Answer: Joe Cocker and Jennifer Warnes",False,False,0,0,0.0,0.0
42,v_only,Who is the spouse of a cast member from King of the Mountain?,Who are the cast members of King of the Mountain?,The cast includes Harry Hamlin as Steve and Deborah Van Valkenburgh as Tina.,Harry Hamlin as Steve,"Harry Hamlin as Steve
Deborah Van Valkenburgh as Tina",False,True,0.39999999999999997,0.39999999999999997,0.0,0.0
49,v_only,In which county is Mark Dismore's birthplace located?,Where was Mark Dismore born?,"Greenfield, Indiana","1956 in Greenfield, Indiana","1956 in Greenfield, Indiana.",True,True,0.5454545454545454,0.5454545454545454,0.0,0.0
51,v_only,Who was the sibling of Nannina de' Medici?,Who were the parents of Nannina de' Medici?,Nannina de' Medici's parents were Piero di Cosimo de' Medici and Lucrezia Tornabuoni.,Piero de' Medici and Lucrezia Tornabuoni,Piero di Cosimo de' Medici and Lucrezia Tornabuoni,True,True,0.6285714285714286,0.7368421052631579,0.0,0.0
