rate,mode,rows,avg_f1,avg_em,path
0.0,kv,250,0.4509989229931988,0.16,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/reflect_pipeline_full_rate0/Qwen2.5-7B-Instruct/musique/FusionRAG_global_topk10_bge/rate_0.0_revert_rope.csv
0.0,v_only,250,0.4509989229931988,0.16,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/reflect_pipeline_full_rate0/Qwen2.5-7B-Instruct/musique/FusionRAG_global_topk10_bge/rate_0.0_revert_rope.csv
0.0,k_only,250,0.4509989229931988,0.16,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/reflect_pipeline_full_rate0/Qwen2.5-7B-Instruct/musique/FusionRAG_global_topk10_bge/rate_0.0_revert_rope.csv
0.15,kv,250,0.4959501941441536,0.216,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/reflect_pipeline_strict_kv/Qwen2.5-7B-Instruct/musique/FusionRAG_global_topk10_bge/rate_0.15_revert_rope.csv
0.15,v_only,250,0.4497629522191232,0.188,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/reflect_pipeline_strict_v_only_clean/Qwen2.5-7B-Instruct/musique/FusionRAG_global_topk10_bge/rate_0.15_revert_rope.csv
0.15,k_only,250,0.468676082806848,0.188,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/reflect_pipeline_strict_k_only_clean/Qwen2.5-7B-Instruct/musique/FusionRAG_global_topk10_bge/rate_0.15_revert_rope.csv
0.3,kv,250,0.5121860120281128,0.192,MOTIVATION_EXPERIMENTS/kv_update_rate_sweep_nojudge/kv_rate0p3/Qwen2.5-7B-Instruct/musique/FusionRAG_global_topk10_bge/rate_0.3_revert_rope.csv
0.3,v_only,250,0.4424776885511194,0.18,MOTIVATION_EXPERIMENTS/kv_update_rate_sweep_nojudge/v_only_rate0p3/Qwen2.5-7B-Instruct/musique/FusionRAG_global_topk10_bge/rate_0.3_revert_rope.csv
0.3,k_only,250,0.4667539766543376,0.192,MOTIVATION_EXPERIMENTS/kv_update_rate_sweep_nojudge/k_only_rate0p3/Qwen2.5-7B-Instruct/musique/FusionRAG_global_topk10_bge/rate_0.3_revert_rope.csv
0.5,kv,250,0.529479962713766,0.204,MOTIVATION_EXPERIMENTS/kv_update_rate_sweep_nojudge/kv_rate0p5/Qwen2.5-7B-Instruct/musique/FusionRAG_global_topk10_bge/rate_0.5_revert_rope.csv
0.5,v_only,250,0.44646100073742057,0.184,MOTIVATION_EXPERIMENTS/kv_update_rate_sweep_nojudge/v_only_rate0p5/Qwen2.5-7B-Instruct/musique/FusionRAG_global_topk10_bge/rate_0.5_revert_rope.csv
0.5,k_only,250,0.4747659140812734,0.184,MOTIVATION_EXPERIMENTS/kv_update_rate_sweep_nojudge/k_only_rate0p5/Qwen2.5-7B-Instruct/musique/FusionRAG_global_topk10_bge/rate_0.5_revert_rope.csv
0.8,kv,250,0.5380318715753785,0.208,MOTIVATION_EXPERIMENTS/kv_update_rate_sweep_nojudge/kv_rate0p8/Qwen2.5-7B-Instruct/musique/FusionRAG_global_topk10_bge/rate_0.8_revert_rope.csv
0.8,v_only,250,0.45420012353077743,0.184,MOTIVATION_EXPERIMENTS/kv_update_rate_sweep_nojudge/v_only_rate0p8/Qwen2.5-7B-Instruct/musique/FusionRAG_global_topk10_bge/rate_0.8_revert_rope.csv
0.8,k_only,250,0.4878775105350044,0.192,MOTIVATION_EXPERIMENTS/kv_update_rate_sweep_nojudge/k_only_rate0p8/Qwen2.5-7B-Instruct/musique/FusionRAG_global_topk10_bge/rate_0.8_revert_rope.csv
1.0,kv,250,0.5666235651633814,0.228,MOTIVATION_EXPERIMENTS/kv_update_rate_sweep_nojudge/kv_rate1p0/Qwen2.5-7B-Instruct/musique/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv
1.0,v_only,250,0.5666235651633814,0.228,MOTIVATION_EXPERIMENTS/kv_update_rate_sweep_nojudge/kv_rate1p0/Qwen2.5-7B-Instruct/musique/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv
1.0,k_only,250,0.5666235651633814,0.228,MOTIVATION_EXPERIMENTS/kv_update_rate_sweep_nojudge/kv_rate1p0/Qwen2.5-7B-Instruct/musique/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv
