example_id,chunk_id,method,rate,chunk_len,selected_count,n_calibration_queries
0,0,qk_frequency_per_chunk,0.15,50,7,4
0,0,qk_mean_score_per_chunk,0.15,50,7,4
0,1,qk_frequency_per_chunk,0.15,92,13,4
0,1,qk_mean_score_per_chunk,0.15,92,13,4
0,2,qk_frequency_per_chunk,0.15,76,11,4
0,2,qk_mean_score_per_chunk,0.15,76,11,4
0,3,qk_frequency_per_chunk,0.15,98,14,4
0,3,qk_mean_score_per_chunk,0.15,98,14,4
0,4,qk_frequency_per_chunk,0.15,52,7,4
0,4,qk_mean_score_per_chunk,0.15,52,7,4
0,5,qk_frequency_per_chunk,0.15,214,32,4
0,5,qk_mean_score_per_chunk,0.15,214,32,4
0,6,qk_frequency_per_chunk,0.15,121,18,4
0,6,qk_mean_score_per_chunk,0.15,121,18,4
0,7,qk_frequency_per_chunk,0.15,301,45,4
0,7,qk_mean_score_per_chunk,0.15,301,45,4
0,8,qk_frequency_per_chunk,0.15,84,12,4
0,8,qk_mean_score_per_chunk,0.15,84,12,4
0,9,qk_frequency_per_chunk,0.15,83,12,4
0,9,qk_mean_score_per_chunk,0.15,83,12,4
