row_id,is_warmup,example_id,sub_q_idx,main_question,sub_question,doc_tokens,query_tokens,full_tokens,fusion_selected_doc_tokens,fusion_reprocess_prefill_tokens,full_exact_cache_ttft_s,full_ttft_compute_s,full_ttft_wall_s,fusion_ttft_compute_s,fusion_ttft_wall_s,fusion_storage_time_s,fusion_selection_time_s,fusion_selection_score_forward_time_s,fusion_reprocess_prefill_time_s,speedup_full_over_fusion_compute,ttft_reduction_pct_compute,speedup_full_exact_over_fusion_compute,ttft_reduction_pct_full_exact_vs_fusion_compute,speedup_full_over_fusion_wall,ttft_reduction_pct_wall
0,True,0,0,What is the network which National Cycle Route 57 is part of an example of?,What network is National Cycle Route 57 part of?,1313,27,2132,656,683,0.42819903371855617,0.27856945991516113,0.28023361088708043,0.7108998778276145,0.7816208270378411,0.025468286126852036,0.13462853897362947,0.1203068858012557,0.550803052727133,0.39185470219297347,-155.19663140536673,0.6023338125012166,-66.02089725752865,0.3585288431336967,-178.91758756689384
1,True,1,0,What district is the headquarter of Julia's House located?,Where is the headquarters of Julia's House located?,1295,25,2112,647,672,0.27277787309139967,0.10698914527893066,0.27393520809710026,0.27495037531480193,0.3412497229874134,0.02406989596784115,0.10269547114148736,0.10190755827352405,0.14818500820547342,0.3891216557039954,-156.98903809165006,0.9920985660742784,-0.7964363820207376,0.8027411881802583,-24.57315193542138
2,True,2,0,What body of water includes the terrain feature where Coffee Swamp is located?,Where is Coffee Swamp located?,1441,21,2254,720,741,0.29097340628504753,0.11466169357299805,0.29299797490239143,0.2804140280932188,0.3562023309059441,0.02513222210109234,0.10478859208524227,0.1039924519136548,0.1504932139068842,0.4089014174957066,-144.55772399236056,1.0376563835398365,3.6289839427746218,0.8225605210308354,-21.571601655133765
3,True,3,0,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the child of Peter Andreas Heiberg?,1154,26,1972,577,603,0.25651767710223794,0.09438848495483398,0.25819252897053957,0.2609001314267516,0.3109923033043742,0.022429526783525944,0.10287452163174748,0.10199618898332119,0.13559608301147819,0.36178013571194306,-176.41097486795707,0.9832025599199667,-1.7084414509051626,0.830221604287877,-20.449768451611263
4,True,3,1,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the spouse of Johan Ludvig Heiberg?,1353,27,2172,676,703,0.2773814769461751,0.1091001033782959,0.27864606166258454,0.293115665204823,0.3501922241412103,0.030727433040738106,0.11415584618225694,0.11325612012296915,0.14823238598182797,0.3722083679903599,-168.66671628024756,0.9463208892378604,-5.672400490426788,0.7956945998613157,-25.676358765573283
5,True,4,0,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?","Who were the siblings of Alice de Lusignan, Countess of Surrey?",1178,32,2002,589,621,0.25804949877783656,0.09481215476989746,0.258931671269238,0.26139930495992303,0.31406262796372175,0.022402015049010515,0.10328613687306643,0.10247673839330673,0.1357111530378461,0.36271004922692424,-175.70231432280076,0.9871850991241157,-1.2981254363801042,0.8244587168746098,-21.29170078895386
6,True,4,1,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?",When was King Henry III of England crowned?,2075,24,2891,1037,1061,0.38616082398220897,0.15149879455566406,0.38802722562104464,0.3330256100744009,0.40980813885107636,0.03075984213501215,0.10339257586747408,0.10229384480044246,0.19887319207191467,0.4549163486910748,-119.82063359061237,1.1595529361718973,13.759866513609909,0.9468509500785027,-5.613243554024061
7,True,6,0,Which university employed the person that Mach bands are named after?,Which university employed Ernst Mach?,1490,21,2303,745,766,0.2908346219919622,0.10483789443969727,0.29263189621269703,0.2782328510656953,0.3380212690681219,0.024995975196361542,0.10221032705157995,0.1012923689559102,0.1510265488177538,0.37679912360508194,-165.39339859189442,1.0452921748025052,4.332967938946131,0.8657203643411046,-15.510740094591057
8,False,7,0,Who is the employer of the physicist who Mach number is named after?,Who is the physicist that the Mach number is named after?,1587,27,2406,793,820,0.31946945236995816,0.11733174324035645,0.3205636446364224,0.2974446639418602,0.35439177276566625,0.024372206069529057,0.10245834989473224,0.10160888405516744,0.1706141079775989,0.39446578629257445,-153.50741046482094,1.0740466752242799,6.894176662184403,0.9045459552707733,-10.552702620913589
9,False,7,1,Who is the employer of the physicist who Mach number is named after?,Who was Ernst Mach's employer or academic institution during his career?,1466,28,2286,733,761,0.2917682798579335,0.11458349227905273,0.29317633202299476,0.2800512514077127,0.34031835990026593,0.025866704992949963,0.10331569006666541,0.10248778481036425,0.15086885634809732,0.4091518666782757,-144.40802583123005,1.0418388719611988,4.015867816722918,0.8614766835057425,-16.0797522610296
10,False,9,0,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,Which English king trusted William de Longchamp?,1998,25,2815,999,1024,0.36063581611961126,0.128889799118042,0.36205551214516163,0.9451329316943884,1.0175951411947608,0.026929061859846115,0.10235197003930807,0.10145486099645495,0.8158518997952342,0.13637213855936078,-633.2876132647248,0.3815715271639947,-162.0740618233321,0.355795244580346,-181.06052996281102
11,False,9,1,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,2722,33,3547,1361,1394,0.48527812398970127,0.1904442310333252,0.48650650307536125,0.35845594201236963,0.4576775813475251,0.034552864264696836,0.10486345598474145,0.10379637219011784,0.21903962176293135,0.5312904843037958,-88.22095059925688,1.353801310323809,26.133916965938297,1.0629895867806243,5.925701207609646
12,False,10,0,The Unwinding author volunteered for which organisation?,Who is the author of The Unwinding?,1505,25,2322,752,777,0.3175043351948261,0.11676907539367676,0.31919352198019624,0.2948345150798559,0.35047915298491716,0.024190503172576427,0.10413726093247533,0.10323844198137522,0.16650675097480416,0.39604954447768725,-152.4936624580156,1.0768899804991627,7.140003332886657,0.910734687817317,-9.801461762329255
13,False,10,1,The Unwinding author volunteered for which organisation?,Which organization did George Packer volunteer for?,1738,24,2554,869,893,0.33534709038212895,0.12365341186523438,0.336932139005512,0.3010842162184417,0.36850404599681497,0.027705701999366283,0.10545078804716468,0.10434980923309922,0.16792772617191076,0.4106937700630634,-143.49042349642818,1.1137983073108984,10.217137749620731,0.9143241238887894,-9.370405294220529
