dataset,display_method,source_method,f1_percent,em_percent
musique,Full rate=1,full_rate1,19.3800,0.8000
musique,Online QK,online_qk_rate015,20.7600,0.8100
musique,Online Draft,online_draft_rate015,19.0500,0.8100
musique,Offline 3B mean,draft_smart_mean_score_global,19.3100,0.8000
musique,Offline 3B+boundary,draft_smart_freq_boundary0p02_global,19.8700,1.2000
musique,Offline 32B top2,draft32b_smart_top2_mean_global,19.4200,1.6100
2wikimqa,Full rate=1,full_rate1,33.1900,2.5000
2wikimqa,Online QK,online_qk_rate015,27.6700,1.5000
2wikimqa,Online Draft,online_draft_rate015,26.8700,1.5000
2wikimqa,Offline 3B mean,offline3b_mean,28.0600,2.5000
2wikimqa,Offline 3B+boundary,offline3b_freq_boundary2,28.0100,2.0000
2wikimqa,Offline 32B top2,offline32b_top2,26.5600,1.5000
hotpotqa,Full rate=1,full_rate1,30.7600,2.6900
hotpotqa,Online QK,online_qk_rate015,30.0700,3.0800
hotpotqa,Online Draft,online_draft_rate015,32.4500,3.8500
hotpotqa,Offline 3B mean,offline3b_mean,31.9300,1.9200
hotpotqa,Offline 3B+boundary,offline3b_freq_boundary2,31.4100,3.0800
hotpotqa,Offline 32B top2,offline32b_top2,30.3900,3.4600
triviaqa,Full rate=1,full_rate1,20.3600,3.7000
triviaqa,Online QK,online_qk_rate015,23.4300,4.0700
triviaqa,Online Draft,online_draft_rate015,21.3700,5.5600
triviaqa,Offline 3B mean,offline3b_mean,23.3000,6.3000
triviaqa,Offline 3B+boundary,offline3b_freq_boundary2,20.5500,5.5600
triviaqa,Offline 32B top2,offline32b_top2,,
