method,old_main_acc,new_glm_main_acc,main_delta_pp,old_sub_acc,new_glm_sub_acc,sub_delta_pp
full_rate1,77.78,88.89,+11.11,86.69,93.95,+7.26
online_qk_rate015,62.22,74.07,+11.85,76.21,83.06,+6.85
online_draft_rate015,73.33,82.96,+9.63,84.27,90.32,+6.05
offline_hybrid70_rate015,68.89,78.52,+9.63,79.03,85.48,+6.45
draft_smart_mean_score_global,71.11,78.52,+7.41,82.26,86.69,+4.44
draft_smart_freq_boundary0p02_global,71.85,76.30,+4.44,81.85,84.68,+2.82
draft32b_smart_top2_mean_global,72.59,75.56,+2.96,81.45,84.68,+3.23
offline10_draft005,72.59,80.00,+7.41,83.87,87.90,+4.03
offline10_hybrid_old70_docgen30_draft005,74.07,80.74,+6.67,84.27,88.31,+4.03
offline20_only,67.41,76.30,+8.89,79.84,85.89,+6.05
