Main Question,Sub Question,Ground Truth,Predicted,Correct,F1,EM,Reason,dataset,method,rate,source_csv,segment,source_row,Predicted_clean,glm_correct,glm_reason,glm_raw,row_index,Rate1_Predicted,Rate1_Correct,Rate1_F1,Rate1_EM,Rate1_Reason
What is the network which National Cycle Route 57 is part of an example of?,What network is National Cycle Route 57 part of?,National Cycle Route 57 is part of the United Kingdom's National Cycle Network (NCN).,"<think>

</think>

National Cycle Network",True,0,0.0,预测答案“National Cycle Network”准确提取了标准答案中的核心实体信息，直接且正确地回答了问题所询问的网络名称，与标准答案在语义上完全等价。,musique,full_rate1,1.0,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_hybrid70_online_baselines/full_rate1/seg_0_25/Qwen3-32B/musique/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,seg_0_25,0,National Cycle Network,True,预测答案“National Cycle Network”直接包含了标准答案中的核心信息，准确回答了问题所询问的网络名称。虽然它省略了标准答案中关于“United Kingdom's”的修饰语，但在语义上与标准答案完全等价，符合允许措辞细微差异的评判标准。,"判断: 正确
原因: 预测答案“National Cycle Network”直接包含了标准答案中的核心信息，准确回答了问题所询问的网络名称。虽然它省略了标准答案中关于“United Kingdom's”的修饰语，但在语义上与标准答案完全等价，符合允许措辞细微差异的评判标准。",0,,,,,
What district is the headquarter of Julia's House located?,Where is the headquarters of Julia's House located?,"Corfe Mullen, Dorset, England","Corfe Mullen, Dorset, England",True,1.0,1.0,"预测答案与标准答案完全一致，均准确给出了Julia's House总部的所在地为“Corfe Mullen, Dorset, England”。预测答案包含了标准答案的所有关键信息，且在语义上完全等价，因此判断为正确。",musique,full_rate1,1.0,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_hybrid70_online_baselines/full_rate1/seg_0_25/Qwen3-32B/musique/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,seg_0_25,1,"Corfe Mullen, Dorset, England",True,"预测答案与标准答案完全一致，均明确指出了Julia's House的总部位于Corfe Mullen, Dorset, England。预测答案包含了标准答案的所有关键信息，语义完全等价，准确无误地回答了问题。","判断: 正确
原因: 预测答案与标准答案完全一致，均明确指出了Julia's House的总部位于Corfe Mullen, Dorset, England。预测答案包含了标准答案的所有关键信息，语义完全等价，准确无误地回答了问题。",1,,,,,
What body of water includes the terrain feature where Coffee Swamp is located?,Where is Coffee Swamp located?,"Coffee Swamp is located on the northern edge of Washington Island, in Door County, Wisconsin.","</think>

Coffee Swamp is located on the northern edge of Washington Island, in Door County, Wisconsin.",True,0,0.0,预测答案与标准答案完全一致，准确地包含了“华盛顿岛北端”以及“威斯康星州多尔县”等所有关键地理位置信息，完整且正确地回答了问题。,musique,full_rate1,1.0,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_hybrid70_online_baselines/full_rate1/seg_0_25/Qwen3-32B/musique/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,seg_0_25,2,"Coffee Swamp is located on the northern edge of Washington Island, in Door County, Wisconsin.",True,预测答案与标准答案完全一致，准确地包含了“位于威斯康星州多尔县华盛顿岛北部”这一关键信息，语义完全等价，正确地回答了问题。,"判断: 正确
原因: 预测答案与标准答案完全一致，准确地包含了“位于威斯康星州多尔县华盛顿岛北部”这一关键信息，语义完全等价，正确地回答了问题。",2,,,,,
Who is the spouse of the child of Peter Andreas Heiberg?,Who is the child of Peter Andreas Heiberg?,Johan Ludvig Heiberg is the child of Peter Andreas Heiberg.,"<think>

</think>

Johan Ludvig Heiberg",True,0,0.0,预测答案“Johan Ludvig Heiberg”直接给出了问题所问的人物，包含了标准答案中的核心关键信息。虽然它没有使用完整的句子结构，但在语义上与标准答案完全等价，准确地回答了问题。,musique,full_rate1,1.0,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_hybrid70_online_baselines/full_rate1/seg_0_25/Qwen3-32B/musique/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,seg_0_25,3,Johan Ludvig Heiberg,True,预测答案“Johan Ludvig Heiberg”直接给出了问题所问的彼得·安德烈亚斯·海伯格的孩子的名字，包含了标准答案的核心关键信息，语义上完全一致，正确回答了问题。,"判断: 正确
原因: 预测答案“Johan Ludvig Heiberg”直接给出了问题所问的彼得·安德烈亚斯·海伯格的孩子的名字，包含了标准答案的核心关键信息，语义上完全一致，正确回答了问题。",3,,,,,
Who is the spouse of the child of Peter Andreas Heiberg?,Who is the spouse of Johan Ludvig Heiberg?,Johanne Luise Heiberg,"<think>

</think>

Johanne Luise Heiberg",True,0,0.0,预测答案“Johanne Luise Heiberg”与标准答案完全一致，准确地给出了Johan Ludvig Heiberg的配偶名字，包含了标准答案的所有关键信息，语义完全等价，因此判断为正确。,musique,full_rate1,1.0,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_hybrid70_online_baselines/full_rate1/seg_0_25/Qwen3-32B/musique/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,seg_0_25,4,Johanne Luise Heiberg,True,预测答案与标准答案完全一致，均为“Johanne Luise Heiberg”，准确包含了标准答案的关键信息，且在语义上完全等价，正确地回答了关于Johan Ludvig Heiberg配偶的问题。,"判断: 正确
原因: 预测答案与标准答案完全一致，均为“Johanne Luise Heiberg”，准确包含了标准答案的关键信息，且在语义上完全等价，正确地回答了关于Johan Ludvig Heiberg配偶的问题。",4,,,,,
"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?","Who were the siblings of Alice de Lusignan, Countess of Surrey?","Alice de Lusignan had a uterine half-brother, King Henry III of England.","Answer: The siblings of Alice de Lusignan, Countess of Surrey, included King Henry III of England, as she was his uterine half-sister.",True,0.6399999999999999,0.0,预测答案准确包含了标准答案的核心信息，明确指出了Alice de Lusignan的兄弟姐妹包括King Henry III of England，并正确说明了两人是同母异父的兄妹关系。两者在语义上完全等价，仅存在措辞上的细微差异。,musique,full_rate1,1.0,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_hybrid70_online_baselines/full_rate1/seg_0_25/Qwen3-32B/musique/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,seg_0_25,5,"The siblings of Alice de Lusignan, Countess of Surrey, included King Henry III of England, as she was his uterine half-sister.",True,预测答案包含了标准答案的关键信息，明确指出了Alice de Lusignan的兄弟姐妹包括King Henry III of England，并准确说明了两人是同母异父（uterine half-sister/brother）的关系。两者在语义上完全等价，仅存在措辞上的细微差异，因此判断为正确。,"判断: 正确
原因: 预测答案包含了标准答案的关键信息，明确指出了Alice de Lusignan的兄弟姐妹包括King Henry III of England，并准确说明了两人是同母异父（uterine half-sister/brother）的关系。两者在语义上完全等价，仅存在措辞上的细微差异，因此判断为正确。",5,,,,,
"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?",When was King Henry III of England crowned?,Henry III was first crowned in 1216 at Gloucester Cathedral and had a second coronation on 17 May 1220 at Westminster Abbey.,"1216 and 1220
</think>

Henry III was crowned at Gloucester in 1216 and later had a second coronation at Westminster in 1220.",True,0.4,0.0,预测答案准确提取了标准答案中关于亨利三世加冕时间的两个关键年份，即1216年的首次加冕和1220年的第二次加冕。虽然预测答案省略了具体的加冕地点等细节，但完全回答了问题关于“何时加冕”的核心诉求，在语义上与标准答案的核心信息保持一致。,musique,full_rate1,1.0,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_hybrid70_online_baselines/full_rate1/seg_0_25/Qwen3-32B/musique/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,seg_0_25,6,"1216 and 1220


Henry III was crowned at Gloucester in 1216 and later had a second coronation at Westminster in 1220.",True,预测答案准确包含了1216年和1220年这两个关键时间点，并且提到了加冕地点（格洛斯特和威斯敏斯特），与标准答案在语义上完全等价，正确回答了问题。,"判断: 正确
原因: 预测答案准确包含了1216年和1220年这两个关键时间点，并且提到了加冕地点（格洛斯特和威斯敏斯特），与标准答案在语义上完全等价，正确回答了问题。",6,,,,,
Which university employed the person that Mach bands are named after?,Which university employed Ernst Mach?,Ernst Mach was employed at Charles University in Prague.,"<think>

</think>

Answer: Charles University in Prague",True,0,0.0,预测答案“Charles University in Prague”直接且准确地提供了问题所询问的大学名称，与标准答案的核心信息完全一致，正确地回答了问题。,musique,full_rate1,1.0,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_hybrid70_online_baselines/full_rate1/seg_0_25/Qwen3-32B/musique/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,seg_0_25,7,Charles University in Prague,True,预测答案“Charles University in Prague”直接给出了问题所问的大学名称，包含了标准答案中的核心关键信息。虽然它没有使用完整的句子结构，但在语义上与标准答案完全等价，准确地回答了问题。,"判断: 正确
原因: 预测答案“Charles University in Prague”直接给出了问题所问的大学名称，包含了标准答案中的核心关键信息。虽然它没有使用完整的句子结构，但在语义上与标准答案完全等价，准确地回答了问题。",7,,,,,
Who is the employer of the physicist who Mach number is named after?,Who is the physicist that the Mach number is named after?,The Mach number is named after the Austrian physicist and philosopher Ernst Mach.,"<think>

</think>

The physicist that the Mach number is named after is Ernst Mach.",True,0,0.0,预测答案明确指出了马赫数是以恩斯特·马赫（Ernst Mach）命名的，包含了标准答案中的核心人物信息。虽然省略了“奥地利物理学家和哲学家”等修饰性背景细节，但准确回答了问题所问的核心实体，语义与标准答案完全一致。,musique,full_rate1,1.0,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_hybrid70_online_baselines/full_rate1/seg_0_25/Qwen3-32B/musique/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,seg_0_25,8,The physicist that the Mach number is named after is Ernst Mach.,True,预测答案准确地指出了马赫数是以物理学家恩斯特·马赫命名的，包含了标准答案的核心信息。虽然未提及“奥地利”和“哲学家”等修饰细节，但在回答“以谁命名”这一核心问题上与标准答案语义等价。,"判断: 正确
原因: 预测答案准确地指出了马赫数是以物理学家恩斯特·马赫命名的，包含了标准答案的核心信息。虽然未提及“奥地利”和“哲学家”等修饰细节，但在回答“以谁命名”这一核心问题上与标准答案语义等价。",8,,,,,
Who is the employer of the physicist who Mach number is named after?,Who was Ernst Mach's employer or academic institution during his career?,Ernst Mach was a professor at Charles University in Prague.,"Answer: Ernst Mach was employed at the Charles University in Prague, where he had an assistant, Vinko Dvořák, and later contributed to academic discussions that influenced figures like Friedrich Hayek.",True,0.4166666666666667,0.0,预测答案明确指出了恩斯特·马赫受雇于布拉格的查尔斯大学，这与标准答案中的核心信息完全一致。虽然预测答案包含了一些额外的细节（如助手和影响人物的信息），但其核心语义与标准答案等价，正确回答了问题。,musique,full_rate1,1.0,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_hybrid70_online_baselines/full_rate1/seg_0_25/Qwen3-32B/musique/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,seg_0_25,9,"Ernst Mach was employed at the Charles University in Prague, where he had an assistant, Vinko Dvořák, and later contributed to academic discussions that influenced figures like Friedrich Hayek.",True,预测答案明确指出了恩斯特·马赫受雇于布拉格查理大学，这与标准答案的核心信息完全一致，语义上等价。尽管预测答案包含了一些额外的细节信息，但并未改变对原问题的正确回答。,"判断: 正确
原因: 预测答案明确指出了恩斯特·马赫受雇于布拉格查理大学，这与标准答案的核心信息完全一致，语义上等价。尽管预测答案包含了一些额外的细节信息，但并未改变对原问题的正确回答。",9,,,,,
