Question,Real Answer,Pred Answer
with what movie did Mary Philips' husband win his only oscar?,The African Queen,<|im_end|>
The all time top goal scorer in premier league in one season is a member of what team?,Egypt national football team,<|im_end|>
Where is the province of Gonbad-e Qabus County located?,in the north-east of the country south of the Caspian Sea,<|im_end|>
Who wrote the song turn me on that is performed by performer of Feelin' the Same Way?,John D. Loudermilk,<|im_end|>
What institute did the actor playing the voice of John Smith in Pocahontas attend?,National Institute of Dramatic Art,<|im_end|>
Who led the muslim forces to retake the proposed embassy destination?,Abu Ubaidah,<|im_end|>
Which is the body of water near George Mills' place of birth?,River Thames,<|im_end|>
When did the party who gained control of congress in the midterm elections in 1946 take control of the determiner of rules of the US House and US Senate?,January 2015,<|im_end|>
Who does the Nothing Suits Me Like a Suit artist play in Batman Under the Red Hood?,Nightwing / Dick Grayson,<|im_end|>
When was the death penalty abolished in the country near the country where the writer of The Book Thief is a citizen of?,1989,<|im_end|>
What is the seat of the county sharing a border with the county in which Miller Electric is headquartered?,Green Bay,<|im_end|>
Who is the brother of the Nothin' My Love Can't Fix performer?,Matthew Lawrence,<|im_end|>
Who is the brother of the Melissa and Joey Theme Song singer?,Matthew Lawrence,<|im_end|>
When was the last time the team that Arthur James was a member of beat the 1894-95 FA cup winner?,1 December 2010,<|im_end|>
Who started the foundation that developed the Free Software Directory?,Richard Stallman,<|im_end|>
What pantheon is the God of the underworld in ancient Egypt a part of?,ancient Egyptian religion,<|im_end|>
Where was the president born on the fourth of July born?,Plymouth Notch,<|im_end|>
Who play's Marty's girlfriend in back to the future?,Claudia Wells,<|im_end|>
What is the record label for the band which performed Pythons?,Kanine Records,<|im_end|>
Who is the employer of the person Mach's principle was named after?,Charles University,<|im_end|>
What is the life expectancy of the type of retriever named after the body of water the Patuxent River turns into?,average lifespan at 9.4 years,<|im_end|>
Who is the president of the newly declared independent country that is part of the Commission of Truth and Friendship with the country where Sambas is located?,Francisco Guterres,<|im_end|>
What is the capital of the country it is about?,Aden,<|im_end|>
The league playing in the Thursday night football game is a type of what?,sports league,<|im_end|>
A participant of the Battle of Brechin is an instance of?,Scottish clan,<|im_end|>
What is the symbol of the Saints from the city that is the location of Blanton's manufacturer's headquarters called?,fleur - de-lis,<|im_end|>
What mythology is the city where Eutychides was born in a part of?,Greek mythology,<|im_end|>
What is the oldest college in the state that contains Borough House Plantation?,College of Charles Towne,<|im_end|>
"What county shares a border with the other county, that contains the city, that is the birthplace of the performer of Never Gonna Fall in Love Again?",Cabarrus County,<|im_end|>
What city was the author of What We Talk About When We Talk About love born in?,Clatskanie,<|im_end|>
What undertaking included the person who discovered that the number of protons in each element's atoms is unique?,Manhattan Project,<|im_end|>
What was the story of the character from The Bourne Deception based on?,the novel of the same name by Robert Ludlum,<|im_end|>
Which two features were played up the person who had the biggest net worth in 2017?,ease of use and enhanced support for Plug and Play,<|im_end|>
"Who is one of the members of the music group that performed ""Good Little Girls""?",Aaron Benward,<|im_end|>
How many times did plague occur in the place where Bajazet's composer was born?,22,<|im_end|>
What year did the company that published Starship Command end?,1986,<|im_end|>
Who is the spouse of the child of Peter Andreas Heiberg?,Johanne Luise Heiberg,<|im_end|>
What character in A League of their Own was played by the actress who played Thelma in the movie Thelma and Louise?,Dottie Hinson,<|im_end|>
What is the abbreviated name of the exclusive platform of the video game named for the league with a halftime event just before the publishers clearing house sweepstakes drawing.,NES,<|im_end|>
When was the last time the sports team Alan O'Neil was a member of beat the winner of the 1894-95 FA cup?,1 December 2010,<|im_end|>
Who is the spouse of the person who plays Batman in the Lego Batman Movie?,Amy Poehler,<|im_end|>
By how much of the population of the region where Baton a feu originated reduced by the black death?,30% to 65%,<|im_end|>
When did the explorer reach the headquarters location of the group Con-Test's record label is part of?,"August 3, 1769",<|im_end|>
What is the name of the castle in the city where the performers of Spirit If.. became a band?,Casa Loma,<|im_end|>
Who wrote a book about growing up in the same nationality as the man who produced The Wild Women of Chastity Gulch?,Min Zhou,<|im_end|>
Who is the spouse of the actor of Ethan in A Dog's Purpose?,Meg Ryan,<|im_end|>
Who is the federal leader of the party that Pierre-Hugues Boisvenu is a member of?,Andrew Scheer,<|im_end|>
At what local time does the country where Fuser and Alberto meet the indigenous couple traveling to look for work change their clocks for DST?,24:00,<|im_end|>
When did the place of birth of the performer of Mother-in-Law elect its first black Mayor?,1970s,<|im_end|>
When was the last time Ken Faulkner's team beat the 1894-95 FA Cup winner?,1 December 2010,<|im_end|>
