dataset,label,rate,main_correct,main_total,main_acc,sub_correct,sub_total,sub_acc,avg_f1,avg_em,missing_segments,found_csv_files,note,log_files,finished_segments,traceback,killed,n_prefill_timing,prompt_eval_mean_s,storage_time_mean_s,selection_time_mean_s
2wikimqa,full_rate1,1.0,113,200,0.565,113,200,0.565,0.3318819866091283,0.025,0,8,rate=1.0 full recompute baseline; no selector.,8,8,0,2,200,3.867345062494278,0.0,0.0
2wikimqa,online_qk_rate015,0.15,107,200,0.535,107,200,0.535,0.27667888699578336,0.015,0,8,"online FusionRAG-QK selector, rate=0.15.",8,8,0,4,200,2.292518993021367,0.19106193302039173,0.32443679289528515
2wikimqa,online_draft_rate015,0.15,101,200,0.505,101,200,0.505,0.268726893760283,0.015,0,8,"online DraftModel selector with Qwen2.5-3B-Instruct, rate=0.15.",8,8,0,2,200,2.4394455208210273,0.25408607724675675,0.4011830608850869
2wikimqa,offline3b_mean,0.15,96,200,0.48,96,200,0.48,0.2805617783192651,0.025,0,8,"offline fixed set from 3B teacher mean-score aggregation, rate=0.15.",8,8,0,2,200,2.0428637440662714,0.2567079150513746,0.0
2wikimqa,offline3b_freq_boundary2,0.15,99,200,0.495,99,200,0.495,0.2800990165595635,0.02,0,8,"offline 3B frequency fixed set with 2% boundary replacement, total rate=0.15.",8,8,0,2,200,2.0301621514582076,0.24337275742858766,0.0
2wikimqa,offline32b_top2,0.15,103,200,0.515,103,200,0.515,0.2655626902847651,0.015,0,8,"offline fixed set from 32B teacher top2-mean aggregation, rate=0.15.",8,8,0,2,200,2.0096654651450807,0.22459120913001243,0.0
2wikimqa,offline_qk_mean,0.15,0,0,0.0,0,0,0.0,0.0,0.0,8,0,"PENDING addendum: offline QK mean-score fixed set, rate=0.15.",0,0,0,0,0,0.0,0.0,0.0
2wikimqa,offline_qk_mean_boundary2,0.15,0,0,0.0,0,0,0.0,0.0,0.0,8,0,"PENDING addendum: offline QK mean-score fixed set with 2% boundary replacement, total rate=0.15.",0,0,0,0,0,0.0,0.0,0.0
hotpotqa,full_rate1,1.0,207,260,0.7961538461538461,207,260,0.7961538461538461,0.3076289923094422,0.026923076923076925,0,11,rate=1.0 full recompute baseline; no selector.,11,11,0,0,260,1.2716168082677402,0.0,0.0
hotpotqa,online_qk_rate015,0.15,206,260,0.7923076923076923,206,260,0.7923076923076923,0.30071193507597166,0.03076923076923077,0,11,"online FusionRAG-QK selector, rate=0.15.",11,11,0,0,260,1.2551058850073158,0.08591489769583299,0.3336897186735699
hotpotqa,online_draft_rate015,0.15,207,260,0.7961538461538461,207,260,0.7961538461538461,0.32453080773993537,0.038461538461538464,0,11,"online DraftModel selector with Qwen2.5-3B-Instruct, rate=0.15.",11,11,0,0,260,1.0740906073852854,0.0870986604731745,0.15163530158528235
hotpotqa,offline3b_mean,0.15,204,260,0.7846153846153846,204,260,0.7846153846153846,0.31932924310273786,0.019230769230769232,0,11,"offline fixed set from 3B teacher mean-score aggregation, rate=0.15.",11,11,0,0,260,0.9274880080657357,0.08665994358027372,0.0
hotpotqa,offline3b_freq_boundary2,0.15,201,260,0.7730769230769231,201,260,0.7730769230769231,0.3141084204110979,0.03076923076923077,0,11,"offline 3B frequency fixed set with 2% boundary replacement, total rate=0.15.",11,11,0,0,260,0.9278159103890246,0.08599661786955459,0.0
hotpotqa,offline32b_top2,0.15,197,260,0.7576923076923077,197,260,0.7576923076923077,0.3039169801917288,0.03461538461538462,0,11,"offline fixed set from 32B teacher top2-mean aggregation, rate=0.15.",11,11,0,0,260,0.9273829091680594,0.08490500609880725,0.0
hotpotqa,offline_qk_mean,0.15,0,0,0.0,0,0,0.0,0.0,0.0,11,0,"PENDING addendum: offline QK mean-score fixed set, rate=0.15.",0,0,0,0,0,0.0,0.0,0.0
hotpotqa,offline_qk_mean_boundary2,0.15,0,0,0.0,0,0,0.0,0.0,0.0,11,0,"PENDING addendum: offline QK mean-score fixed set with 2% boundary replacement, total rate=0.15.",0,0,0,0,0,0.0,0.0,0.0
triviaqa,full_rate1,1.0,211,270,0.7814814814814814,211,270,0.7814814814814814,0.2035673707134865,0.037037037037037035,0,11,rate=1.0 full recompute baseline; no selector.,11,11,0,0,270,1.2635028688995926,0.0,0.0
triviaqa,online_qk_rate015,0.15,212,270,0.7851851851851852,212,270,0.7851851851851852,0.23427402170176975,0.040740740740740744,0,11,"online FusionRAG-QK selector, rate=0.15.",11,11,0,0,270,1.2276103161951242,0.08508175844811679,0.3267943265030799
triviaqa,online_draft_rate015,0.15,214,270,0.7925925925925926,214,270,0.7925925925925926,0.21367962222856746,0.05555555555555555,0,11,"online DraftModel selector with Qwen2.5-3B-Instruct, rate=0.15.",11,11,0,0,270,1.0497694300503806,0.08190879631136475,0.15195556524688275
triviaqa,offline3b_mean,0.15,215,270,0.7962962962962963,215,270,0.7962962962962963,0.2330442463463905,0.06296296296296296,0,11,"offline fixed set from 3B teacher mean-score aggregation, rate=0.15.",11,11,0,0,270,0.9054197990925146,0.08307526953705949,0.0
triviaqa,offline3b_freq_boundary2,0.15,218,270,0.8074074074074075,218,270,0.8074074074074075,0.20545053132115887,0.05555555555555555,0,11,"offline 3B frequency fixed set with 2% boundary replacement, total rate=0.15.",11,11,0,0,270,0.9047432906739198,0.08192426065215841,0.0
triviaqa,offline32b_top2,0.15,156,200,0.78,156,200,0.78,0.21860864296235807,0.05,0,11,"offline fixed set from 32B teacher top2-mean aggregation, rate=0.15.",11,8,6,0,200,0.9090837315494719,0.08138729370999499,0.0
triviaqa,offline_qk_mean,0.15,0,0,0.0,0,0,0.0,0.0,0.0,11,0,"PENDING addendum: offline QK mean-score fixed set, rate=0.15.",0,0,0,0,0,0.0,0.0,0.0
triviaqa,offline_qk_mean_boundary2,0.15,0,0,0.0,0,0,0.0,0.0,0.0,11,0,"PENDING addendum: offline QK mean-score fixed set with 2% boundary replacement, total rate=0.15.",0,0,0,0,0,0.0,0.0,0.0
